pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
1285.97 -0.859603 0.559828 1017.3 -0.578453 3.10905 2375.57 0.252182 0.79954 0.876087 0.847162 430.682 0.174577 0.385252 4103.96
1008.36 -0.0934921 -1.83053 649.625 1.79956 1.35943 2515.07 0.609159 0.745923 0.444195 0.582478 239.486 -1.39858 0.431948 2343.61
1987.53 0.0379206 1.24292 1571.23 -0.65765 -0.268885 2752.38 0.859051 0.195651 0.761951 0.828681 323.224 -2.41199 2.1431 6355.77
1311.05 -0.751489 2.20923 576.383 -0.781851 -0.681229 1761.89 0.787529 0.492209 0.589819 0.591535 1090.85 -0.668357 0.0128726 2860.98
2053.65 0.836784 0.718192 1175.25 0.955061 -2.64302 3138.27 0.85975 0.373703 0.852702 0.860585 505.105 -2.62959 0.0134294 5406.2
491.18 -2.24068 -1.21255 267.865 -2.01024 0.40561 545.263 0.282432 0.582232 0.814169 0.78459 222.795 2.46675 2.06114 1034.78
1154.26 -0.183578 -2.231 1135.64 -0.101527 -1.09586 1239.14 0.658761 0.929192 0.778506 0.803522 706.934 1.25414 2.35001 3909.53
1888.78 -0.278123 2.25933 1327.95 -1.09705 -0.485064 3513.69 0.278515 0.159433 0.778906 0.800142 1010.42 -0.491331 0.00626746 4279.21
1219.9 -0.339226 1.25775 850.823 -0.373835 -0.411846 1534.37 0.620968 0.571927 0.778713 0.542688 769.209 -2.62668 2.21484 2996.69
1912.37 -0.282555 2.64501 1682.43 0.560435 0.773131 3318.09 0.565945 0.542029 0.495871 0.782081 539.685 -1.47165 2.16653 5223.05
705.055 -0.379146 -0.133414 651.514 1.425 -2.82319 1965.37 0.57817 0.638002 0.734 0.624131 354.223 0.311054 0.444468 2291.16
513.05 -0.657185 -1.79369 448.648 -1.70807 2.52778 971.649 0.604718 0.429097 0.713202 0.69848 63.974 0.530398 1.99738 1529.88
2110.32 -0.296566 -1.1669 1683.09 -0.321102 1.37431 3653.85 0.0845281 0.710255 0.70579 0.743211 677.642 -1.21634 0.0494372 5522.32
557.051 -0.794719 -0.482844 513.643 -1.31691 -2.53581 990.211 0.402209 0.537553 0.647536 0.513803 104.053 -3.02094 0.485134 1712.32
887.654 -0.739901 -2.7403 560.153 -0.552845 2.31125 853.926 0.870247 0.680239 0.761221 0.619564 386.928 -0.0477641 2.35901 2484.02
1258.94 0.108551 2.02967 1006.51 -0.391909 -0.508928 2541.56 0.522768 0.194849 0.178771 0.759072 338.767 1.55141 0.478258 4016.52
2078.66 0.851881 -3.0627 1552.2 0.960352 -1.13169 3190.17 0.372489 0.659969 0.568166 0.721126 861.577 0.953206 2.0849 5134.44
1012.9 -0.915746 -1.02692 911.322 1.12608 0.747813 2766.78 0.801944 0.252979 0.779479 0.784461 467.896 3.10854 2.14772 2683.6
1488.97 -0.481468 -1.20235 1249.72 -0.302958 -2.55692 1764.63 0.559328 0.479623 0.80183 0.550855 854.004 1.43773 2.28854 4206.97
1503.43 -0.0601538 -1.98619 643.244 0.551946 1.68653 2197.75 0.164491 0.605346 0.805615 0.74959 501.107 1.18202 0.504506 2934.08
1404.93 -0.624402 0.596932 1223.15 0.0855366 -1.97552 2740.31 0.323144 0.318946 0.853328 0.763745 364.453 -1.4454 0.530121 4063.5
1456.63 0.959819 -1.11044 1441 -0.475112 1.11921 3545.27 0.558654 0.215678 0.615048 0.345732 255.048 1.27106 0.151842 4345.79
1148.92 -0.638763 -2.22738 855.213 1.48983 -0.535679 2938.06 0.656927 0.731127 0.686323 0.871315 253.302 2.01763 2.03817 3243.97
914.646 -0.579498 0.115833 514.226 -0.717372 -2.83359 1469.86 0.36016 0.640431 0.81684 0.553381 114.024 -2.88109 0.0474937 2236.27
2458.62 0.19272 -1.21096 1475.37 -1.07378 1.90642 4993.13 0.0832879 0.241107 0.713864 0.582458 1037.61 1.78024 0.126176 4307.69
1944.91 -0.323107 1.14706 1510.01 -0.0930885 -0.750414 2885.83 0.268208 0.645525 0.566707 0.689793 729.469 -2.81016 2.05975 4999.93
1977.58 0.435598 0.952195 1298.48 -0.180763 -2.61774 3406.03 0.579899 0.357469 0.767132 0.736402 677.425 -2.87231 0.254579 4805.67
1357.92 -0.224336 -1.14531 807.743 1.03471 0.546092 2159.66 0.213971 0.476378 0.310906 0.623186 730.607 2.55482 2.00873 3448.49
1045.45 -1.32126 -0.719652 464.322 1.42477 2.20733 2990.97 0.132783 0.607768 0.488569 0.616001 533.541 2.35417 0.146834 1818.04
574.261 -1.02522 -1.96637 367.374 -0.621701 2.8496 705.386 0.812628 0.744659 0.922842 0.658828 282.248 0.341292 2.30767 1554.42
883.554 -1.06771 0.827339 706.634 1.32866 -1.12896 2744.25 0.782778 0.382976 0.78679 0.741462 305.921 -3.13646 2.0075 2403.42
1667.94 -0.235639 -0.699307 1250.21 -0.425275 2.23091 3037.17 0.462647 0.334748 0.78696 0.75662 655.362 2.03236 0.198545 4188.8
1072.81 -0.54213 0.680345 869.692 -0.0768047 -2.71209 2059.02 0.19621 0.668077 0.735131 0.689068 571.901 0.363937 0.316408 2896.85
1384.08 0.419814 2.00344 1278.65 0.426442 0.991185 1298.63 0.724114 0.682234 0.467841 0.515375 631.107 -1.896 2.38374 4594.49
2068.81 0.0138648 0.73631 978.097 -0.770323 -3.12556 3095.26 0.437511 0.219967 0.541858 0.736387 585.513 -2.2071 0.918459 4183.75
1529.32 0.156609 0.62934 1316.64 0.151074 -2.90778 2991.37 0.245298 0.766838 0.714787 0.860541 1209.22 0.859118 0.229778 4761.38
1106.24 -0.733186 -0.372963 910.448 -0.520844 1.3723 1589.44 0.572264 0.664914 0.613211 0.805649 50.2536 -2.72758 2.1833 3616.71
1930.09 0.031694 -2.23469 1447.95 -0.327947 1.4733 3411.38 0.506985 0.786615 0.55995 0.767941 202.615 -1.87689 0.357798 4842.57
2040.82 -0.141118 -0.0771265 1525.85 -0.960482 -1.41407 2691.53 0.171931 0.465672 0.658287 0.573806 1275.95 2.5898 2.27932 5492.4
1463.27 -0.0757984 -0.852924 1366.61 -1.23312 2.8819 3402.03 0.293211 0.730291 0.452907 0.818608 430.083 -0.398811 0.454113 4274.82
1274.28 -0.239887 -2.8424 1136.5 1.5127 -1.06788 3079.19 0.602006 0.208578 0.639829 0.836697 176.897 1.08849 2.15637 3791.35
1936.39 -0.232712 -1.8178 1749.74 0.302206 2.14857 3840.14 0.246817 0.505291 0.781001 0.858836 623.099 -0.00991189 1.80789 4850.31
367.801 -2.0635 -0.170481 260.283 -1.02385 1.39767 565.247 0.682241 0.355687 0.593961 0.84142 185.63 -2.64202 2.2435 879.884
1250.77 0.440945 0.217504 1082.94 -0.95067 -0.297503 1869.61 0.72942 0.493134 0.721859 0.830959 976.68 -2.64199 2.34448 4343.33
1806.21 0.149127 -0.199443 1548.84 0.0449615 1.37352 2395.75 0.403468 0.704953 0.746117 0.748136 489.579 -2.63041 2.27925 5492.38
2073.91 -0.386327 -0.477319 1745.36 -0.214596 1.31368 3045.25 0.424393 0.605085 0.71608 0.761395 655.87 -2.82519 2.14431 5535.21
1642.29 0.0940921 2.56241 1536.71 0.578268 0.863438 2547.62 0.631722 0.287277 0.893196 0.613897 387.43 -1.19571 2.05915 4923.08
1845.61 -0.135403 -2.34324 1423.29 -0.0335695 1.27894 3281.97 0.624943 0.454581 0.601729 0.500577 205.056 1.54996 0.271018 5029.15
1450.96 0.425519 2.38965 1261.43 -0.159578 -2.78414 1837.16 0.554235 0.636763 0.728625 0.888328 960.138 -0.21371 2.57043 4852.48
1920.94 0.692052 0.116969 817.928 0.105922 -2.77077 2797.8 0.206652 0.40594 0.605904 0.405688 812.348 -2.79942 0.0286536 3808.38
