pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
1194.98 0.326534 -1.15622 380.339 -0.446474 2.095 1628.11 0.051458 0.20769 0.629608 0.68712 422.916 1.75481 0.0958725 1563.27 1.5571
317.835 1.59175 1.99609 284.776 0.125291 -2.8002 656.437 0.550299 0.456828 0.813917 0.674408 21.3612 2.0077 0.0111387 970.441 1.5571
549.982 0.10365 2.02301 260.72 0.261991 -0.0731732 694.693 0.768997 0.382287 0.803505 0.707139 939.243 -1.04433 0.198086 887.781 1.5571
487.73 -0.342384 -1.1229 308.924 0.0590333 0.748105 657.158 0.246195 0.5914 0.664774 0.818822 675.461 2.50565 0.620151 1056.82 1.5571
694.159 0.0817297 -2.7023 515.462 -0.0792603 0.929189 1201.86 0.575737 0.607849 0.859819 0.692366 220.514 2.7292 0.567755 1428 -1.5571
346.292 -1.22387 2.14354 291.001 0.0479613 -0.344794 762.314 0.26425 0.816729 0.759353 0.677861 298.462 2.72402 0.362988 811.123 1.5571
305.234 0.474152 2.55383 261.476 -1.0082 1.91709 501.455 0.429185 0.783019 0.776147 0.784293 48.5779 -3.05129 0.686053 668.916 -1.5571
466.745 0.195853 2.18934 264.307 -0.950036 -1.09415 829.823 0.48476 0.300599 0.7977 0.769861 447.516 2.54071 0.0417378 984.113 1.5571
789.064 0.205153 -0.730851 258.153 0.301542 1.66303 873.457 0.417946 0.267557 0.70839 0.731952 446.167 1.39743 0.122714 1279.48 -1.5571
503.243 -0.263115 1.823 400.306 0.0762502 -3.03004 641.447 0.29019 0.539793 0.579803 0.707006 1277.18 -0.613794 0.178617 1252.78 1.5571
404.781 -0.633428 0.93301 372.462 0.0435573 -1.90575 829.771 0.529757 0.716574 0.529563 0.797814 376.258 1.74794 0.767924 788.315 1.5571
347.377 0.0832509 2.83487 289.438 1.38513 -0.988812 749.511 0.710405 0.483821 0.794372 0.820352 194.157 0.536644 0.0568918 764.158 1.5571
1139.39 0.572068 1.37452 418.477 0.350925 -1.55732 1404.74 0.64764 0.563695 0.423632 0.71248 394.346 -2.45674 0.145612 1604.1 -1.5571
516.856 -0.184657 -2.7068 278.969 0.534624 0.858692 803.767 0.397449 0.434385 0.595313 0.753052 107.444 -2.00624 0.103341 1109.95 1.5571
768.18 0.48609 1.17445 298.878 0.217844 -2.93281 928.311 0.461663 0.721395 0.677523 0.71344 585.691 2.66834 0.389159 1075.98 1.5571
374.219 1.33428 -1.16893 312.919 0.270093 1.1214 741.721 0.735736 0.694941 0.606752 0.762427 233.563 -0.0695373 0.399993 719.897 1.5571
865.338 -0.00637383 -0.0162581 662.178 0.392162 2.58446 1550.6 0.217565 0.554584 0.733081 0.70577 145.505 2.4047 0.170663 1721.23 1.5571
679.249 0.393126 2.10173 395.409 0.613781 -0.262506 1015.74 0.674376 0.449148 0.723434 0.823535 1054.95 -0.958909 0.375843 1086.67 1.5571
408.674 -0.997226 2.15619 299.953 1.24075 -1.88861 1153.54 0.674811 0.641733 0.761078 0.725343 480.564 -1.69968 0.176289 1120.53 1.5571
444.922 0.242708 2.75122 274.706 0.0797384 0.342473 700.87 0.294902 0.299716 0.650854 0.792323 203.526 -1.62815 0.308848 947.594 1.5571
770.375 -1.41191 0.050032 393.971 -0.148863 1.28713 1009.15 0.704796 0.612232 0.756283 0.738062 1257.55 -2.49299 0.432638 1193.69 1.5571
382.579 0.412187 -2.29492 365.114 -1.28189 1.40343 1018.55 0.496345 0.728699 0.709124 0.80866 680.661 0.887057 0.522451 796.288 1.5571
957.3 0.445422 1.53065 467.819 -0.488573 -2.87231 1290.6 0.765038 0.508484 0.792507 0.66745 199.97 -2.4846 0.07443 1803.48 1.5571
415.754 -0.0174136 0.660892 369.134 0.627414 -2.40112 831.852 0.406692 0.767421 0.818003 0.826216 16.1955 -2.54166 0.131868 1274.17 1.5571
555.338 -0.0826364 -2.89957 550.229 -0.787201 0.996745 1112.1 0.75645 0.373826 0.775922 0.756756 1132.09 -0.551478 0.643966 1099.33 1.5571
669.338 0.423399 0.411332 462.685 1.5457 -3.01838 1296.47 0.270863 0.826004 0.578988 0.75946 138.204 -2.53247 0.485746 1154.12 1.5571
445.967 0.395251 1.96439 395.621 -0.323414 -1.77953 876.474 0.820965 0.668098 0.790252 0.844137 196.701 -1.06156 0.726875 1085.32 1.5571
928.568 0.184367 -0.348513 620.528 -0.0308756 -2.9943 1512.32 0.731946 0.45957 0.776054 0.573493 223.999 1.55744 0.925126 1901.2 1.5571
666.382 -0.244652 -0.784393 462.615 0.794343 -3.12363 1196.32 0.649096 0.429355 0.567962 0.29755 348.291 2.40074 0.43026 1437.81 1.5571
318.249 -1.41998 1.03862 293.575 -0.307332 0.368323 452.866 0.615316 0.74871 0.573695 0.751248 922.709 -2.18393 0.506727 788.43 1.5571
558.204 -0.936748 -2.98412 270.087 0.896864 -0.47761 1117.66 0.440582 0.647056 0.42893 0.732186 156.996 2.0461 0.00860882 1089.21 1.5571
383.597 -0.427778 -0.640873 362.568 0.984482 -2.68261 866.583 0.451794 0.746313 0.81036 0.77528 522.144 2.13626 0.672057 917.835 1.5571
930.489 -0.362157 -0.102813 293.604 0.833398 -0.222648 694.324 0.255901 0.716757 0.672476 0.587097 1167.19 3.13969 0.296396 1609.18 1.5571
578.248 0.386294 -3.13008 313.362 -0.548251 -1.64061 730.864 0.829394 0.72067 0.841264 0.694551 296.583 0.723458 0.176837 1288.34 1.5571
448.149 -0.221698 0.594754 264.243 0.0673717 -2.05588 682.361 0.675156 0.772814 0.758645 0.729451 724.695 2.57356 1.64835 899.164 1.5571
370.442 -0.823438 0.43034 360.061 -0.215287 2.98556 755.912 0.44529 0.662749 0.814674 0.731231 268.567 -2.52561 0.584827 928.555 1.5571
353.677 0.272381 -2.33515 267.115 1.79481 -1.68794 561.68 0.400195 0.695152 0.471504 0.685609 780.03 0.0559469 0.173735 944.888 1.5571
505.351 -0.0474291 -2.35291 329.549 0.268009 0.738398 833.216 0.620258 0.806076 0.648243 0.739106 215.737 1.07035 0.0144566 846.633 1.5571
446.967 0.495108 -1.64217 338.481 0.464104 -0.141405 549.852 0.783989 0.71604 0.746847 0.78254 717.843 2.3307 0.00301838 889.555 1.5571
473.729 -0.108137 0.193347 399.443 -0.89324 -3.02798 995.9 0.366878 0.299145 0.621488 0.807635 432.646 0.205023 0.0486812 890.815 1.5571
558.312 0.283162 -1.89122 371.895 0.376767 2.11047 854.502 0.776866 0.815134 0.76141 0.692293 177.259 2.00814 0.129576 1178.12 1.5571
343.577 -1.13995 -1.01404 321.372 -0.766988 2.13842 683.881 0.284718 0.479703 0.689366 0.77472 697.779 -0.713808 0.292275 983.699 1.5571
535.543 0.899503 -1.89471 428.781 -0.706923 2.68954 1130.14 0.705343 0.573904 0.865543 0.720919 198.59 0.21525 0.340571 1474.77 -1.5571
707.549 -0.471528 -2.49943 453.257 0.830694 1.22685 1358.84 0.786484 0.546645 0.759387 0.681414 324.607 0.634285 0.152059 1464.62 1.5571
490.552 -0.567352 2.61414 320.008 0.151033 -1.39389 791.688 0.772841 0.624164 0.619815 0.687577 170.966 -2.77925 0.889817 1217.05 1.5571
497.61 -0.280636 3.05444 466.309 0.0226848 -0.291467 990.128 0.384545 0.689482 0.834087 0.780766 575.952 -0.120482 0.162365 1104.98 1.5571
840.157 -0.182272 -0.327286 490.76 0.669214 2.69331 1453.13 0.544717 0.117376 0.746589 0.834656 713.41 2.13552 0.293258 1465.36 1.5571
855.532 0.0647393 3.12631 352.147 0.110955 0.495777 1110.25 0.388369 0.391742 0.621005 0.686881 641.132 0.508061 0.160373 1233.81 1.5571
981.239 -0.19728 -2.52547 311.932 -0.678344 2.09734 912.951 0.405975 0.221462 0.619956 0.579205 1743.97 0.262765 0.627866 1314.9 1.5571
480.418 -0.367422 -2.78557 465.022 0.59028 0.825366 1059.06 0.34175 0.502088 0.631263 0.784956 476.056 -0.537818 1.36046 935.9 1.5571
320.016 -1.2107 -2.96157 271.791 0.114639 2.08111 553.941 0.62165 0.329456 0.453696 0.741032 1077.75 1.27579 0.261719 841.331 1.5571
842.816 0.0824191 -0.934839 304.296 0.539455 3.04558 987.177 0.280304 0.718405 0.700817 0.756335 649.648 1.85322 0.444209 1346.72 -1.5571
352.958 -0.868595 2.20798 256.174 0.453249 -1.09083 745.404 0.745545 0.784625 0.754283 0.741631 220.62 -0.965315 0.130626 801.625 1.5571
512.888 0.0218252 -0.700689 379.717 -0.151561 1.10469 718.548 0.147006 0.763345 0.714212 0.785086 192.568 2.64591 0.61113 1037.54 1.5571
855.409 0.338339 0.285858 252.2 -0.00230202 -2.76819 1041.45 0.0806706 0.696178 0.526247 0.751347 291.254 -2.78105 0.00394511 1388.46 1.5571
298.495 2.03442 -1.95782 279.787 0.303364 -3.11793 665.168 0.620414 0.54215 0.8178 0.73206 778.563 0.682244 0.652968 644.737 1.5571
415.033 -0.447171 2.70718 267.133 -1.47347 -0.596834 768.992 0.462216 0.768794 0.560474 0.814085 88.2062 -3.05864 0.513952 737.397 1.5571
