pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
446.659 0.433337 1.08288 252.447 -0.153134 -1.93594 799.023 0.810149 0.790605 0.784622 0.699793 272.386 -2.26709 0.169634 703.754 0.0996691
1618.95 -0.737819 1.64429 1124.43 1.3543 -2.24164 4280.09 0.454665 0.775001 0.798956 0.689277 1012.26 -0.818788 0.0711575 2738.44 0.0996691
1894.22 -1.37708 0.755659 1271.83 0.718588 -0.798673 4531.03 0.417754 0.58113 0.819271 0.584687 1939.82 -3.00396 0.00377893 3415.72 0.0996691
1888.47 0.555586 -1.08169 589.542 -2.20997 -0.897455 4097.99 0.107685 0.828166 0.786491 0.787327 2050.1 2.00989 0.0946405 2769.26 -0.0996691
2604.91 0.282055 0.172911 593.702 -1.20826 -3.04746 3257.16 0.826409 0.776823 0.749638 0.723426 2238.35 -2.77561 0.240975 3680.79 -0.0996691
1313.5 -0.287973 -0.349527 711.045 0.408332 -1.75126 1567.72 0.595075 0.629491 0.614573 0.82904 1327.78 2.3844 0.0165267 2223.17 0.0996691
809.227 -2.10533 -2.84226 371.014 -1.37987 2.16122 940.576 0.791297 0.79349 0.780294 0.798738 857 0.170045 0.0828774 1309.55 -0.0996691
1561.15 0.938603 -1.19133 817.715 -0.13537 -0.963289 1371.65 0.722503 0.745728 0.778147 0.72705 2229.19 2.01588 0.583019 2407.86 0.0996691
1600.85 -0.662594 0.80964 330.382 0.336764 -3.12008 1656.74 0.763816 0.540098 0.782888 0.847639 1236.34 -2.20555 0.00241828 2130.96 0.0996691
429.876 2.0073 -2.70615 311.732 -1.82139 0.0506537 2553.49 0.755709 0.891812 0.827116 0.754367 173.095 0.928649 0.117593 693.048 0.0996691
1931.48 -0.388009 -2.91156 1380.7 0.210962 1.44987 2905.65 0.427131 0.482091 0.79738 0.807984 1757.73 -0.442074 0.214852 3369.75 0.0996691
1165.15 -0.73334 -1.31074 397.76 2.33087 2.83074 3255.89 0.65723 0.87701 0.797026 0.847165 955.198 1.55272 0.285684 1530.42 0.0996691
2489.4 0.434616 -0.0898748 274.718 -0.659869 2.77818 1956.94 0.773456 0.806853 0.784097 0.833251 3088.71 3.08847 0.103593 2906.55 0.0996691
1544.45 0.266319 0.0295269 1118.05 1.31839 -2.68983 3052.07 0.499488 0.673177 0.839042 0.83709 1143.09 2.0933 0.0133424 3265.47 0.0996691
1473.35 0.933309 -2.72873 514.147 -1.39394 0.232283 3100.99 0.861196 0.773154 0.827578 0.866187 960.146 0.540508 0.0767897 1946.23 0.0996691
1352.72 -0.888722 -0.654834 280.333 1.75467 0.0854595 2225.19 0.650861 0.783094 0.61162 0.79868 1405.54 2.61694 0.161353 1696.17 0.0996691
2051.45 -0.771295 0.467623 934.041 -0.244242 -2.02178 2840.29 0.541969 0.606073 0.830488 0.847513 1158.54 -2.7964 0.0100541 3341.21 0.0996691
1751.01 -0.880899 0.579012 1126.76 1.5952 1.71085 4716.54 0.768659 0.849648 0.845221 0.83644 2340.64 -2.11752 1.16275 2866 -0.0996691
1402.71 -0.679234 -0.674364 513.943 -1.96752 -3.13058 2051.05 0.824537 0.815551 0.827668 0.808993 998.494 2.28738 0.125918 1976.38 0.0996691
1435.01 -0.577935 2.87168 1433.37 0.518226 2.97635 1843.02 0.835397 0.293454 0.782288 0.680927 2869.6 -0.230562 0.229305 2932.06 -0.0996691
2045.06 -0.0454182 0.359921 983.824 0.723137 -2.72797 3080.04 0.815163 0.462275 0.719843 0.747873 1052.92 -2.80322 0.00952101 3053.45 0.0996691
1681.57 0.420472 -1.03217 989.413 -0.118256 -2.22315 1664.15 0.79353 0.793861 0.854703 0.741974 1637.43 2.01347 0.179582 3420.23 -0.0996691
773.717 1.58557 -0.199863 345.402 -1.38181 -3.1034 2419.42 0.8728 0.794832 0.819234 0.816786 196.99 2.63822 0.0847359 1407.21 0.0996691
1848.32 0.696872 0.726934 1428.64 -0.979054 -1.10202 4045.81 0.574836 0.597832 0.773008 0.712251 1114.2 2.66368 0.124496 4060.59 -0.0996691
494.107 -0.37921 1.77515 431.474 1.35019 -1.26081 1341.5 0.687843 0.799698 0.777359 0.864274 84.9058 -1.41741 0.0353271 1047.84 0.0996691
1859.41 -1.00426 -2.81852 1403.32 0.196723 0.0135792 3984.75 0.0754856 0.634975 0.816275 0.791397 600.352 0.947192 0.232494 2490.03 0.0996691
1278.2 0.344852 3.02793 1214.09 -0.129588 -0.296785 2652.22 0.794608 0.732767 0.852904 0.594423 188.298 0.804559 0.0505869 2603.21 -0.0996691
1737.65 -0.188639 -0.709765 772.026 -1.52374 1.93469 2862.84 0.667744 0.470801 0.751785 0.869664 1005.56 2.56597 0.283288 2897.38 0.0996691
1366.62 -0.119646 -0.447335 313.697 2.30548 2.6878 2455.31 0.434583 0.768642 0.776214 0.811665 1054.63 2.65836 0.0313327 1742.04 0.0996691
1933.32 0.119139 -2.93574 1189.28 -0.107379 0.893078 2946.9 0.646999 0.558716 0.774828 0.681262 1668.05 0.0926911 0.0311923 4090.12 -0.0996691
2762.17 0.752752 -1.90181 1747.02 -0.336201 2.55668 4348.15 0.78887 0.5427 0.76393 0.769024 2382.16 0.697151 0.173341 4979.68 0.0996691
1430.16 -0.662257 0.553046 1367.37 -0.445583 -2.54517 2925.69 0.743205 0.133846 0.713047 0.831467 120.875 -2.0426 0.0246642 2851.54 0.0996691
1301.24 1.08883 -1.56005 671.221 0.487307 0.729245 1847.13 0.283387 0.607307 0.863315 0.78927 923.361 1.99469 0.197833 1924.63 0.0996691
1460.2 -0.344351 -1.24874 1194.87 1.57078 1.89792 3993.67 0.648431 0.79992 0.712994 0.813428 516.734 0.427624 0.0528365 3280.84 0.0996691
1631.64 -0.0506336 -0.306597 394.215 -0.073499 2.74851 1702.98 0.646708 0.662918 0.704405 0.830384 1286.83 2.96921 0.0641618 2218.71 0.0996691
1129.85 0.357149 -1.47088 256.777 0.583699 0.418642 928.86 0.758125 0.801628 0.818173 0.83 1035.79 1.86166 0.0687937 1439.68 0.0996691
1281.56 1.20674 1.6835 1050.76 -0.572404 -2.13548 3245.73 0.559015 0.81126 0.837056 0.815278 678.336 -0.544313 0.150866 2335.61 0.0996691
373.269 -1.80797 -0.525303 287.808 -1.05028 2.83377 754.899 0.7411 0.749321 0.848829 0.789166 199.629 1.76379 0.0434338 742.711 0.0996691
2539.77 0.329605 -2.9134 423.731 -0.723991 1.66399 2178.17 0.154067 0.752363 0.68155 0.811522 2569.19 0.042851 0.0192426 3182.71 0.0996691
1623.32 0.176032 2.52352 1460.32 0.487811 0.76882 2461.47 0.570703 0.815118 0.710536 0.780332 1943.88 -1.41761 0.335513 3040.45 0.0996691
1717.27 0.542917 -0.426673 667.993 0.65659 2.71345 2299.27 0.500559 0.834417 0.860817 0.764073 1011.76 2.73093 0.0152488 2401.54 0.0996691
1249.11 -0.565837 3.10793 1181.86 1.54499 -2.56374 3226.55 0.307851 0.73949 0.77536 0.827251 1221.46 0.867782 0.00161135 4064.87 0.0996691
1132.02 -1.311 -2.42494 1081.59 0.38692 -2.84696 2274.65 0.785094 0.563638 0.803509 0.798741 1875.49 0.536431 0.134221 2335.02 -0.0996691
1762.4 -1.07615 2.67689 326.677 1.23065 0.600338 2584.91 0.821371 0.79619 0.867572 0.840691 1392.8 -0.64677 0.0801523 2094.31 0.0996691
2099.58 0.720603 -0.850179 1027.17 -0.0276444 2.03512 3181.76 0.847161 0.593745 0.814809 0.716518 679.224 2.00974 0.0228274 3904.75 0.0996691
1363.64 -0.414842 3.12967 1086.75 -0.345009 -0.405628 2458.47 0.788023 0.735656 0.812428 0.757028 618.136 -0.406316 0.011015 3382.84 0.0996691
1137.22 0.512263 -2.76727 1117.74 0.771648 0.428752 2334.53 0.746138 0.767199 0.73953 0.750997 106.911 -0.138784 0.0186922 2228.38 0.0996691
2061.59 -0.729734 2.05939 1608.96 1.24482 -0.115805 5332.16 0.791813 0.473359 0.856674 0.861797 1409.53 -2.19069 0.0478272 3905.85 0.0996691
2615.46 -0.0107852 -0.3918 1297.48 0.188975 2.79441 3764.56 0.694765 0.746184 0.791044 0.872381 1187.52 3.11583 0.0719329 5277.07 -0.0996691
1216.06 -0.592529 1.92407 534.273 -0.914143 -1.67539 1628.09 0.753987 0.815856 0.560733 0.722348 699.503 -0.968767 0.184973 1903.02 0.0996691
2798.68 0.105426 -2.98917 642.645 -0.125774 0.0529097 2933.19 0.222007 0.551681 0.642279 0.754506 1968.52 0.216149 0.181125 3554.39 -0.0996691
1684.25 0.583207 1.84248 1153.08 1.325 -1.333 3009.07 0.280959 0.848811 0.734186 0.826215 623.711 -0.49578 0.00155738 3230.67 0.0996691
2494.02 0.376951 -0.387205 2362.86 -0.28401 2.35436 5086.37 0.572163 0.542872 0.840964 0.781462 1692.59 -2.90235 0.55016 5599.48 -0.0996691
1832.57 0.407897 1.58203 1463.89 -0.0671616 -2.7041 2958.65 0.365598 0.776537 0.866025 0.825197 1573.97 -0.595848 0.0408479 3412.44 0.0996691
1699.76 -0.068626 2.19241 508.213 -0.00756056 -1.31124 1903.22 0.62166 0.725827 0.780999 0.85073 1161.84 -0.847874 0.140043 2396.62 0.0996691
957.279 -1.21304 0.204187 388.559 0.726679 -1.73044 1763.58 0.830957 0.798125 0.807884 0.875698 838.107 2.98702 0.186097 1371.64 0.0996691
1583.59 0.257444 0.346418 1430.73 0.408055 -2.57429 3080.36 0.750713 0.683342 0.691845 0.875276 363.434 2.38083 0.295395 3004.84 0.0996691
1946.59 0.334207 -1.94036 1877.58 -0.735241 1.48088 4514.67 0.356263 0.385412 0.823878 0.773992 435.199 -0.863266 0.105938 3839.84 -0.0996691
1374.32 -0.228652 -2.80247 377.367 0.763363 0.179221 1666.76 0.760141 0.632967 0.76431 0.809226 946.456 0.353946 0.147036 1758.61 0.0996691
1763.52 0.383236 -3.05594 790.686 -0.61483 0.46735 2670.68 0.665753 0.757432 0.68071 0.817582 1883.33 0.0523976 0.0264764 2672.32 0.0996691
1603.17 0.0816714 2.57082 808.416 -1.54033 3.14053 2253.66 0.560993 0.631158 0.840958 0.577349 2027.03 -0.140663 0.357182 2805.41 -0.0996691
2671.03 -0.696925 -0.978511 1412.73 -0.639295 2.85222 3721.72 0.535428 0.652406 0.739896 0.853511 2793.01 1.76506 0.507301 4123.02 0.0996691
455.381 -1.06633 0.127581 393.245 -1.15463 -2.2974 841.716 0.752996 0.812957 0.847906 0.773795 179.915 2.129 0.0230494 881.142 0.0996691
1187.62 0.459083 -1.53505 267.186 0.137223 1.805 1198.79 0.82418 0.807547 0.758876 0.819117 963.13 1.56122 0.122063 1548.59 0.0996691
1807.02 -0.579668 -2.21548 667.942 0.0346922 -0.261904 2057.73 0.296098 0.804349 0.828914 0.800091 1487.63 1.15849 0.0828799 2758.37 -0.0996691
2257.19 0.184225 1.40972 1148.54 -0.0737684 2.90646 2350.62 0.369037 0.698326 0.815746 0.799207 2548.2 -1.4185 0.514108 3740.06 0.0996691
1323.08 0.583185 -2.20128 578.558 1.03669 -0.062797 1640.07 0.66558 0.727126 0.846781 0.764497 923.149 1.46786 0.104455 2098.01 -0.0996691
756.548 1.90137 0.0740132 496.027 0.448964 -1.85249 1505.77 0.706103 0.673671 0.822236 0.7542 608.208 2.67747 0.0597761 1309.1 0.0996691
3029.4 -0.154139 2.26065 1779.08 -0.0684935 0.0635579 4219.41 0.451734 0.818157 0.7718 0.740626 808.32 -1.61049 0.125305 6787.12 0.0996691
960.143 1.23222 2.86254 344.565 0.983453 -0.226539 1200.61 0.749367 0.75669 0.828914 0.828454 672.946 -0.257271 0.0147015 1339.96 0.0996691
1741.28 -0.0473602 2.13715 1302.08 1.82567 -2.18968 4163.31 0.785121 0.844809 0.819239 0.781804 1621.22 -0.213786 0.034158 3022.34 0.0996691
1049.86 -0.154929 -1.30989 620.583 -0.860015 0.770354 1572.43 0.625457 0.562141 0.701781 0.810542 976.223 2.40146 0.189545 1814.27 0.0996691
1134.08 0.726668 -1.59068 1098.05 -0.467357 1.41997 2713.93 0.659492 0.524286 0.755459 0.721541 128.554 2.91984 0.671336 2273.4 0.0996691
1548.68 -1.42436 1.29371 1404.38 0.188392 1.72452 2837.52 0.528214 0.738671 0.764788 0.75778 2136.56 -1.65871 0.352517 3161.5 0.0996691
491.16 1.38635 -0.344324 442.774 2.97443 2.91815 1300.38 0.829318 0.726021 0.77846 0.789449 51.4475 -1.13761 0.0760669 1193.09 0.0996691
1018.09 0.465485 -2.82713 891.182 0.828878 -1.41862 1402.28 0.875449 0.762626 0.790851 0.829323 1806.37 0.877304 0.477386 2371.8 0.0996691
1190.82 -0.163736 0.577028 1188.34 0.331893 -2.06964 2472.26 0.826119 0.343272 0.827002 0.477022 70.6058 -0.309046 0.00909147 2867.62 0.0996691
2370.53 -0.47862 1.49625 1498.53 0.362389 2.93248 3087.46 0.730274 0.779805 0.781415 0.765766 2645.12 -1.15852 0.0186827 3950.58 -0.0996691
2288.85 0.693673 0.0106831 1002 -0.16703 -1.36644 2451.5 0.868277 0.48298 0.795118 0.888661 2419.22 2.79794 0.0269606 3539.5 0.0996691
1864.05 0.37582 0.270389 491.898 0.318512 -2.24305 1930.3 0.522083 0.802846 0.838161 0.735574 1469.73 -3.07285 0.104027 2431.23 0.0996691
1415.27 -0.984582 -2.18996 311.22 -1.35749 2.93813 865.439 0.804891 0.692151 0.743842 0.774916 1171.45 0.832894 0.489479 1773.58 0.0996691
1589.36 1.1844 0.981961 1242.01 -0.0659476 -1.7533 3395.58 0.765655 0.466964 0.758906 0.901986 1409.61 -2.51183 0.0279961 2892.43 0.0996691
1887.03 0.900106 1.72564 409.118 -0.041055 -2.68595 1740.11 0.811916 0.756936 0.844277 0.798516 1547.7 -1.3321 0.137528 2286.07 0.0996691
