pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
1772.66 -0.398862 -1.07219 1351.35 -0.43317 1.31993 2936.36 0.756597 0.619277 0.824459 0.743695 651.023 3.09225 0.0533636 3886.33 -0.0996691
1184.29 0.510823 -0.476742 1037.92 0.0526858 -2.01279 1697.96 0.140881 0.29138 0.472717 0.662947 796.169 2.08221 0.235874 3081.76 0.0996691
1777.25 0.389215 -0.660998 1206.74 -0.331338 3.05206 3038.12 0.72947 0.457536 0.808186 0.761896 732.708 1.72875 0.0409884 3278.84 0.0996691
2320.14 -0.777397 1.70301 1836.99 -0.996276 -1.68907 4477.85 0.0252638 0.653131 0.754933 0.601168 273.473 -1.84794 0.0753332 4972.24 0.0996691
1910.82 0.0367324 1.34327 1836.52 0.122237 -1.07401 3660.75 0.770891 0.172692 0.710568 0.809936 639.249 -0.940404 0.139658 5647.48 -0.0996691
2093.53 -0.749974 1.63759 1540.57 -0.332245 -2.01866 3681.66 0.206898 0.626215 0.44635 0.743299 608.625 -1.07794 0.641544 4281.21 0.0996691
2162.71 -0.181247 -0.0906598 2080.31 0.0409575 -2.6258 4274.52 0.536207 0.124392 0.832746 0.681624 37.0098 -3.03644 0.0326924 5657.14 0.0996691
1965.78 -1.13246 -2.38456 1665.41 0.258831 0.284293 4504.39 0.331682 0.53136 0.771147 0.768541 708.093 1.58718 0.272905 3815.59 0.0996691
356.998 1.12877 1.37948 282.146 2.72437 -2.13131 884.903 0.839586 0.806282 0.8194 0.801253 63.0732 0.805894 0.321114 1011.2 0.0996691
2597.2 0.114184 -1.68505 2214.19 1.21625 1.83884 5757.35 0.142306 0.677274 0.546733 0.706889 210.63 0.0211783 0.663789 5578.99 0.0996691
1517.69 0.407333 -1.76207 1193.43 -0.596294 1.18721 3049.81 0.672913 0.668492 0.57252 0.734981 67.0841 1.43839 0.184939 3158.01 0.0996691
728.133 0.0130556 0.934646 431.487 -2.58236 1.56443 1975.82 0.622564 0.446369 0.703906 0.705548 991.223 -1.96972 0.357001 1219.44 0.0996691
365.543 -2.11745 1.74013 299.195 -2.08593 3.05071 462.157 0.726179 0.708904 0.796674 0.875657 18.6787 -2.11679 0.16729 1306.57 0.0996691
2274.35 0.371634 -1.49904 2191.01 0.155926 0.777259 4407.15 0.151948 0.500073 0.62422 0.706773 364.29 3.09069 0.361784 6004.59 0.0996691
647.141 0.491917 -0.844837 260.95 1.92344 0.655745 893.418 0.753251 0.890536 0.640061 0.773418 628.434 2.89433 0.118675 1257.98 0.0996691
851.194 1.75578 0.279914 842.298 0.57843 -2.88567 2033.21 0.614731 0.712813 0.797544 0.741325 36.6904 2.33654 0.644067 1640.69 0.0996691
