pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
459.725 -1.12941 -2.89983 337.464 0.606634 -0.86567 1032.68 0.478231 0.559907 0.799605 0.730118 960.227 1.09399 0.219681 791.405 1.5571
453.165 -0.681033 -1.94097 342.472 1.94229 -2.98799 1419.91 0.696055 0.564988 0.731675 0.799998 469.079 -0.381509 1.39737 991.23 1.5571
1115.45 -0.800312 -1.06683 306.495 -0.188773 1.33406 1181.38 0.591517 0.703291 0.63012 0.664159 700.794 -3.09811 0.0359921 365.121 1.5571
334.929 0.786476 2.4034 282.713 -0.154283 0.76351 552.71 0.628142 0.381496 0.790596 0.59977 577.944 -0.116529 0.742878 853.128 1.5571
495.995 0.834477 -1.26074 395.619 -0.41535 0.616257 942.905 0.7168 0.628341 0.761934 0.646193 64.0903 0.347231 0.270107 1135.06 1.5571
752.413 -0.00127603 -1.89702 253.082 -0.316888 1.03393 919.7 0.274569 0.582151 0.698593 0.766631 634.24 0.974134 0.0342222 1351.24 1.5571
742.28 0.515132 1.34609 252.428 0.377613 -1.13137 918.65 0.252086 0.776495 0.572082 0.804377 945.249 -2.71465 1.59022 1014.57 1.5571
300.3 1.78253 2.69501 275.453 1.57376 1.69923 315.339 0.390738 0.381721 0.662527 0.71873 900.295 -1.25562 0.124011 751.03 1.5571
640.863 -0.933049 1.86852 400.614 -0.0583573 -1.77704 1101.64 0.726807 0.703114 0.786716 0.822857 556.918 -0.882116 0.735865 1166.36 1.5571
965.662 -0.66359 -0.131447 554.442 -0.918606 2.19515 1368.64 0.792612 0.863757 0.790969 0.835005 761.652 -2.26059 0.591384 1604.52 1.5571
468.76 -0.303873 -1.85422 301.937 -0.240069 0.213152 668.238 0.826236 0.57757 0.729847 0.648627 1387.13 2.12646 0.131247 838.214 1.5571
829.55 -0.612517 1.93058 485.445 0.704641 -1.39744 1568 0.777139 0.330276 0.767789 0.69586 354.703 0.0951242 1.45196 1333.89 1.5571
575.831 1.18865 2.79165 277.799 0.0357557 0.265099 939.884 0.181759 0.529556 0.817888 0.697746 748.479 -0.521405 0.641639 867.827 -1.5571
1146.58 0.769292 -0.197615 448.735 -0.966042 -3.01704 2003.35 0.668417 0.337098 0.6829 0.779986 243.523 2.62461 0.508604 1639.97 1.5571
1671.76 0.195745 2.04237 304.775 -1.24085 -0.909568 1847.27 0.805907 0.316862 0.852882 0.720296 1104.66 -1.55238 0.372586 2086.14 1.5571
1992.85 0.411837 -0.998283 560.102 0.812405 2.78493 2084.18 0.663436 0.800848 0.784145 0.694501 1035.74 1.65105 0.237493 2731.47 1.5571
1122.31 -0.0464818 -2.8224 372.715 -1.04544 0.629205 1469.21 0.79702 0.239974 0.818481 0.836842 368.666 1.64438 0.767149 1630.57 -1.5571
1039.11 0.39237 2.89106 264.053 0.293855 -0.515863 1167.45 0.172113 0.411459 0.352643 0.767797 399.271 0.309924 0.825353 1359.06 -1.5571
423.991 -0.652924 0.800875 326.085 0.590266 -1.95901 904.812 0.26086 0.276324 0.703505 0.783239 417.973 2.80324 0.737549 747.432 1.5571
582.236 0.837102 -0.492643 330.213 -0.31677 2.87899 1059.05 0.395051 0.562204 0.429271 0.843726 267.602 1.67234 1.20558 905.391 1.5571
370.506 -0.493491 -3.03465 339.646 0.972453 2.64892 624.033 0.840778 0.744139 0.742028 0.696401 1237.89 -0.191775 0.184755 744.509 1.5571
451.084 0.0792433 0.170872 280.326 -0.445183 1.55838 542.372 0.659491 0.671528 0.573457 0.699513 1287.12 -2.32943 1.32508 784.908 1.5571
447.433 0.798555 -3.01947 269.29 -1.41794 -0.343569 1163.96 0.763893 0.855723 0.640819 0.806327 306.95 0.328885 0.6719 794.65 1.5571
382.41 -0.180616 2.35152 273.872 0.184303 -1.41233 648.324 0.469074 0.741249 0.823463 0.762351 117.653 -1.26032 0.136682 723.673 1.5571
664.054 -0.0772896 -2.28786 478.156 0.150426 0.742172 1162.79 0.188513 0.587769 0.856768 0.775834 273.037 1.30112 0.201852 1185.43 1.5571
427.203 0.452722 -0.0496522 258.865 -0.0984311 -1.97984 595.791 0.646787 0.501521 0.803231 0.781148 1286.63 2.1577 0.22982 780.811 1.5571
420.17 -0.407521 0.191519 348.865 -0.54178 2.88226 773.235 0.563394 0.763679 0.69176 0.66643 449.864 1.61239 1.27724 733.576 -1.5571
602.512 1.29476 2.12357 358.315 1.02599 -0.607579 930.867 0.639316 0.616081 0.764856 0.773566 139.947 2.82435 0.715947 1154.31 1.5571
426.241 0.806452 0.183327 370.005 -0.567298 2.71729 964.032 0.760046 0.578161 0.715672 0.645527 328.738 -2.06901 0.841148 901.007 1.5571
502.554 -0.316035 2.74328 452.221 -0.332079 -0.859311 936.812 0.727037 0.792481 0.798879 0.80426 292.589 0.473698 0.378033 961.295 1.5571
778.535 0.604206 -2.79936 574.93 0.384345 0.386945 1391.15 0.183885 0.572789 0.796786 0.767877 160.186 -2.3208 0.43118 1356.8 1.5571
479.035 -0.286145 -1.50582 314.675 0.438706 0.714235 764.063 0.764546 0.722587 0.819332 0.757824 999.77 2.29733 0.193749 882.021 1.5571
335.867 -0.664917 2.18203 250.233 0.254561 -2.5377 499.72 0.464542 0.754691 0.565487 0.747647 1238.39 0.164989 0.0766799 717.367 1.5571
805.784 0.664807 2.84083 404.836 -0.847107 -1.4565 1359.79 0.749042 0.488054 0.662308 0.846153 1335.73 0.349791 0.245606 1227.08 1.5571
645.073 -0.359923 -0.798479 325.058 -0.313233 -2.19197 661.653 0.145222 0.46011 0.826182 0.813945 1006.73 2.4378 0.836329 1211.3 1.5571
896.867 -1.11513 -1.13799 253.705 -0.285119 1.96768 1081.91 0.367644 0.626007 0.638834 0.772054 1617.18 2.11946 0.156857 1189.33 1.5571
742.919 -0.940796 -2.19421 595.961 -1.13291 -0.292002 1109.98 0.15177 0.264046 0.559363 0.681733 514.653 1.03097 0.790246 990.21 -1.5571
599.095 -0.862969 2.72862 435.675 -0.00445774 0.440395 1056.69 0.627266 0.647383 0.723722 0.744349 473.154 -1.24631 0.738854 1225.44 -1.5571
623.641 -0.306533 2.09259 446.869 0.721702 -1.46282 1228.36 0.283963 0.103693 0.830925 0.752567 436.787 0.0813928 1.49992 1042.65 1.5571
414.219 -1.52518 2.49067 409.864 0.781643 -0.480794 1451.86 0.254171 0.193524 0.858556 0.755534 131.128 -1.01782 0.205254 825.067 1.5571
668.839 -0.467902 0.833465 255.718 0.72531 -2.23454 1040.09 0.156501 0.745493 0.819006 0.634173 459.669 -1.95451 0.169226 1012.44 1.5571
826.387 0.194073 -2.67287 459.935 0.394938 1.2086 1171.36 0.679644 0.760654 0.722406 0.829549 659.518 -0.574124 0.761586 1434.4 -1.5571
358.931 1.5151 -1.18949 280.822 -0.180214 0.976879 836.499 0.718056 0.598819 0.734867 0.70511 1343.07 -3.12637 1.44011 620.292 1.5571
637.314 1.05724 -2.24794 381.417 -0.737104 2.11454 1306.79 0.622368 0.817696 0.788001 0.732072 1741.31 0.414781 1.26733 1007.35 1.5571
758.406 0.325819 2.54159 400.83 -0.253299 0.200389 1082.83 0.461109 0.448317 0.613313 0.51534 514.982 0.308847 0.110517 1398.01 1.5571
720.704 -0.193306 2.37521 318.005 -1.17328 -1.54479 1039.61 0.279621 0.486222 0.423436 0.338082 1023.89 0.0773843 0.821999 1063.42 -1.5571
429.113 -0.115362 -1.54144 324.475 0.413843 0.737008 718.576 0.680847 0.755398 0.858124 0.900652 706.702 0.322788 0.413893 1016.74 1.5571
639.385 0.481586 3.00807 444.29 0.0403056 -0.768454 1051.63 0.421478 0.745697 0.560915 0.830193 681.147 1.69991 0.249516 1390.85 1.5571
482.877 -1.21509 -0.0902855 291.855 -0.63956 -2.97238 795.541 0.725563 0.287882 0.822172 0.727229 533.932 0.352077 0.43367 839.976 1.5571
489.755 -0.889446 -2.54575 337.124 -1.24897 0.109226 833.674 0.637741 0.616674 0.414633 0.661248 560.915 1.09815 0.281981 828.328 1.5571
437.632 0.512744 -1.20343 403.704 1.73726 -2.28061 717.616 0.499039 0.408498 0.743068 0.857788 1053.6 1.5501 0.538345 1165.6 1.5571
411.225 0.901869 3.02204 324.497 0.422583 0.395475 747.427 0.684396 0.684788 0.714945 0.748289 783.411 -1.02998 1.04417 910.429 1.5571
725.007 -1.94453 -0.439029 678.779 -0.518748 -3.10753 1757.21 0.828544 0.7635 0.812411 0.764051 597.576 0.692776 0.42676 1499.66 1.5571
384.735 -1.06547 -1.626 315.095 1.59467 2.29196 1393.72 0.528991 0.463218 0.611456 0.738454 720.457 0.701374 1.52688 670.905 1.5571
828.341 0.228325 3.01978 750.211 0.0197153 -0.0936608 1593.62 0.752057 0.583692 0.721998 0.526858 81.9895 -0.237967 0.142232 1590.45 1.5571
486.779 0.475046 -2.68633 283.192 -0.478999 -1.2236 633.731 0.40623 0.750012 0.828342 0.813277 1036.31 1.37402 0.0854759 872.619 1.5571
797.021 0.675668 2.74269 283.258 -0.456103 -1.28711 1139.12 0.279258 0.615376 0.421006 0.800497 928.753 -0.052845 0.337078 1230.79 1.5571
514.12 -0.821781 2.38515 322.067 0.0706667 -0.645275 931.657 0.196058 0.54019 0.558527 0.561091 360.622 2.45553 0.129878 831.988 1.5571
353.809 -0.845041 -2.85073 351.195 1.4067 0.724623 1214.07 0.671108 0.710323 0.509907 0.818194 420.405 -1.25475 0.847475 707.209 -1.5571
567.738 -0.563554 0.0803666 403.229 -0.322731 -1.78654 802.209 0.748847 0.186595 0.770792 0.760317 381.242 -0.975594 0.267022 1062.8 1.5571
681.852 -0.405529 -0.112554 311.599 0.712653 1.82538 944.457 0.785725 0.536636 0.72546 0.824703 291.092 -1.66749 0.31619 1363.39 1.5571
372.033 -2.28008 0.128404 282.667 0.0698623 2.87954 1155.01 0.758457 0.709331 0.814055 0.722233 1092.44 -1.8421 1.5661 741.587 1.5571
2134.73 -0.23347 2.20762 362.448 0.471862 -1.33275 1849.04 0.759315 0.322776 0.832788 0.552532 1225.44 -0.00867763 0.201703 2522.95 -1.5571
427.794 -0.955538 2.75766 388.063 0.599226 0.240415 1059.2 0.627036 0.494365 0.727801 0.556386 1060.33 3.13166 0.390638 1112.37 -1.5571
344.453 0.0817965 -0.410423 297.55 -0.169865 1.50853 544.294 0.378661 0.636896 0.654262 0.643079 865.783 -2.27834 0.0522845 670.677 1.5571
