pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht
522.249 0.234929 -0.71304 505.717 -0.245055 2.59301 1058.78 0.549762 0.513269 0.70831 0.708265 201.446 2.57661 0.0163994 1217.64
394.728 -0.652402 2.90322 353.749 -1.03662 -0.650071 782.322 0.752417 0.346158 0.632748 0.585601 23.3362 -2.08149 1.29847 989.626
400.347 1.77205 -2.10975 345.759 0.27893 2.32931 856.812 0.654967 0.344128 0.777505 0.567155 109.5 -0.183233 1.92651 880.325
490.104 0.0626055 -2.36222 349.831 1.46613 0.405669 1034.35 0.639885 0.760365 0.706801 0.511981 253.452 2.33443 1.58653 888.848
568.728 -0.0754033 -2.37583 335.381 -0.390624 0.7921 909.253 0.444068 0.682952 0.661777 0.852863 97.7535 -0.405606 1.19771 897.855
351.67 1.01664 1.08543 273.193 -2.06041 -2.7445 1506.55 0.516352 0.414681 0.573835 0.848854 80.6445 -0.59531 1.68074 779.512
491.516 -0.913518 0.0970114 272.034 -0.25458 -3.06894 784.079 0.408528 0.783309 0.72946 0.711782 751.028 0.135612 0.0386008 790.344
742.28 -0.134307 -1.89361 418.741 -0.375749 0.977123 1138.33 0.769286 0.664103 0.681182 0.721028 667.892 1.56199 0.584866 1197.34
280.071 -1.16708 1.41004 272.232 -0.142019 -1.54335 638.841 0.824291 0.630065 0.777845 0.682972 278.354 1.98949 0.57945 596.026
453.707 -0.325395 -1.14252 423.288 0.108388 2.29064 995.421 0.181027 0.277011 0.871564 0.819944 473.774 1.33454 0.956092 864.709
458.829 -1.13114 -1.69261 368.392 -0.20477 2.92733 742.083 0.835738 0.714279 0.808051 0.739203 565.499 1.85294 1.07439 1045.84
746.782 -0.248701 -2.42731 294.964 -1.95264 0.135038 1286.75 0.630723 0.736443 0.71015 0.770625 319.022 1.68707 1.55204 1210.19
530.814 0.0489293 1.06796 327.37 -0.0595361 -0.931294 726.273 0.758291 0.245987 0.875726 0.677023 574.508 -2.02147 1.09017 925.248
306.199 0.647087 0.308008 287.57 0.259833 -2.37949 613.241 0.67688 0.273205 0.542346 0.560656 22.2681 -0.944214 1.25222 763.544
475.579 -0.331984 -1.17614 451.984 -0.620091 1.98763 1021.45 0.250128 0.10419 0.603107 0.592519 782.789 1.7563 0.231331 899.065
490.018 0.880229 -2.62983 253.074 1.00399 0.234738 732.497 0.4141 0.561407 0.769132 0.714465 139.126 0.166448 0.0682896 803.154
460.858 -1.27089 1.77749 337.238 -1.02785 -1.20111 821.556 0.505502 0.544643 0.887022 0.769544 226.797 -1.9342 0.73309 778.417
336.15 -0.552515 -0.80966 315.297 -0.0895469 1.79973 655.213 0.64087 0.535203 0.827488 0.792349 358.531 2.59671 0.796976 698.277
295.246 -0.393465 1.68068 287.72 -0.227442 0.185678 412.875 0.600455 0.542387 0.836496 0.656187 600.838 -2.5577 2.04481 712.701
665.582 -0.356353 0.995783 438.819 0.586679 -2.69527 1186.19 0.533002 0.62805 0.767659 0.772363 620.858 -0.288743 1.28453 1078.61
669.929 1.49162 -1.4966 365.042 -0.588909 1.80517 1595.4 0.402676 0.261272 0.307393 0.694623 45.2494 1.39064 0.414534 1070.9
361.422 -1.41449 -2.72069 329.894 -0.740519 1.15918 695.319 0.43432 0.805951 0.772671 0.785719 303.846 0.858554 0.300628 770.182
395.618 0.0718227 -1.86185 305.244 0.097965 0.90483 733.249 0.606643 0.329185 0.728724 0.713222 536.983 -2.37822 0.51637 661.083
412.983 0.93916 -2.39258 289.23 0.490327 0.314204 703.981 0.800135 0.787618 0.766218 0.718978 309.509 2.12736 1.76324 667.968
494 -0.0370166 0.937577 279.566 1.47155 2.34141 794.552 0.402156 0.708615 0.778165 0.751939 159.213 -1.70262 2.23916 975.312
341.674 -0.705938 2.21694 310.539 -0.24005 0.0821366 604.749 0.60426 0.77277 0.766104 0.822627 408.947 -2.03399 2.03226 700.336
466.877 0.947686 -0.771498 305.701 0.382333 2.25493 803.467 0.735243 0.822179 0.776827 0.746142 119.284 0.355961 1.12746 820.391
374.773 0.321364 -1.20253 285.219 -0.0311228 1.92429 682.606 0.44062 0.74614 0.731239 0.656256 123.555 1.80671 0.117578 630.057
284.468 -0.20359 2.44392 282.6 0.653773 -0.935736 637.815 0.729871 0.463993 0.727806 0.746583 413.811 -0.711123 0.224613 630.119
369.38 0.574491 -2.78685 289.418 0.400596 0.617434 666.485 0.796325 0.77783 0.790816 0.812331 135.224 0.0694203 0.548014 790.399
583.162 -1.03351 -0.165993 292.649 -0.201392 -2.61111 915.904 0.840783 0.232628 0.789674 0.687554 447.819 1.70518 1.87117 863.119
423.282 -0.785059 2.16524 291.397 -1.12319 -0.442712 699.285 0.73343 0.805108 0.772968 0.582984 305.062 -0.818311 0.375599 796.234
604.212 0.774875 1.42426 271.498 -1.06701 -0.947126 1150.21 0.58261 0.703438 0.768471 0.796619 527.454 -2.58932 1.64219 933.439
329.233 0.016075 0.0714601 275.92 -1.99247 1.83108 868.727 0.647139 0.67322 0.589367 0.669086 201.391 -2.0152 2.08666 680.534
434.725 -1.40205 3.03344 284.422 -1.09965 -0.100475 737.031 0.344142 0.659321 0.828187 0.697289 213.845 1.86593 1.16751 1012.56
350.234 -1.63312 -1.41439 340.982 -1.20784 0.387768 571.988 0.67613 0.776743 0.727697 0.829782 198.946 2.31272 1.92496 891.794
288.658 1.21323 -2.20728 257.626 0.211523 -0.436507 524.571 0.733543 0.778685 0.822345 0.858854 129.501 0.882218 1.31872 707.219
706.756 -0.472968 -1.91462 286.198 0.571994 0.58366 993.067 0.395861 0.67759 0.508838 0.841708 468.866 2.38991 1.80625 966.529
353.522 0.0299982 -1.09274 281.484 0.534587 2.59346 640.11 0.716039 0.57028 0.700919 0.579115 119.443 -2.56311 1.12661 666.667
351.212 -0.515159 2.88283 326.842 -0.723519 -0.360338 695.775 0.557575 0.703657 0.702672 0.663551 70.79 0.661235 1.02157 833.719
533.719 -0.645222 2.47059 424.852 -0.582866 -1.34809 911.243 0.686689 0.313883 0.73713 0.78404 625.694 -0.0933541 1.25474 1023.62
372.845 0.528046 2.63026 372.529 1.68757 -0.418704 883.953 0.692559 0.85848 0.651257 0.768336 450.007 0.831033 1.24974 936.532
412.052 -2.29833 -3.10748 258.95 0.804881 0.451417 1621.1 0.68348 0.649586 0.585644 0.780059 243.822 -1.12641 1.57783 635.426
538.762 0.73409 1.27899 277.016 0.87875 -1.42457 776.506 0.187407 0.479057 0.806465 0.601235 375.991 -2.81504 1.39047 816.408
616.53 -1.42036 1.12772 449.745 -1.69426 -2.43469 1052.51 0.784569 0.720379 0.817069 0.757726 152.968 -2.34798 0.0867074 1356.59
419.249 0.17718 -1.8756 302.717 -0.131993 1.96187 687.469 0.485811 0.374784 0.606403 0.758836 166.615 0.62329 1.33858 725.108
488.749 -0.00143935 -2.68572 309.341 -0.052964 1.07447 753.665 0.760045 0.661239 0.761177 0.708311 226.649 0.32388 0.750586 971.935
779.074 -0.776827 -0.897702 328.173 1.25987 1.74495 1574.25 0.824495 0.873763 0.846164 0.773561 162.166 1.07199 0.672953 1234.15
319.133 -0.761844 1.50463 252.439 -0.986826 -0.751368 526.445 0.55154 0.791096 0.800698 0.81101 73.62 -0.108014 0.643354 788.483
556.049 0.145744 1.84496 517.138 0.137367 -1.07909 1076.24 0.496309 0.576929 0.836025 0.773623 212.738 -1.74535 0.666259 1120.8
537.432 1.61827 1.35311 372.114 -0.753963 -1.4142 1605.68 0.766955 0.439052 0.818231 0.820366 29.7821 -1.47464 0.060436 1041.1
486.327 1.57849 0.409527 266.38 0.800206 -1.42431 683.444 0.698162 0.239059 0.850853 0.668608 648.796 2.70842 2.15045 811.065
347.697 0.167499 -2.95322 255.483 -2.21217 0.60954 1076.14 0.806344 0.801752 0.732687 0.811338 121.07 -0.969018 1.57856 617.732
374.852 0.248176 -2.26692 370.417 -0.930427 1.21124 885.09 0.565197 0.392883 0.681916 0.735685 507.894 0.383739 0.827498 927.138
301.36 -0.314258 0.388313 298.621 1.21329 -1.1407 663.583 0.78493 0.733164 0.718992 0.692332 263.393 1.98833 1.60002 772.465
561.464 0.2599 -2.66553 273.822 1.77937 -0.0654681 1031.76 0.355525 0.626393 0.398814 0.776674 324.72 0.659124 0.724592 868.87
304.787 -0.445582 -1.28735 268.351 -0.15292 2.73589 553.413 0.70239 0.293812 0.566674 0.83986 233.114 1.54571 1.19017 718.193
752.229 1.17602 1.79314 310.671 0.392091 -1.53341 1052.73 0.327308 0.84408 0.801941 0.782464 578.294 -0.0581499 1.47526 1115.19
348.046 -0.991286 -0.428923 313.809 -0.556137 2.91073 700.65 0.715606 0.443743 0.718638 0.62427 198.336 1.94584 0.964887 645.189
301.48 0.424446 -2.89854 278.445 -0.522147 1.16743 601.079 0.719413 0.837645 0.702079 0.78803 86.1472 2.55999 0.824661 780.122
539.572 0.499632 1.00899 338.412 0.502181 -2.16353 872.521 0.708722 0.516912 0.581556 0.791117 184.975 -0.92314 1.24039 922.077
323.625 -0.130704 -2.33511 257.942 -0.739062 -0.452564 507.828 0.439415 0.510744 0.7693 0.644832 19.7601 0.219312 0.671876 695.539
275.968 -0.0714968 -0.790356 275.745 2.03997 2.18716 900.782 0.593262 0.634847 0.747592 0.801748 295.185 -1.51942 0.729061 639.185
499.203 -0.743725 1.8604 362.619 1.69978 -0.71441 1557.51 0.759021 0.765006 0.75726 0.845592 258.483 2.19743 0.33703 987.854
390.08 0.928647 -1.00299 387.477 -0.0444746 2.00451 927.002 0.35971 0.0808047 0.406527 0.716586 182.798 1.30211 0.702396 1041.41
517.914 -1.09862 -0.107421 460.452 -0.45862 2.64651 1049.27 0.777555 0.539098 0.731507 0.49425 341.572 -1.10454 0.997118 974.115
