pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht
412.262 0.135145 0.0461417 396.964 0.206552 2.59954 787.595 0.788083 0.707437 0.799252 0.753237 410.586 -2.97925 0.704392 1016.66
537.055 -0.00189331 -1.49361 381.651 1.21873 0.157154 895.189 0.413323 0.30919 0.632801 0.786677 245.405 1.1012 0.944042 1535.7
662.498 0.532933 2.29575 421.005 0.570577 0.24988 928.9 0.775772 0.671711 0.769066 0.751338 212.329 -0.0579604 0.307841 1396.15
414.324 -0.744292 -2.14205 281.876 -0.549697 1.56564 691.928 0.635919 0.721036 0.706414 0.819772 322.831 2.05977 0.494128 1104.41
429.368 -0.828124 -2.39366 407.367 0.763649 1.46486 1105.15 0.547648 0.455892 0.626481 0.653166 267.111 -1.56976 0.823902 1175
871.394 -0.623664 1.24073 250.529 -0.088188 -2.51788 994.323 0.101095 0.801942 0.561435 0.698113 88.6785 -2.20467 0.313209 1367.64
518.4 -0.624938 -2.69247 417.608 -0.881068 0.685581 950.97 0.616442 0.713839 0.742738 0.762429 77.342 -0.123055 0.808636 1130.22
769.345 0.137215 -2.85516 411.593 -0.437929 0.541446 1172.96 0.587734 0.37749 0.72982 0.69722 342.932 1.37577 0.834325 1457.93
638.983 -0.709367 -0.961299 273.968 -0.305872 2.30422 866.407 0.536314 0.706928 0.631705 0.743125 249.048 2.42142 0.117207 1064.54
291.239 0.358126 0.385437 277.565 -0.846707 -0.733105 493.856 0.300603 0.61696 0.678767 0.782148 251.103 2.05628 1.67085 700.984
383.735 0.751595 0.319079 273.938 -1.1797 1.69305 849.953 0.835926 0.531689 0.840495 0.854672 154.332 -2.40556 2.18458 904.451
590.227 -0.576601 1.64602 577.261 -0.733069 -1.67022 1261.66 0.597038 0.280393 0.800881 0.874987 462.101 1.10835 0.537668 1253.71
408.181 0.834067 -1.41923 263.05 0.765529 2.93886 564.299 0.645981 0.78103 0.743486 0.821847 379.801 0.759448 2.17868 928.001
604.884 -0.296683 1.18531 434.336 0.519427 -0.819803 976.683 0.235587 0.342434 0.81339 0.692352 440.159 2.9802 1.7949 1198.65
596.778 -0.726578 -0.746009 442.575 -0.17348 2.8973 1047.71 0.758845 0.358907 0.78012 0.782109 257.303 1.98019 0.917111 1582.65
811.813 -0.855409 -1.84853 320.07 -0.667374 0.689347 1010.24 0.719499 0.268082 0.776286 0.81939 69.0924 0.46244 0.226907 1290.97
721.203 0.916045 -0.408927 504.562 -0.813203 3.09261 1705.66 0.720661 0.193679 0.773875 0.640363 74.3555 0.0288717 0.437799 1515.22
503.591 -0.417221 -0.00231207 303.429 -0.329293 3.09154 811.161 0.639295 0.421665 0.856578 0.758342 77.8505 2.25944 0.832103 887.826
739.009 -0.336841 1.80193 489.304 -0.710651 -2.47947 1093.68 0.177027 0.485846 0.461415 0.688557 440.744 -0.778263 1.70121 1406.93
753.985 -0.394295 -2.60728 712.751 -0.114498 0.783823 1607.06 0.206565 0.304671 0.666532 0.656621 341.855 -0.0175256 0.801349 1572.9
662.239 -0.773675 -2.22309 337.811 1.34768 -0.219962 1484.38 0.160832 0.685827 0.551614 0.788574 340.247 0.806235 1.0262 1173.6
544.286 0.117547 -0.360102 300.55 0.845847 2.40128 912.312 0.312693 0.555306 0.831943 0.686071 522.622 -0.231446 0.128656 1091.67
641.495 0.898971 -1.11536 591.904 -1.16634 1.22658 1933.64 0.709447 0.479226 0.704948 0.528319 177.413 2.20889 0.982307 1471.87
1383.31 0.218152 1.94387 376.184 0.0724164 -1.47848 1543.63 0.286575 0.188085 0.579338 0.810169 1450.42 -1.09985 0.378634 1778.42
385.165 -0.633617 -2.05713 255.047 0.966905 0.230162 824.214 0.515067 0.366024 0.550166 0.587819 550.119 1.88657 1.65641 767.291
468.093 -0.135689 2.35746 317.144 0.847118 -0.642806 875.133 0.459601 0.817903 0.7433 0.826967 134.808 -0.848763 0.205957 908.919
626.411 -0.387441 -2.95404 608.613 1.60353 1.08595 1841.07 0.207518 0.345913 0.688738 0.831633 413.268 -0.75837 1.84432 1388.26
523.717 0.895326 0.810585 366.274 0.600447 -2.34812 989.904 0.308403 0.428302 0.838073 0.462081 138.548 -0.889189 1.45893 972.504
483.197 -1.042 0.186699 380.205 -0.135818 2.81521 944.938 0.718335 0.4057 0.830508 0.680133 826.01 -1.08766 1.27436 1011.69
326.743 -0.689853 -2.10493 306.332 -1.29435 -0.500724 512.974 0.629667 0.676931 0.782515 0.766827 36.7737 -1.67079 0.434142 951.763
414.064 -0.390584 1.84526 373.063 0.0821512 -1.79604 805.248 0.55101 0.412007 0.695988 0.628493 56.8749 0.741089 1.10417 1008.07
731 -1.03807 -1.64326 495.387 -1.17228 2.10639 1168.92 0.786285 0.76292 0.765029 0.765403 190.679 -2.54872 0.90546 1626.74
626.097 0.977365 -0.311058 487.214 0.43045 2.19959 1111.13 0.535724 0.292867 0.547902 0.750522 244.801 -0.645964 0.334906 1522.07
655.641 0.570062 0.260465 285.828 1.28008 -2.40532 907.816 0.278465 0.874148 0.741684 0.781944 191.607 -1.62316 0.782155 1158.06
566.007 0.317297 -2.07487 297.896 0.629262 0.448851 822.018 0.236972 0.488677 0.724285 0.895203 575.023 0.695086 0.246235 1301.84
1084.15 -0.0257849 -1.78722 616.846 -0.983661 1.98483 1777.16 0.771573 0.555065 0.697586 0.87645 182.146 -0.852947 0.934277 2224.14
684.051 -0.416672 2.22558 477.309 0.68905 -1.34114 1337.13 0.63512 0.339042 0.805846 0.632102 94.5776 -0.825578 0.515561 1604.9
645.187 0.659926 2.41122 347.295 0.260579 0.0796246 951.537 0.274626 0.192828 0.502498 0.681624 418.473 0.027265 0.0523596 1263.43
402.578 1.069 -2.99979 384.452 0.575529 2.13704 493.924 0.613252 0.594442 0.857222 0.808965 315.152 -3.1119 0.112113 1204.27
518.481 0.470497 -2.44872 331.976 -1.39792 1.47896 1192.56 0.438479 0.502963 0.532467 0.679031 807.304 0.348701 1.13026 1046.24
654.645 0.430749 1.54939 524.117 -0.353241 -0.73526 1174.92 0.63708 0.646 0.761331 0.821824 230.553 -1.9161 1.18084 1489.39
528.729 1.15999 1.77671 402.752 0.736607 -0.474681 906.434 0.455295 0.225454 0.692722 0.592788 179.471 -2.16874 1.69406 1393.55
1531.51 -0.458978 -2.65785 632.728 -0.296105 -0.0648141 1914.13 0.646137 0.695456 0.712975 0.854038 293.208 0.244704 0.309518 2726.68
580.654 -1.25266 1.0076 476.784 0.406809 2.51844 1255.14 0.56501 0.266036 0.769863 0.575548 790.37 -1.53559 2.22915 1342.93
893.965 0.631303 -1.16686 332.328 -0.883094 1.33559 1474.55 0.0528112 0.533062 0.831079 0.732964 718.23 2.13557 0.799982 1490.5
