pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht
622.342 -0.602451 -3.1202 417.44 -0.0344751 -0.500336 1036.5 0.411052 0.259478 0.527717 0.692837 1210.3 1.86443 1.29855 1818.49
913.659 0.718027 1.00273 675.173 -0.112781 2.66403 1368.14 0.715629 0.228879 0.750928 0.75388 2125.12 -1.57412 2.04503 1753.72
991.486 -0.493266 -2.07148 301.123 0.10448 1.86543 1110.99 0.243426 0.452648 0.765446 0.623496 708.227 1.1129 0.752534 1765.56
1070.13 0.381092 2.40772 364.351 -2.10396 -0.0125951 2315.06 0.327035 0.60272 0.798765 0.748461 1394.25 -1.3278 1.3152 1434.76
513.855 -0.680498 -1.46911 345.68 -0.231556 -2.99574 628.052 0.655806 0.614443 0.802513 0.709781 1475.96 1.11126 2.17618 1083.24
884.927 0.365552 -2.24782 829.806 0.354678 0.0662419 1579.45 0.712686 0.736 0.663927 0.730516 318.693 2.55181 1.48355 2426.97
1088.32 0.184434 0.807478 661.092 0.352762 -1.34363 1613.66 0.185449 0.136497 0.519233 0.85851 1508.03 2.83614 2.02866 1762.67
622.684 -0.197347 -2.08082 303.355 -1.10326 2.9028 685.017 0.400836 0.776441 0.767466 0.747275 773.611 1.73968 1.16312 1080.74
671.588 0.416052 -2.0426 456.421 1.25187 1.47215 1198.35 0.787147 0.727471 0.843027 0.709274 480.882 -0.267444 1.73959 1603.6
1061.49 0.525818 -0.329041 666.019 -0.421501 -2.88511 1841.68 0.600272 0.301258 0.789071 0.764427 1005.53 1.55189 1.84618 1993.54
841.936 1.10007 -1.37969 277.651 0.83235 2.22175 976.573 0.712948 0.747383 0.888495 0.812832 840.306 -0.531142 0.848545 1256.59
452.011 -0.41003 2.72277 408.316 0.129178 0.023358 883.142 0.684156 0.358585 0.633114 0.687967 1318.13 -1.47536 1.49872 1024.4
1160.57 0.0716979 -2.64856 263.216 -0.203377 0.488743 1128.07 0.547976 0.246322 0.762857 0.759181 225.264 0.388892 0.0998509 1589.86
1019.82 0.878031 2.13558 935.058 0.638789 -0.722844 2001.83 0.291288 0.111665 0.785994 0.858231 335.454 -0.993012 0.270168 2403.45
715.501 -0.43874 -1.37009 586.209 0.0296024 0.755374 1181.4 0.498531 0.736385 0.246426 0.786956 482.675 1.40504 0.649671 1727.76
857.157 0.706762 1.46327 548.445 1.31085 -1.81988 1492.87 0.328218 0.188122 0.612064 0.831952 573.537 -1.32228 0.497606 1429.42
826.201 -0.184135 2.70232 291.028 -1.40731 -0.204023 1178.06 0.899556 0.662771 0.659542 0.768974 743.503 -1.36511 1.16109 1300.43
352.864 -0.251871 1.78481 273.329 -0.552159 -2.80155 496.649 0.761773 0.476872 0.72072 0.670868 204.487 -1.80832 0.993232 783.067
896.092 0.403833 -0.89377 540.512 0.0930374 3.07267 1328.22 0.157653 0.798114 0.754085 0.714918 1056.13 0.775987 1.66976 1704.11
906.516 -0.300065 -1.20625 405.563 -1.31362 2.79599 1303.14 0.416262 0.135336 0.750865 0.715478 396.763 2.47464 0.321344 1647.99
594.063 0.188539 -0.0823587 333.734 -1.04469 -2.95776 1071.81 0.221924 0.409627 0.631541 0.838471 250.27 0.756009 0.838368 961.01
640.587 -0.1924 -1.18043 299.095 0.21671 1.48853 923.604 0.440915 0.699915 0.558404 0.762136 263.726 0.0288362 1.20927 1261.45
551.036 0.0760282 -0.932366 253.818 -0.382402 3.01984 723.188 0.141422 0.586932 0.823568 0.488181 954.494 -0.319706 0.61266 1029.95
422.95 -0.833753 2.30672 321.274 -0.688078 -0.676838 762.622 0.506553 0.471632 0.731625 0.796866 846.547 2.7196 0.412874 762.332
796.044 0.00482038 -1.69997 299.504 -0.512684 1.52123 1027.03 0.389736 0.138767 0.751604 0.425806 404.678 0.694426 0.826801 1094.7
1022.75 -0.563701 -0.572497 696.054 1.28508 1.50362 2311.51 0.691815 0.678266 0.659596 0.724639 214.128 1.86444 0.360825 2439.36
701.787 -0.504939 1.98138 510.574 -0.354561 -2.28799 1033.98 0.813473 0.55054 0.738832 0.677941 1094.11 -0.2333 2.05469 1572.07
463.275 -0.699795 1.60124 427.778 0.251865 0.74842 613.096 0.579534 0.325685 0.676934 0.611015 640.296 -0.00233998 0.75076 1356.51
656.16 -0.553456 -3.03413 586.804 -1.3411 0.656443 1335.85 0.454977 0.401812 0.550285 0.70574 650.784 3.05131 0.197737 1421.12
598.971 0.564326 2.72573 486.942 0.860964 0.844043 916.001 0.55917 0.562636 0.845757 0.828557 1723.16 -0.858143 1.70219 1043.51
1036.06 0.765687 3.07458 286.141 1.06273 -2.13295 612.585 0.553353 0.339663 0.641609 0.5991 1623.28 0.189991 2.32294 1473.15
486.247 -0.628149 2.29925 305.626 1.4811 1.23447 1108.09 0.179219 0.69602 0.749991 0.85912 1835 -1.49061 2.49333 866.365
709.409 -0.0281466 1.46791 700.582 0.247056 -1.92725 1426.31 0.659405 0.729198 0.742912 0.782133 466.89 -1.93946 0.0122092 1893.93
980.034 -0.37274 -2.79974 514.978 0.193964 1.49356 1277.3 0.733643 0.679181 0.777921 0.659816 1410.84 -0.169021 1.66258 1570.14
985.102 0.0589034 0.456217 392.924 -0.973623 2.1457 1163.88 0.120506 0.326146 0.833397 0.449353 467.117 -1.36574 1.82195 1441.03
571.65 -0.0060984 2.43401 484.339 0.733515 0.0101435 1133.97 0.478976 0.607468 0.595405 0.530454 429.117 -2.90697 0.94221 1110.4
972.571 -0.569404 0.980191 471.158 -0.649506 -0.80767 1074.67 0.677743 0.725594 0.790016 0.755252 2908.19 -2.13781 1.33014 1740.7
716.684 -0.88131 0.584493 365.931 -0.25151 -2.0982 1070.64 0.671388 0.450865 0.66089 0.698485 799.316 -2.80716 0.708965 1198.26
942.924 -0.0169306 -2.28523 735.836 -0.849666 0.575095 1887.86 0.129256 0.737597 0.607732 0.736082 144.386 -0.440762 1.01586 1919.41
1604.22 -0.903906 -2.77469 279.507 0.348838 0.142179 1628.99 0.539812 0.429854 0.5882 0.768783 185.246 0.963538 0.821359 2035.88
565.618 0.509797 1.61338 336.368 -0.481129 0.320163 700.265 0.608731 0.645125 0.78766 0.766694 1159.99 -2.58635 2.08345 1117.95
554.552 -0.0727209 -1.74711 362.388 0.34354 0.194194 816.414 0.38752 0.730235 0.692079 0.755636 463.175 -3.1356 1.38849 996.326
376.749 1.42558 2.52215 339.088 -0.624535 -0.338794 1129.39 0.825207 0.819822 0.688645 0.760898 338.569 -1.71957 1.38078 717.26
649.75 -0.439255 -1.34517 411.362 -0.514406 1.44672 1046.62 0.52748 0.703607 0.487192 0.813762 1222.11 -1.86468 0.519515 1087.6
923.177 0.123774 0.541512 341.116 0.539747 2.73425 1055.35 0.643765 0.577724 0.801124 0.786012 789.881 -1.75449 1.79444 1690.4
438.622 0.752094 3.10686 266.507 1.37684 -1.80467 504.044 0.567903 0.454015 0.699997 0.562107 1492.47 0.300096 2.10477 869.888
1473.67 -0.523889 1.95505 459.574 -0.0855305 -1.15543 1707.94 0.758661 0.415861 0.743086 0.792942 907.448 -1.83343 0.677997 2055.29
802.064 -0.242589 1.31102 679.724 -0.4404 -0.484066 1187.74 0.612495 0.693896 0.803476 0.669684 1294.44 -2.89484 2.07732 1952.07
1584.11 0.162885 1.82524 856.146 0.245777 -0.633246 2216.02 0.18812 0.571964 0.588958 0.754211 387.44 -2.09692 1.46367 2639.18
721.527 -1.16102 1.73407 562.492 -0.158493 -2.06827 1405.93 0.732025 0.452478 0.749417 0.71862 407.799 0.244076 1.49 1618.32
506.404 -1.32645 -0.880837 417.531 1.37149 2.88604 1895.51 0.502423 0.626522 0.429888 0.637552 726.036 1.36546 1.52058 895.825
532.052 -0.949122 -0.978839 320.199 -1.15948 2.22134 836.521 0.836767 0.532623 0.813755 0.556152 631.508 1.7764 0.444944 1236.55
