pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
1267.63 -0.298446 -0.381948 848.203 -0.42778 3.02508 2147.47 1926.2 0.559231 0.206834 0.380614 0.36521 808.617 1.13808 0.811862 2984.51 0.61283 1.5571
1230.17 0.263703 -2.13301 964.969 0.429206 0.210693 2017.77 2043.2 0 0.388922 -1 0.218791 213.477 2.3969 0.381451 3042.64 0.642748 1.5571
2246.15 -0.466948 2.83749 1052.84 0.0728644 -1.09064 3057.87 2810.54 0.331813 0.32464 0.30232 0.757419 1700.83 0.162446 1.21962 3393.91 0.906574 -1.5571
1072.6 -0.929408 -2.27382 827.671 0.426373 0.0837386 2244.29 2183.86 0.465184 0.419949 0.518251 0.741238 600.163 1.24872 1.15615 2248.39 0.403203 1.5571
1493.79 0.638056 2.48253 860.385 0.611555 0.370418 1991.36 2000.67 0.231806 0.279407 0.27896 0.430301 555.419 -1.58001 0.190835 3551.85 0.934277 1.5571
1089.76 -0.249599 -0.696346 883.516 0.593887 1.49605 1947.87 1957.67 0.545859 0.583906 0.218575 0.754128 854.185 -2.9053 0.0236115 2045.23 0.963338 1.5571
475.518 -1.22187 2.28402 448.436 -0.8844 -1.85973 837.412 814.811 0.697739 0.449366 0.809943 0.750553 120.764 0.311003 0.176467 1233.25 0.557402 1.5571
1841.13 -0.150933 -2.92037 1258.45 -0.826666 0.982251 3057.16 3085.27 0.310568 0.196068 0.502944 0.733999 1121.25 -0.555907 0.0581124 3292.61 0.910004 1.5571
1424.86 -0.207075 0.562543 978.172 0.307218 -2.83824 2443.19 2403.34 0.69377 0.380588 0.529548 0.646693 179.639 1.62136 0.712442 3274.92 0.834173 1.5571
1301.5 0.269633 1.72559 963.149 -0.03176 -1.58257 2279.14 2234.46 0.559024 0.497371 0.638935 0.865924 349.018 -0.542265 1.03136 2464.47 0.968724 1.5571
1188.45 1.50946 -3.09776 956.728 0.359059 0.465201 2519.9 2110.8 0.218636 0.504667 0.759971 0.736672 334.841 -0.472981 0.868787 2311.71 0.904963 1.5571
729.109 0.418292 1.67265 647.234 -0.476467 -1.69383 1563.94 1241.17 0.385447 0.478935 0.67195 0.708141 350.997 2.17719 0.110241 1883.05 0.132448 1.5571
1005.38 0.5855 -2.90154 788.42 -0.175166 -0.037838 1914.66 1874.2 0.429545 0.422723 0.447812 0.533886 421 0.713646 0.186074 1980.6 0.116165 1.5571
1781.89 -1.27692 2.92518 568.09 -0.318025 0.693642 2089.41 2030.83 0.189849 0.599123 0.55007 0.577795 1005.7 -0.573508 0.161001 2882.21 0.563455 1.5571
822.474 -0.283546 -1.8294 645.039 0.250107 1.40022 1536.11 1304.12 0.300202 0.759541 0.650598 0.661319 423.223 2.34475 0.944176 1958.23 0.649303 1.5571
917.615 0.124156 -1.83483 684.896 0.152487 0.697646 1521.81 1516.53 0.745553 0.509621 0.599705 0.641089 433.937 0.922436 0.218492 2601.77 0.332013 1.5571
1465.66 -0.332238 1.096 957.448 -0.113433 -0.795546 1958.61 1960.96 0.210964 0.423023 0.745423 0.395684 980.276 -2.54089 0.173434 2953.36 0.969113 1.5571
929.481 0.21445 1.33556 893.165 -0.119047 -1.27171 1800.95 1788.06 0.267158 0.456603 0.524044 0.434915 401.079 -1.26885 0.0100071 3257.08 0.156676 1.5571
1112.35 0.384157 2.82483 958.938 0.135178 -0.987392 2034.45 1846.87 0.567796 0.749782 0.758301 0.64161 678.467 -0.0328851 0.0346054 2670.09 0.845881 -1.5571
1259.12 -0.0643493 1.82146 1108.47 0.690954 -1.12746 2608.72 2392.76 0.439233 0.171513 0.381042 0.549297 548.979 -0.746371 0.300104 3462.31 0.495274 1.5571
535.437 0.253411 1.72306 298.417 -2.17542 -1.44785 1529.16 1255.42 0.388117 0.683746 0.680601 0.622846 217.715 -1.35604 0.0579287 910.218 0.183332 1.5571
1045.39 -0.925951 2.97313 454.223 0.919049 0.1719 1998.37 1999.07 0.281998 0.575013 0.519362 0.551222 204.068 0.042429 0.118308 2077.34 0.426598 1.5571
502.743 0.897783 2.32203 308.267 1.07269 1.06748 483.072 470.496 0.682407 0.159936 0.633676 0.42521 546.464 -1.2544 0.13684 1253 0.665356 1.5571
1161.32 -0.0461846 1.51416 979.7 -0.0722968 -2.73642 1864.48 1764.37 0.465474 0.303855 0.552965 0.535621 264.876 -0.422211 0.5523 3298.67 0.956048 1.5571
1121.04 0.660926 2.75775 666.539 -0.244469 -0.438999 1913.77 1935.52 0.0597203 0.127403 0 0.630516 65.9892 1.26287 0.685405 2648.22 0.803326 1.5571
899.898 -1.28766 2.97545 891.918 -0.0477033 1.32846 1774.65 1782.99 0.656103 0.434991 0.586202 0.608263 327.522 -1.95854 1.03228 2894.93 0.52306 1.5571
589.744 0.17599 2.02382 490.137 1.02913 1.35346 724.074 484.382 0.364277 0.669702 0.429417 0.677255 1174.45 -1.23165 0.330721 1434.5 0.914249 1.5571
837.666 -0.523217 -1.60842 820.297 0.601719 1.3144 1936.74 1863.91 0.236281 0.49436 0.535811 0.668069 30.0745 -2.48961 0.892342 1703.6 0.123168 1.5571
2484.83 0.0011269 1.55896 2003.51 0.797395 -1.71405 4830.74 4889.82 0.4909 0.381448 0.46215 0.471165 158.681 -1.13612 0.113832 4863.12 0.799326 1.5571
1340.81 1.35199 -2.51233 1214.53 0.570426 0.0920062 2738.33 2240.82 0.501809 0.528106 0.575068 0.575116 35.3599 -1.36679 0.886616 3442.3 0.759565 1.5571
