pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1612.77 0.417982 -2.30541 1064.48 -1.2317 1.52429 3460.07 3414.66 0.510375 0.647743 0.354117 0.705608 674.473 0.799849 0.514822 3375.62 0.967737 2.59155 1.5571
1104.98 -0.29479 -0.686727 978.421 0.572296 1.5284 2090.19 2070.36 0.497371 0.483488 0.726954 0.820007 161.785 -2.86299 0.0682871 2969.73 0.859192 2.67366 1.5571
869.194 0.649993 -2.32803 805.538 -0.0326192 0.64044 1772.85 1768.26 0.586796 0.15705 0.76991 0.660886 25.5088 2.80439 1.0536 2768.95 0.0877257 3.05947 1.5571
1163.3 -0.0355861 3.08694 1135.82 -0.300896 -0.84017 2158.64 2128.84 0.527577 0.572542 0.521013 0.592182 41.0774 1.09362 0.458881 3297.8 0.729409 1.53445 1.5571
556.921 -1.40854 2.32141 449.596 -0.866844 -1.74915 963.965 882.266 0.385443 0.601823 0.88909 0.670985 456.198 0.0328658 0.227647 1080.6 0.920256 2.51834 1.5571
1900.86 -0.132364 -2.89402 1194.23 -0.831316 0.930265 3042.61 3024.35 0.657397 0.404685 0.65459 0.74518 1199.49 -0.436322 0.462061 3137.4 0.943627 2.9196 1.5571
1330.25 0.434823 0.407224 1185.88 1.55262 -3.08652 2911.46 2910.17 0.123159 0.312509 0.594416 0.780034 134.661 -2.2744 0.745335 2841.01 0.756147 1.93627 1.5571
1679.12 -1.25777 2.93099 575.041 -0.387708 0.720313 2045.63 1823.49 0.648236 0.109816 0.461592 0.60192 1055 -0.558006 0.0436851 2694.52 0.821441 2.9149 1.5571
1105.17 0.463978 2.06897 882.762 -0.27441 -1.81152 2000.11 1983.85 0.499936 0.50998 0.793075 0.693028 176.572 -1.19526 0.624485 2655.43 0.380191 2.39564 1.5571
2150.72 0.195274 1.43512 1065.76 0.221635 -2.15627 2971.43 2952.06 0.588134 0.527961 0.721099 0.587736 758.188 -2.21403 0.0529454 4334.36 0.400071 2.68762 -1.5571
1654.89 0.795689 -2.536 1078.57 0.407607 -0.0963309 2583.66 2582.06 0.521591 0.547841 0.255525 0.699995 1021.36 1.28655 0.46046 2788.56 0.953243 1.99929 1.5571
1709.59 -0.947902 0.753738 1566.35 1.00698 -2.50643 4963.37 4965.96 0.420776 0.740419 0.300012 0.562287 726.704 2.52903 1.24877 4119.5 0.686707 1.75027 -1.5571
1235.23 -1.11064 0.849971 981.885 0.441832 -2.56255 2998.41 1945.79 0.279814 0.421594 0.302153 0.657345 284.717 -1.57099 0.303551 2357.36 0.721683 2.72344 1.5571
1155.31 0.541306 -2.55562 262.611 -1.96273 -0.754413 1977.85 1926.86 0.251691 0.699706 0.527287 0.723572 947.05 0.859767 0.0850176 1566.11 0.754369 2.78039 1.5571
1981.5 -0.243635 -0.725511 1274.97 -0.220671 1.82047 3103.76 3147.2 0.565206 0.242797 0.759199 0.481282 161.272 -2.53697 0.578359 4639.43 0.639309 2.17061 1.5571
1191.07 -0.00589935 -2.63914 1012.76 -1.34244 0.931584 2676.44 2576.6 0.344571 0.412513 0.633281 0.639992 668.141 -1.89332 0.262086 3059.5 0.478358 3.00908 1.5571
1322.03 -0.418298 -1.72188 1276.43 0.0241932 1.86126 2617.72 2534.33 0.759547 0.417713 0.683443 0.273901 149.376 0.193523 0.843565 4089.85 0.946057 1.79376 1.5571
982.453 0.653039 2.75435 628.743 -0.137735 -0.502671 1718.3 1663.85 0.0340192 0.646222 0.33289 0.746532 221.009 0.86546 0.451036 2195.71 0.321841 2.49639 1.5571
1276.57 1.14255 2.83355 1115.61 -0.0861604 -1.21562 2756.79 1669.53 0.09371 0.508875 0.546211 0.712267 1013.55 0.694399 0.995141 2408.47 0.901166 1.33292 -1.5571
358.109 0.789344 -1.30935 287.779 -0.730804 -0.538875 595.95 586.799 0.614706 0.718344 0.583226 0.70443 436.845 2.13769 0.00865126 795.411 0.510104 2.82183 1.5571
1205.02 -0.372486 -0.615149 892.805 1.04199 -2.64163 2379.29 2366.83 0.551414 0.660993 0.771459 0.69472 478.887 1.90974 0.437913 2748.84 0.575319 2.08406 1.5571
1342.4 0.0150463 -0.689665 1270.17 -0.194973 1.65331 2606.32 1866.8 0.697364 0.199138 0.607198 0.849841 61.5547 0.194803 0.813996 3812 0.732057 2.56282 1.5571
806.642 -0.156831 -1.18794 567.262 1.32541 0.32527 1462.4 1230.57 0.619776 0.692271 0.747274 0.725793 722.216 2.44394 0.397475 1651.83 0.688875 2.26413 1.5571
957.379 1.64794 3.05618 733.627 0.215826 0.0513269 2193.69 1839.16 0.369506 0.305912 0.616207 0.7682 618.853 -0.19144 0.0686381 2139.15 0.617137 2.96381 -1.5571
