pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
590.64 -0.502118 2.26052 564.316 -0.346316 -1.41608 1189.85 890.682 0.15808 0.602937 0.596002 0.52588 154.034 2.42665 0.0386593 1622.55 0.721935 92.9047
811.285 1.58624 -1.67072 439.548 0.470911 2.52976 1298.65 1016.96 0.540469 0.380912 0.650608 0.650735 618.701 0.769564 0.416396 1383.29 0.765168 92.9047
1075.17 -0.355299 -2.04748 277.43 0.858118 1.50232 1295.03 1274.59 0.166895 0.555066 0.695102 0.764241 793.413 0.938302 0.562101 1408.41 0.623168 92.9047
739.005 -0.0217016 1.46447 664.414 0.875933 -1.82178 1611.08 1377.11 0.341919 0.246926 0.7642 0.690155 121.112 -0.79459 0.892711 1444.52 0.77509 92.9047
614.292 0.491872 2.69904 443.883 -1.41643 -1.66594 1446.01 1455.17 0.436934 0.648204 0.480489 0.660523 510.983 0.149111 0.522006 1155.88 0.826281 92.9047
724.63 0.287099 -0.41284 260.574 -0.525011 -1.8788 694.926 691.611 0.395009 0.513506 0.608805 0.530136 661.107 2.49682 0.226728 1120.79 0.909716 92.9047
770.646 -0.874231 -1.26482 539.468 -0.785681 2.36602 1289.14 982.306 0.481065 0.319433 0.793893 0.805689 171.508 0.790183 0.399544 1555.36 0.937908 92.9047
774.052 0.526518 -0.391918 449.468 0.580601 2.07357 1118.94 1128.79 0.0211644 0.47195 0.138588 0.609873 284.248 -2.7209 0.47088 1477.43 0.547848 92.9047
1025.88 -0.937303 -0.753668 346.334 -0.0350083 -2.61687 1110.92 1117.48 0.723015 0.705464 0.706739 0.708691 985.052 2.06572 1.60056 1425.34 0.718347 92.9047
952.472 0.913592 -1.73058 655.241 -0.0796008 2.23538 1667.83 1692.84 0.430237 0.389995 0.746006 0.336834 634.125 -0.264663 1.46591 2247.69 0.43495 92.9047
465.905 0.913471 0.0948916 357.569 -2.4527 -2.31559 2256.32 2198.89 0.0550703 0.621397 0.668485 0.726971 109.948 1.49153 1.39663 1025.89 0.400635 92.9047
777.026 1.13001 -0.139714 754 0.0947632 -2.94173 1752.79 1415.66 0.499415 0.187991 0.540716 0.71362 187.458 1.57736 0.763474 1591.06 0.915892 92.9047
710.002 0.856155 -2.84493 353.597 0.0774617 1.12633 1009.64 993.168 0.387787 0.17242 0.47407 0.42891 703.255 -0.382643 1.50891 1300.88 0.856943 92.9047
571.364 -0.747921 -2.64693 365.663 0.469717 2.16788 854.665 862.181 0.624551 0.221049 0.639163 0.5019 679.81 -0.0446412 1.00677 1000.82 0.957329 92.9047
433.408 -0.403072 2.9777 360.025 -1.147 2.13072 507.381 340.373 0.21514 0.704455 0.826284 0.770787 706.234 -0.357103 1.15421 888.231 0.726976 92.9047
652.647 0.156837 2.23501 492.777 -0.718655 0.40137 1039.73 1043.76 0.549609 0.735495 0.537447 0.740631 637.492 -1.69098 0.532219 1245.06 0.882894 92.9047
467.886 -1.62515 -1.65949 375.404 -0.501921 1.25684 979.361 884.155 0.565793 0.729667 0.388815 0.671879 134.208 -0.0608853 1.23806 1074.32 0.644373 92.9047
810.274 -0.364478 -1.86331 644.328 -0.209008 1.09367 1446.97 1465.97 0.266478 0.526634 0.434688 0.539173 215.369 2.2074 0.752136 1639.62 0.733393 92.9047
625.61 1.32568 -2.49643 338.885 0.368404 2.0428 847.844 841.027 0.26759 0.336952 0.579953 0.683807 633.438 0.213416 1.67117 1018.74 0.96328 92.9047
586.849 0.508387 0.522221 481.528 -0.427259 -1.99325 1159.71 1057.91 0.537537 0.495087 0.772746 0.778085 270.552 2.84833 0.686134 1155.47 0.301189 92.9047
784.144 0.319085 0.304247 612.477 -1.30656 -2.66941 1873.15 1895.01 0.0910084 0.288377 0.595095 0.468604 129.907 1.80983 0.31602 1895.63 0.355656 92.9047
500.473 0.537026 0.873378 379.059 2.03039 -1.14675 1039.17 826.944 0.100845 0.528445 0 0.793212 120.137 1.93158 1.05814 1317.2 0.607944 92.9047
505.759 1.47786 2.40172 442.256 -1.1831 0.482013 1842.23 1794.13 0.765981 0.412173 0.723835 0.621176 431.21 -1.60187 0.20071 1059.23 0.887568 92.9047
705.789 0.783457 2.55267 544.186 1.2617 1.11509 903.902 1148.46 0.771386 0.266122 0.56609 0.726838 434.339 -1.64323 0.128423 2012.83 0.46779 92.9047
300.378 -0.864586 -1.96403 266.237 -0.75282 2.1576 510.866 505.719 0.26973 0.357808 0.49396 0.571736 273.411 0.388822 1.1926 640.734 0.925009 92.9047
609.029 1.52648 1.02729 318.542 0.324511 -2.95187 1022.73 829.579 0.425973 0.452542 0.597124 0.42842 436.067 -1.64174 0.994571 928.907 0.815827 92.9047
731.713 0.682742 -2.83825 572.709 -0.285274 -0.483733 1370.07 1373.6 0.351724 0.447931 0.544227 0.381238 302.159 1.70828 0.237771 1595.16 0.916334 92.9047
543.203 1.62743 -1.99272 533.574 -0.469784 1.29551 1764.61 1282.18 0.497388 0.613259 0.735927 0.604354 107.973 -0.314485 1.36037 1093.55 0.977308 92.9047
591.911 1.1087 2.69316 568.488 0.661224 0.54246 1164.65 865.779 0.445043 0.29997 0.755226 0.645381 228.064 -1.49773 0.139684 1436.38 0.569688 92.9047
348.12 0.588372 1.29983 250.998 -0.565908 0.669455 466.179 781.047 0.538792 0.373144 0.739807 0.847246 338.688 -2.17191 0.023073 868.221 0.032571 92.9047
472.629 0.115755 1.97228 409.242 -0.77596 -1.63484 954.949 949.634 0.595659 0.301241 0.622998 0.80654 158.952 0.748078 0.607675 1059.53 0.612327 92.9047
560.834 0.293748 -2.59706 544.4 -0.500856 2.32822 843.741 823.151 0.321623 0.623539 0.458164 0.547159 629.098 -0.00929051 0.142219 1345.49 0.141937 92.9047
