pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1524.01 0.0685109 1.79998 925.228 -0.562497 -0.283853 2206.2 1995.47 0.248002 0.37206 0.700547 0.460609 1059.22 -2.25288 0.0299111 3002.08 0.885946 2.20041 -0.0996691
2007.02 0.0875744 1.2347 1475.14 -0.633611 -0.299703 2717.28 2699.08 0.453432 0.243248 0.503598 0.654463 391.605 -1.88648 0.126347 6146.82 0.22017 3.03767 -0.0996691
1308.36 0.34362 -2.29957 658.132 -0.455709 0.875828 2037.8 1924.23 0.483113 0.563674 0.58347 0.73371 660.178 0.784051 0.0946177 1920.9 0.314263 3.10564 0.0996691
1362.13 -0.0568534 2.74835 263.184 0.0758764 -0.551121 1276.89 368.232 0.516165 0.494511 0.616689 0.605241 1197.16 -0.454358 0.0980364 1763.24 0.0377106 3.08159 0.0996691
2089.39 1.13227 0.642166 1831.27 -0.275997 -2.50998 4949.33 4849.89 0.564237 0.497331 0.579724 0.69801 1202.16 -2.56956 0.063762 4780.62 0.322149 3.03395 0.0996691
2722.35 0.177836 -1.86068 2240.67 -0.0782918 1.24435 5373.66 3011.08 0.372962 0.198453 0.551923 0.584293 467.394 1.52086 0.0981113 5238.49 0.93334 3.00642 0.0996691
1748.39 -1.38748 0.674115 1065.41 -0.394815 -3.13347 2989.85 2738.9 0.524336 0.525429 0.420191 0.668046 655.279 -2.63498 0.114409 3630.61 0.891271 2.8597 0.0996691
1632.09 -0.171584 -0.607815 1132.75 0.328648 2.99585 2759.33 2665.4 0.558967 0.56697 0.614417 0.641947 415.812 3.12265 0.052368 3534.83 0.932399 2.6053 0.0996691
1600.88 -1.20968 2.73655 1368.89 0.928118 0.505967 4697.03 3697.5 0.208873 0.663627 0.639732 0.699726 518.146 -1.3499 0.0372846 3734.46 0.90512 2.7542 -0.0996691
1652.89 -0.372782 -1.71882 917.843 -0.916892 1.68334 2558.89 2501.14 0.510104 0.42752 0.707528 0.383133 484.102 -0.00402911 1.23222 3329.97 0.867519 3.04197 0.0996691
512.905 -1.25726 1.81438 -1 -1 -1 -1 257.635 0.583042 -1 0.713948 -1 506.407 -1.17192 2.10996 534.753 0.927308 1.1996 0.0996691
645.16 -0.560103 0.462524 480.812 -1.43313 -0.614983 860.231 702.066 0.313338 0.541768 0.701585 0.856156 425.083 2.99938 0.245808 1652.82 0.502077 2.45897 0.0996691
1459.65 0.138928 2.81277 899.766 -1.67057 -0.776398 3283.67 2693.23 0.013975 0.422421 0 0.822967 519.675 0.129989 0.556642 2824.62 0.734555 2.12614 -0.0996691
1641.05 -0.181092 -3.0463 1293.34 -0.0255377 -1.06064 2554.51 1947.09 0.238492 0.365594 0.711582 0.618535 1358.49 0.932565 0.0629216 3252.47 0.925026 2.55526 0.0996691
516.253 0.231901 1.13447 -1 -1 -1 -1 273.655 0.42776 -1 0.454477 -1 465.176 -2.03677 0.194418 535.232 0.865963 2.97176 0.0996691
2000.67 0.20105 -1.9299 959.652 -0.256277 1.82999 2844.92 2139.73 0.438069 0.419374 0.65516 0.680839 1210.96 0.84771 0.158754 3354.32 0.885827 2.99195 0.0996691
978.138 -1.18974 1.34294 711.363 0.966068 -1.32415 2714.14 2666.12 0.642108 0.276178 0.59467 0.508744 424.207 -2.50693 0.24256 1714.25 0.917235 2.18587 0.0996691
2396.25 -0.186816 2.92299 1712.58 0.11899 -1.25615 3594.81 3542.17 0.464553 0.558946 0.730904 0.592723 437.506 1.4779 0.74652 6149.84 0.562805 1.98694 -0.0996691
2079.31 0.00822918 -0.528447 1306.19 0.926981 -2.70113 3347.77 2948.89 0.51177 0.610418 0.514578 0.614017 379.408 1.29057 0.0407306 5437.42 0.372448 2.38366 0.0996691
1456.71 -0.653859 0.758923 388.509 -0.081056 -2.30234 1579.44 1552.33 0.0843576 0.468922 0.541773 0.567824 991.367 -2.31796 0.0157827 2116.82 0.585996 3.06116 0.0996691
2178.95 1.04585 0.288142 1654.49 -0.542654 3.06963 5061.68 4685.78 0.650181 0.60514 0.531004 0.749071 354.851 -0.306549 0.074969 4863.58 0.883971 2.82493 0.0996691
580.36 0.161348 -2.31534 532.093 -1.00259 -0.274982 1222.76 972.122 0.827304 0.248865 0.797841 0.658665 345.808 2.81831 0.483699 1905.86 0.347604 2.47116 0.0996691
1101.62 1.13408 1.13579 620.774 -1.15363 -2.21168 2873.61 2595.08 0.521735 0.398824 0.591328 0.711017 406.565 -1.73246 0.0214225 1813.98 0.438582 3.01436 0.0996691
1088.58 0.186064 -0.997496 731.913 -2.2371 -1.83318 2842.52 2802.65 0.537476 0.379546 0.687776 0.512831 1187.99 1.97898 0.110076 3059.29 0.939178 2.86148 0.0996691
1349.64 -0.105021 -0.839658 1132.82 0.580306 2.57851 2631.46 2451.87 0.368328 0.481348 0.299077 0.754165 362.842 1.2603 0.46326 2595.47 0.60031 1.87431 0.0996691
1127.67 -0.120876 0.991364 417.681 1.25737 -2.09671 1725.58 1565.21 0.674033 0.703329 0.653301 0.714589 703.192 -2.16344 0.0271233 1501.33 0.516886 3.13483 0.0996691
2126.64 0.00181948 1.87429 621.526 -1.45551 -1.8215 2879.32 2730.1 0.583108 0.615082 0.731584 0.712145 1722.53 -0.887286 0.0219752 3571.88 0.968201 2.73832 -0.0996691
1711.17 0.400806 1.76687 1080.94 0.0220611 -1.93874 2863.48 2164.13 0.305221 0.511074 0.671796 0.61885 299.441 -0.386636 0.638842 4099.94 0.740013 1.91351 0.0996691
1121.78 0.427592 0.568809 913.111 -0.152747 -2.01568 2123.67 1708.48 0.778306 0.426774 0.663569 0.831499 591.542 -2.52496 0.125316 2963.48 0.757539 3.04426 0.0996691
