pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
582.252 1.77029 1.41525 405.64 -0.0754858 3.06784 1277.93 1212.93 0.73973 0.541428 0.749249 0.777797 489.716 -0.662057 1.20051 1310.48 0.769457 92.9047
799.562 -0.0876945 -0.1234 706.094 -0.480284 -2.72257 1481.95 1502.15 0.142983 0.549295 0.404404 0.52069 140.272 2.17506 0.561469 2026.41 0.697437 92.9047
478.27 -1.00162 -0.775757 472.68 0.0693541 -2.79676 985.566 953.318 0.410675 0.821012 0.71101 0.65916 259.7 1.51225 0.360859 1183.31 0.623395 92.9047
762.295 0.14079 2.39285 567.007 0.32717 -1.09699 1347.91 1261.86 0.480416 0.308124 0.686129 0.794976 285.08 -0.163871 0.873126 1372.26 0.218984 92.9047
848.803 0.0514578 -1.11427 759.5 0.172711 2.03961 1709.28 1309.94 0.645584 0.310019 0.485305 0.698565 81.1202 -1.95117 0.804895 1780.91 0.681644 92.9047
591.635 -0.974441 -0.0631228 483.118 -0.327116 -1.76751 892.176 881.929 0.580658 0.305902 0.69257 0.392631 413.696 2.89643 0.984232 1499.08 0.567588 92.9047
429.891 1.05008 -2.26633 395.32 -1.13504 0.921634 1384.1 1140.55 0.543999 0.421927 0.575215 0.585494 47.0225 -0.211899 0.965515 866.489 0.854345 92.9047
922.391 -0.927777 0.72658 278.132 1.08424 2.51354 1453.08 1425.65 0.439933 0.623806 0.4297 0.643901 889.388 -2.13021 0.405045 1212.2 0.954898 92.9047
527.188 2.1263 -2.19574 253.114 0.508323 2.78753 853.69 879 0.219489 0.368115 0.628139 0.523249 412.069 0.351073 0.564799 1051.6 0.533747 92.9047
1071.69 1.07511 2.11044 870.546 1.23723 -1.36875 1927.55 1922.89 0.338235 0.704051 0.498018 0.741206 372.117 0.0863827 1.1611 2023.68 0.866072 92.9047
