pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1774.27 -0.345246 -1.11839 1376.02 -0.470844 1.27122 2944.1 2835.97 0.661824 0.654586 0.734606 0.413042 634.146 -3.13162 0.404417 3679.24 0.666227 2.90469 -0.0996691
1162.4 0.135031 -1.99055 1156.21 0.593561 -0.543351 1669.73 1844.87 0.0496455 0.128492 0 0.491031 907.381 1.9185 0.142905 3146.29 0.332188 2.53023 0.0996691
1823.78 0.286766 -0.684851 1171.73 -0.318144 3.0707 2940.58 2899 0.434017 0.822168 0.673825 0.682188 776.747 1.76899 0.1564 3313.34 0.822179 2.30338 0.0996691
2215.71 -1.02914 -2.48999 1621.96 0.339149 0.286459 4754.92 4408.41 0.446938 0.797397 0.361306 0.683381 785.454 1.38013 0.0234207 3922.64 0.968744 2.51201 0.0996691
1462.77 -0.259244 -3.10417 915.74 -0.690241 -1.69895 1623.43 1505.92 0.343194 0.65874 0.705996 0.614676 1104.81 1.03648 0.103668 3952.56 0.230647 2.84465 -0.0996691
1991.34 -0.730517 -1.62451 1095.01 -0.0417015 1.79459 3159.62 2994.44 0.438468 0.34354 0.631106 0.513434 1080.55 1.24155 0.0397164 3228.58 0.901634 2.82293 0.0996691
1385.84 -1.05077 3.07233 647.512 2.27934 0.461888 5164.46 5148.18 0.0779652 0.526231 0 0.65838 805.14 -0.380706 0.582487 2293.86 0.267743 2.64891 0.0996691
1593.42 0.11623 2.16531 1472.22 1.14554 -0.152716 3262.81 3243.6 0.355906 0.499305 0.157217 0.802411 1473.93 -2.98528 0.0806234 4391.56 0.931079 2.91673 0.0996691
943.563 -1.56614 1.08799 864.494 -0.251461 -0.00457104 1605.76 1556.28 0.699911 0.2767 0.656693 0.845718 1456.19 -2.22555 1.31996 2502.67 0.703991 1.64384 0.0996691
1690.9 0.199348 -1.27713 1609.19 0.724104 0.832288 3045.96 2993.62 0.388179 0.336351 0.416611 0.741719 667.865 -2.75138 0.234529 5070.76 0.403228 2.47381 0.0996691
1995 -1.19067 -2.09542 1220.88 0.0401695 2.69532 2974.09 2972.8 0.0862789 0.238528 0.465872 0.416049 1936.92 0.611424 0.268278 3712.99 0.674952 2.43857 0.0996691
955.165 -1.01614 2.14918 573.712 0.438338 -0.135406 1823.48 1689.97 0.308737 0.459988 0.605918 0.505009 794.148 -1.73595 1.59648 1563.97 0.867984 1.37431 0.0996691
922.09 -0.909672 -2.04844 -1 -1 -1 -1 605.107 0.224762 -1 0.635882 -1 795.987 1.09112 0.0559758 1018.33 0.802369 3.07692 0.0996691
1357.39 0.296891 2.82041 1131.18 -0.282936 0.652494 2380.75 2137.32 0.394321 0.421113 0.28064 0.490352 1042.89 -1.30203 0.395031 2595.3 0.862734 2.61335 0.0996691
1623.43 0.218115 -2.10915 977.048 -0.872121 1.48534 2925.41 2436.41 0.428559 0.238061 0.762878 0.763946 718.292 0.469599 0.0914973 2725.73 0.912983 2.48751 0.0996691
2456.71 -0.576934 1.55214 674.339 0.975225 -1.65294 3408.9 2790.54 0.198678 0.298343 0.733086 0.688566 1156.4 -1.59374 0.0209426 3783.45 0.582001 3.1249 -0.0996691
1727.58 0.168236 2.77483 1095.92 -0.848076 -1.51171 2741.07 2724.8 0.261104 0.67752 0.442249 0.545312 1636.8 0.301322 1.81599 2813.22 0.575082 1.99181 0.0996691
2324.6 1.33436 -1.92702 1356.34 -0.448409 1.39464 5277.98 3991.95 0.175231 0.35495 0.580186 0.557994 1001.11 1.15579 0.373355 4087.5 0.714308 2.67182 0.0996691
1418.37 0.189128 -0.996929 270.491 0.454445 1.90507 1252.23 1204.59 0 0.656148 -1 0.730742 1093.9 2.03529 0.114864 1818.39 0.702568 2.9158 0.0996691
796.216 0.714789 1.14126 504.362 1.8063 1.48255 794.253 771.787 0.574644 0.768439 0.639379 0.740144 845.362 -1.85588 0.0132321 1673.65 0.324216 3.01229 0.0996691
1528 0.494143 -1.96367 326.558 -0.112199 1.05401 1499.48 1373.64 0.531137 0.684484 0.39882 0.831544 1051.54 1.06334 0.0073235 1980.41 0.688984 3.03093 0.0996691
919.527 1.20898 0.97669 535.608 -0.343485 -2.24534 1881.29 1530.86 0.424258 0.649474 0.852501 0.773753 693.318 -2.21364 0.032779 1754.67 0.904499 3.1176 0.0996691
1270.29 0.196747 0.345632 442.294 -0.775496 -2.76401 1750.77 1461.36 0.322459 0.280274 0.737939 0.56383 809.655 -2.6256 0.13337 1929.33 0.19838 2.8483 0.0996691
1534.47 -0.306576 0.131189 -1 -1 -1 -1 1105.17 0.438545 -1 0.0607955 -1 1261.97 -3.05472 0.0851986 1763.89 0.787821 3.01207 0.0996691
1155.94 -0.41596 -1.28315 650.264 -0.791774 2.76486 1692.97 1323.69 0.584726 0.282546 0.445264 0.73736 1203.85 1.13149 1.63922 2096.06 0.828275 1.31523 0.0996691
1805.95 0.0100218 -1.20157 778.651 -0.0823644 -2.45836 1482.99 1447.91 0.596528 0.179496 0.545329 0.579751 2125.07 1.54765 1.18465 2708.42 0.87251 2.34923 0.0996691
1749.1 -1.38469 0.652954 800.895 -0.435993 3.0116 2498.79 2425.01 0.239137 0.453858 0.756928 0.435508 875.16 -2.72002 0.158304 3260.14 0.966677 3.06935 0.0996691
1655 0.145515 -1.62954 1618.11 -1.12738 0.955856 3970.8 1787.68 0.729409 0.107501 0.749723 0.652848 608.468 0.958937 0.092851 4497.9 0.325524 2.68195 0.0996691
1015.84 -0.902981 1.63087 641.555 1.28658 1.79706 2234.78 1705.77 0.352074 0.608995 0.646613 0.473566 1283.02 -1.39382 0.328664 2086.56 0.886013 2.76608 0.0996691
2125.78 0.0770818 -0.655052 1389.64 0.942546 -2.80637 3407.03 3391.28 0.558647 0.0751484 0.441878 0.527978 635.13 1.15564 0.0525033 5474.95 0.483546 2.26992 0.0996691
