pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
2080.82 -0.360645 -1.82561 1835.05 -0.367206 0.894258 3853.21 3816.92 0.620622 0.511103 0.487168 0.646524 750.958 1.10656 0.106184 4975.29 0.953516 3.03828 -0.0996691
1842.45 0.646749 1.45341 1091.7 0.362699 -0.77137 2597.09 2524.22 0.656103 0.572033 0.509154 0.581394 2048.27 -1.98626 0.00345194 4099.35 0.695059 2.86149 -0.0996691
2687.47 -0.0079137 -0.143891 784.418 -1.5867 -2.04686 3497.71 3448.01 0.4 0.543417 0.729127 0.56363 1939.98 2.69755 0.0260072 4045.49 0.656356 2.8153 0.0996691
1348.64 0.775495 1.34173 422.51 -0.241512 -1.32351 1678.7 1646.95 0.58097 0.687711 0.661877 0.730968 961.778 -1.58134 0.256151 2272.41 0.568412 2.66467 0.0996691
1150.32 -0.476909 1.11878 522.897 0.878209 -2.23455 1935.83 1861.25 0.729567 0.310144 0.677225 0.545067 704.825 -2.34198 0.107011 2074.93 0.873107 3.12148 0.0996691
1031.58 -1.5816 -2.41374 978.747 1.6271 -0.992109 4975.39 4943.63 0.642804 0.585611 0.756581 0.751763 1377.35 1.89601 1.51472 2703.12 0.780027 1.3735 -0.0996691
650.5 1.86263 2.03591 609.737 -1.16584 2.62271 2758.31 2626.35 0.547956 0.616711 0.838446 0.834745 1025.87 -0.911701 0.0516614 1558.23 0.612899 2.87625 0.0996691
692.431 0.678112 0.292367 596.391 -1.56954 2.23266 2074.07 1992.26 0.75498 0.431841 0.684093 0.784902 636.218 -1.59787 1.18385 1543.97 0.717292 1.69037 0.0996691
2491.04 -0.00999889 0.66318 1258.23 0.09261 -1.33234 3011.01 2419.6 0.371993 0.523708 0.674303 0.627271 2012.91 2.95261 0.141451 3400.18 0.844256 2.42976 0.0996691
1604.95 1.13943 1.35204 1488.77 -0.00946952 -0.933941 3473.71 2663.48 0.23362 0.308682 0.508385 0.654926 1040.81 3.03611 1.31195 3567.74 0.660189 2.57206 0.0996691
833.499 -0.491801 0.719483 378.847 0.841658 -2.30587 1390.27 1345.47 0.68734 0.716771 0.566852 0.76113 717.151 -2.29872 0.00729442 1432.72 0.394937 3.02313 0.0996691
1823.87 -0.708966 -2.73826 1363.57 -0.971574 1.34599 2878.32 2827.13 0.528947 0.639162 0.661227 0.618783 834.522 -0.0212052 0.0466714 4225.09 0.977346 2.76933 0.0996691
2562.6 -0.408945 -2.90142 947.658 -1.70631 0.128042 3827.43 3795.25 0.437074 0.681263 0.527063 0.441998 863.022 0.135753 0.00184146 4273.68 0.467179 3.03924 0.0996691
827.296 -0.527239 1.2927 -1 -1 -1 -1 438.361 0.34991 -1 0.546435 -1 777.165 -1.81263 0.0358033 904.005 0.328559 3.09498 0.0996691
1378.12 0.0214607 0.882446 1014.84 -1.61545 -1.48988 3108.99 3065.82 0.337035 0.575229 0.674914 0.754917 815.421 -2.60617 1.11774 2922.96 0.402878 2.36374 0.0996691
1406.51 -0.167082 1.34555 404.373 -0.983566 -1.84261 1708.05 1214.73 0.319983 0.625451 0.826781 0.858085 957.52 -1.74936 0.0693696 1765.93 0.834814 3.00474 0.0996691
2659.31 -0.593405 -0.293798 1295.29 0.53371 3.05697 4725.98 1250.84 0.180278 0.112622 0.360558 0.420002 1190.4 2.72951 0.0186846 4570.15 0.818728 3.01497 0.0996691
1235.78 0.148971 -2.30954 493.052 -1.11746 -2.1138 1185.21 828.964 0.306794 0.51423 0.700835 0.682757 1674.17 0.882081 0.22356 1731.82 0.643825 2.97639 0.0996691
1623.9 -0.332881 2.11126 1276.36 -0.212663 0.0184285 2508.57 2492.13 0.386923 0.461511 0.367385 0.722348 1068.53 -2.50368 0.0124147 4734.09 0.398625 2.50882 -0.0996691
936.108 -1.68728 1.42887 -1 -1 -1 -1 201.085 0.575209 -1 0.746344 -1 923.269 -1.70643 0.115778 945.051 0.944947 3.07375 0.0996691
1809.36 -0.689013 2.65041 690.778 -2.13861 -0.942555 2812.04 2787.37 0.635245 0.577077 0.561076 0.65914 679.901 -0.768701 0.159751 3505.73 0.614999 3.02627 0.0996691
1684.47 0.366481 -1.98155 1502.57 -0.097263 0.176606 2908.62 2896.15 0.586582 0.162958 0.756748 0.235253 1191.35 2.68279 1.16827 4091.52 0.970194 2.6052 0.0996691
806.938 -0.0235043 1.44358 -1 -1 -1 -1 822.421 0.636237 -1 0.734292 -1 624.582 -1.6594 0.0188258 945.288 0.646284 3.08996 0.0996691
1045.52 -0.183566 -0.559353 506.537 1.19404 -2.97258 1797.5 1629.59 0.749715 0.480654 0.766188 0.644551 783.204 2.39239 0.923435 1757.87 0.934215 2.17539 0.0996691
