pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
2661.07 0.210232 -1.86977 2294.07 -0.115013 1.27507 5407.95 4194.34 0.466058 0.218379 0.625602 0.652924 324.368 1.34046 0.131685 5193.19 0.188502 2.98858 0.0996691
1769.34 -1.37455 0.580858 1026.03 -0.364502 3.1094 2976.4 2815.2 0.456062 0.539456 0.411445 0.779691 720.751 -2.81365 0.0455112 3635.57 0.907241 2.93419 0.0996691
1684.26 -0.119931 -0.568048 1178.25 0.315245 3.04121 2829.24 2773.54 0.442476 0.535417 0.614744 0.638475 410.872 3.08199 0.0169619 3661.19 0.944228 2.65011 0.0996691
1666.92 -1.21343 2.76801 1396.96 0.944525 0.501951 4892.05 3856.86 0.313987 0.667368 0.525883 0.63097 498.499 -1.34446 0.027698 3902.23 0.924864 2.8512 -0.0996691
1379.51 -0.167877 1.0443 1069.9 0.107153 -2.09431 2535.67 1805.61 0.256345 0.687753 0.325179 0.72744 312.197 -2.10255 0.0131623 2502.04 0.205293 2.89578 0.0996691
1806.02 -0.32806 -1.72425 881.465 -0.939606 1.66299 2637.9 2645.5 0.650076 0.459563 0.707659 0.416542 483.328 0.438189 0.745038 3515.02 0.979321 1.4174 0.0996691
478.464 -1.26689 1.793 -1 -1 -1 -1 249.231 0.73587 -1 0.857157 -1 515.919 -1.20201 2.1191 537.07 0.937104 1.17335 0.0996691
629.585 -0.566529 0.459149 493.267 -1.40573 -0.572386 829.731 731.953 0.346972 0.598479 0.764264 0.651729 429.876 2.99233 0.238094 1690.11 0.522391 2.49107 0.0996691
1548.43 0.0902158 2.84454 1012.91 -1.69654 -0.769556 3553.96 3467.1 0.455628 0.464265 0.195649 0.707091 512.748 0.369111 0.271563 3076.76 0.716749 2.20387 -0.0996691
1610.83 -0.198006 -3.06601 1234.58 -0.0694199 -1.12322 2423.36 2388.94 0.321208 0.315364 0.871423 0.427259 1330.13 0.875675 0.121497 3153.79 0.941411 2.22549 0.0996691
2005.78 0.216583 -1.92251 912.632 -0.283985 1.80453 2795.1 2234.95 0.426686 0.42051 0.726195 0.726196 1196.8 0.872269 0.0405244 3384.85 0.888157 2.88817 0.0996691
995.43 -1.17848 1.38045 682.25 0.988619 -1.33333 2698.77 2688.5 0.49843 0.715328 0.682285 0.693916 418.821 -2.4075 0.223539 1725.18 0.92075 2.27039 0.0996691
2003.81 0.0280447 -0.647719 1238.41 0.960446 -2.80323 3196.52 3081.28 0.277625 0.653533 0.629656 0.577572 396.606 0.873655 0.366849 5354.9 0.439415 2.24116 0.0996691
1399.46 -0.692357 0.838455 496.294 0.0343139 -2.58439 1836.99 1561.91 0.284419 0.195203 0.0741921 0.719397 940.481 -2.21297 0.111276 2096.04 0.564205 3.12049 0.0996691
2217.85 1.05161 0.309008 1562.3 -0.565632 3.03382 4993.21 4876.59 0.734542 0.380683 0.630461 0.833067 393.118 -0.644191 0.214368 4983.2 0.884773 2.81866 0.0996691
636.182 0.152614 -2.34105 531.341 -1.02769 -0.252 1288.4 1120.58 0.783514 0.440326 0.843864 0.635484 341.64 2.62343 0.366052 2085.74 0.558486 3.03793 0.0996691
1108.73 1.10902 1.08744 620.455 -1.14725 -2.31789 2843.26 2809.31 0.484327 0.336784 0.663865 0.63563 418.729 -1.70977 0.177626 1823.04 0.83169 2.9754 0.0996691
408.37 1.0099 -1.0778 -1 -1 -1 -1 541.365 0.835653 -1 0.827749 -1 276.728 1.67989 0.920493 591.844 0.449832 2.58958 0.0996691
1067.06 0.162467 -0.91223 688.305 -2.25808 -1.85162 2744.83 2744.29 0.888859 0.760903 0.814918 0.640283 1124.96 2.0585 0.0334904 3007.82 0.244807 3.00034 0.0996691
1375.98 -0.0922512 -0.751301 1128.28 0.602622 2.66037 2656.51 2574.75 0.526822 0.57662 0.627349 0.764665 353.889 1.29669 0.384515 2614.45 0.903918 2.4356 0.0996691
1089.88 -0.156322 0.922512 425.85 1.23363 -2.15288 1716.51 1698.63 0.536183 0.674851 0.595509 0.813609 659.68 -2.27678 0.122549 1513.93 0.444519 3.07558 0.0996691
2192.59 0.0457597 1.88215 642.162 -1.44997 -1.82967 3007.37 3002.67 0.0498635 0.555628 0.798058 0.818889 1734.79 -0.857982 0.0810661 3749.62 0.73192 2.82116 -0.0996691
1693.7 0.464445 1.75807 1444.11 0.0177459 -1.92641 3305.97 2681.78 0.331632 0.755042 0.759971 0.665932 455.263 0.649892 0.34259 4499.58 0.483295 2.91139 0.0996691
1107.24 0.43601 0.560013 889.49 -0.100432 -2.0338 2061.72 1775.31 0.718657 0.409057 0.697444 0.783409 558.555 -2.54926 0.282849 3071.52 0.584251 2.88001 0.0996691
1562.68 0.635153 -0.30585 1441.05 0.944093 -2.88093 2959.73 2892.64 0.466749 0.535856 0.715672 0.434567 444.211 -0.213986 0.0871501 4094.26 0.935096 2.70867 0.0996691
2717.8 0.723565 -1.94989 2255.96 -0.878279 0.96527 6654.88 6647.31 0.446627 0.43149 0.692107 0.799327 656.405 -0.0667627 0.126411 6913.64 0.667172 2.48509 0.0996691
1862.86 0.43696 -0.469038 1175.06 -1.18096 1.59844 3771.64 2498.77 0.675498 0.0907028 0.84683 0.745933 1370.29 -2.53825 1.26642 3764.83 0.885443 2.70555 -0.0996691
1267.76 -0.781935 -0.926693 819.394 0.555699 2.21886 2528.8 2538.67 0.580481 0.298303 0.532371 0.57792 400.778 2.30973 0.0908643 2135.3 0.213837 3.13752 0.0996691
1420.35 0.381694 -1.25552 1170.37 -0.67807 1.15204 2815.74 2786.59 0.506259 0.467353 0.53017 0.655666 308.483 1.18733 0.0295575 3598.27 0.370306 2.41187 0.0996691
689.754 0.167803 -3.13074 645.163 -1.59378 -2.14234 1482.01 1470.49 0.44114 0.421682 0.674572 0.684031 1042.11 0.519971 0.214827 1441.55 0.733558 2.45625 0.0996691
2837.74 0.166684 -0.51158 2385.97 -0.0473905 2.61792 5531.64 4343.22 0.1289 0.246098 0.716844 0.721314 381.397 2.74847 0.132273 5341.38 0.143742 3.03373 0.0996691
325.032 0.583964 1.76353 -1 -1 -1 -1 274.33 0.748887 -1 0.735639 -1 352.265 -1.56189 1.57249 433.347 0.79611 1.76093 0.0996691
626.48 2.0501 -2.67421 366.108 0.367668 0.380928 1334.12 1320.04 0.724147 0.737651 0.551786 0.796579 273.318 0.61258 0.248871 985.888 0.273757 3.03479 0.0996691
1360.24 -0.592748 -2.16535 1079.45 0.826908 1.34048 3069.26 2936.99 0.553163 0.645797 0.574776 0.874763 306.207 0.180737 0.00201743 2657.17 0.84659 2.36921 0.0996691
