pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1572.16 -0.323267 3.01971 1420.28 -0.487535 -0.355826 2988.55 2996.27 0.661956 0.273872 0.69682 0.293621 174.315 1.15706 0.119194 5183.87 0.603243 2.80201 -0.0996691
1137.14 1.37498 -2.42751 1111.83 0.00386915 0.1279 2729.76 2736.73 0.459203 0.461877 0.76373 0.401052 229.096 -0.106072 0.0155778 3060.37 0.968281 2.33657 0.0996691
1302.29 0.27896 1.8042 1068.23 -0.869199 -0.652916 2669.62 2599.16 0.774942 0.625653 0.797284 0.575096 105.896 2.47275 0.27365 3188.33 0.921768 2.87939 0.0996691
468.308 -0.588128 0.698968 423.102 -0.128636 -2.57279 1001.4 704.063 0.496872 0.431776 0.777227 0.827085 113.767 -2.15114 0.0378475 1682.84 0.56016 2.81021 0.0996691
2101.48 0.641146 2.49076 1246.09 -0.527876 1.04662 2946.77 2946 0.627748 0.692779 0.426919 0.623794 693.054 -1.07174 0.0149339 5431.46 0.972983 2.7349 0.0996691
1258.21 0.247369 2.39821 1048.47 -1.55897 -1.81851 3114.73 2801.61 0.488887 0.29194 0.673191 0.654669 92.1564 -0.879179 0.748719 3616.16 0.726392 2.25836 0.0996691
2346.2 -0.328581 -1.15187 1502.5 0.479672 1.30355 3906.07 3713.71 0.425062 0.323488 0.508624 0.549156 181.172 2.36479 0.268418 5462.83 0.595979 3.04687 0.0996691
1619.27 -1.15554 0.540754 748.227 0.491671 -2.54626 3021.96 2898.58 0.671448 0.512784 0.398953 0.767436 873.145 -2.64229 0.0773849 2351.35 0.40552 3.10453 0.0996691
3072.53 0.0621056 1.07962 1762.45 0.983132 -2.07726 5493.06 4745.96 0.0392734 0.356737 0.737119 0.391283 402.895 -2.19242 0.1153 5733.99 0.135965 3.01919 0.0996691
2030.43 0.0673219 1.37346 1419.94 -0.68715 -0.331886 2884.46 2910.9 0.354135 0.241689 0.585878 0.683047 539.146 -1.45394 0.611007 6089.55 0.27552 2.84288 -0.0996691
1413.13 1.0203 -2.13444 851.053 -0.596301 1.52385 2902.41 2933.59 0.540281 0.199232 0.550281 0.493382 14.5916 0.913182 0.557535 3062.29 0.42476 2.4912 0.0996691
597.86 1.24075 0.782434 442.371 1.62614 -2.30601 1086.15 890.643 0.255182 0.677967 0.487543 0.743448 37.1138 1.0223 0.0570677 1347.43 0.0728413 3.00007 0.0996691
