pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
463.522 1.56296 -2.24375 -1 -1 -1 -1 0.85072 -1 0.757242 -1 207.051 0.286647 0.167693 845.96 92.9047
444.502 -1.89284 -0.16858 -1 -1 -1 -1 0.605681 -1 0.788731 -1 104.402 3.11979 0.00256801 1376 92.9047
909.709 -1.00424 -0.0633537 610.147 -0.544376 1.87546 1380.63 0.363148 0.782509 0.833611 0.812858 475.827 -2.58547 0.0864415 2246.52 92.9047
459.715 -0.77546 -1.85767 431.559 -2.15474 -2.40514 780.304 0.746731 0.70843 0.754441 0.790194 167.535 0.713185 0.091559 1962.05 92.9047
921.202 -1.03779 0.897003 754.919 -0.670378 3.01543 1533.13 0.679802 0.756622 0.697481 0.826311 149.884 -2.04843 0.24058 2443.18 92.9047
1028.24 -0.106261 2.45167 925.917 0.146204 -0.96053 2039.25 0.254216 0.666309 0.667667 0.821583 80.0025 -2.82006 0.238474 2524.31 92.9047
556.476 -0.191532 1.24611 554.927 0.660073 -0.582909 1027.24 0.751635 0.48426 0.857291 0.68954 53.5283 1.13032 0.117808 1836.61 92.9047
913.258 0.777309 -0.6658 748.807 -0.0682989 2.28697 1816.13 0.655806 0.306809 0.784424 0.812354 168.177 0.968488 0.199074 2075.23 92.9047
516.973 1.23731 -0.465679 420.848 -1.50304 1.53122 1901.06 0.726765 0.703762 0.80622 0.827205 8.59891 0.299063 0.482826 1854.19 92.9047
1066.23 0.816261 2.79591 729.992 1.00732 -1.29122 1632.13 0.787973 0.460733 0.81306 0.719133 120.46 0.377963 0.0970141 2452.4 92.9047
487.103 0.504384 2.31368 452.052 -2.49122 0.129084 2194.96 0.74133 0.691363 0.815694 0.790968 174.343 -3.09808 0.398003 1644.31 92.9047
771.356 -0.250849 -1.86478 577.804 -1.07189 1.52301 1563.92 0.369711 0.724257 0.735557 0.885824 239.44 0.842045 0.237551 1422.12 92.9047
562.065 0.7787 1.31764 375.343 1.14192 -0.923231 881.707 0.779474 0.691426 0.769552 0.759554 370.4 -2.51185 0.092696 1051.52 92.9047
591.78 0.290747 -2.89593 519.944 -0.272622 -0.969982 999.139 0.643915 0.700364 0.651568 0.769197 55.9504 -1.81301 0.828333 1812.39 92.9047
493.897 2.33503 -1.72181 314.853 -0.195266 1.07206 1541.17 0.803106 0.6145 0.675277 0.675601 119.312 0.953686 0.195562 1204.74 92.9047
715.315 -0.439608 2.3072 492.536 0.41781 -0.063035 1315.22 0.399141 0.459412 0.788641 0.814951 75.3577 -1.43516 0.0730549 1681.83 92.9047
