pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
421.331 -2.10884 1.71483 354.257 -2.2543 -1.25297 834.435 0.772056 0.771451 0.805689 0.838143 124.584 2.23871 0.296533 1254.99 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17.0433 -0.631323 0.055716 130.703 0.0996691
2322.39 0.49511 -1.5037 2058.64 0.231665 0.725108 4337.44 0.230958 0.717325 0.648044 0.718067 282.711 2.41682 0.17884 5786.13 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 34.6637 0.642214 0.0460092 244.323 0.0996691
283.788 3.32318 1.47079 -1 -1 -1 -1 0.72872 -1 0.833181 -1 53.817 0.209373 0.052089 569.293 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 65.3062 2.67727 0.002635 257.543 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 54.6946 0.130069 0.0514994 341.866 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17.8837 -1.00664 0.0139882 273.909 0.0996691
331.615 1.72124 1.84215 -1 -1 -1 -1 0.799012 -1 0.782912 -1 309.286 -2.78465 0.149062 791.357 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 39.2055 -2.91432 0.0818462 276.942 0.0996691
530.33 0.940868 0.606213 484.783 -0.566392 -3.05845 1344.59 0.819111 0.518344 0.783122 0.789623 121.313 1.20548 0.528311 1361.63 0.0996691
624.962 0.573891 -0.783755 307.633 1.94047 0.63486 942.459 0.866326 0.830826 0.803519 0.912172 574.408 2.91661 0.102547 1108.69 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 31.1252 0.718364 0.36555 201.571 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 116.052 -2.80569 0.0908117 399.445 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.9747 2.29726 0.0900202 358.927 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8.09143 3.05689 0.595187 108.66 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 42.1838 -2.08557 0.0775719 271.759 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 13.8933 -2.06661 0.15088 186.709 0.0996691
413.582 -1.46601 -2.4993 -1 -1 -1 -1 0.774629 -1 0.895766 -1 310.686 0.601063 0.106106 539.4 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 29.0826 -2.02211 0.0546815 290.093 0.0996691
493.641 -1.83103 2.11195 -1 -1 -1 -1 0.842296 -1 0.864236 -1 479.902 -0.992968 0.0983103 551.844 0.0996691
302.285 0.227576 0.469241 -1 -1 -1 -1 0.789579 -1 0.736534 -1 145.393 -2.68092 0.182311 415.928 0.0996691
436.191 0.193465 -0.600313 -1 -1 -1 -1 0.867108 -1 0.825317 -1 354.837 2.48503 0.0823371 554.986 0.0996691
1544.84 -1.32245 -1.17057 1246.13 -0.52814 2.03661 3069.39 0.734743 0.73332 0.758821 0.762989 448.782 2.06946 0.0383863 3256.52 -0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 38.3127 -2.59853 0.156806 349.17 0.0996691
294.663 0.507934 2.65985 -1 -1 -1 -1 0.753301 -1 0.858825 -1 190.811 -0.64887 0.283378 343.062 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 43.7193 -1.79431 0.0239301 302.296 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5.54939 2.28626 0.0433645 257.85 0.0996691
948.79 1.77602 0.300531 839.138 0.565787 -2.87697 2183.98 0.79583 0.785644 0.8445 0.660724 79.217 -2.26383 0.172191 1859.2 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 49.325 -0.964893 0.0261362 215.27 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 175.008 2.63506 0.150559 431.329 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3.24425 2.95841 0.142553 215.965 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 62.4077 -2.38828 0.070785 291.694 0.0996691
621.452 0.15497 -3.13636 609.628 0.942663 0.00787694 1380.07 0.612728 0.621785 0.757715 0.809617 61.6458 2.97107 0.0556946 1265.55 0.0996691
690.752 -0.0778272 -2.22007 626.962 -1.11151 0.949174 1545.31 0.775719 0.817027 0.750922 0.765225 128.693 1.08884 0.13234 1342.51 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 57.2842 -2.69659 0.0711896 351.982 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 35.19 -1.75384 0.175846 214.023 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17.7347 -1.61196 0.103833 448.263 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 78.2465 0.844315 0.36176 236.43 0.0996691
