pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
1256.75 0.245579 0.0872365 1081.9 0.189319 2.53889 2294.37 0.550349 0.76534 0.785016 0.777746 713.071 -2.29556 0.207977 2273.35 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 52.533 -2.02542 0.0776346 414.216 1.5571
1390.05 0.425352 1.48968 1223.07 -0.876806 -1.37057 3236.16 0.557495 0.760251 0.59725 0.887531 672.351 -0.996323 0.0309892 3754.27 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 76.1766 2.80641 0.0204198 278.093 1.5571
596.639 -0.966232 -2.22956 439.721 -2.5044 -2.98355 1078.38 0.806507 0.701139 0.836493 0.810588 390.774 0.652205 0.0466885 1276.22 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3.27342 -2.78317 0.0232506 177.846 1.5571
901.986 -1.2422 0.136472 384.361 0.0652153 -0.00944611 923.59 0.854776 0.79157 0.83415 0.806926 860.047 2.90228 0.0781343 1730.57 1.5571
1632.4 -0.427352 1.87806 1098.51 0.601474 -1.18474 3257.54 0.236187 0.789714 0.867902 0.811766 264.802 1.72481 0.138069 3650.09 1.5571
1479.56 -1.42115 0.977184 1057.57 1.84115 -3.07973 6566.72 0.559937 0.764487 0.819327 0.802404 186.35 -1.35438 0.000508666 3389.08 1.5571
1078 -0.769248 1.56476 921.269 0.00375438 -2.49781 2076.3 0.742204 0.830618 0.78226 0.749257 57.1636 -0.531944 0.0902912 3235.04 1.5571
977.049 0.182194 2.03267 652.154 0.0569317 -0.745413 1617.8 0.55734 0.397298 0.716478 0.799087 416.825 -1.82189 0.0526662 1698.81 1.5571
1360.63 0.161623 -2.80915 1007.76 -0.43442 0.403835 2575.16 0.471999 0.76017 0.831262 0.849775 162.363 -0.0607524 0.109872 3893.03 1.5571
281.03 2.96044 -1.36546 254.336 0.307489 1.86611 1182.22 0.759209 0.724817 0.807612 0.788848 60.9249 -0.732864 0.295179 532.878 1.5571
1453.92 -0.884425 -0.850264 811.348 -1.16413 -2.97392 2056.25 0.638413 0.770055 0.733285 0.800837 303.973 1.05097 0.451706 3062.05 1.5571
1216.27 -0.196308 2.40152 925.88 -0.550297 -1.1342 2173.09 0.586722 0.733092 0.849872 0.810035 42.7057 1.54498 0.0244969 2599.98 1.5571
1532.54 0.14685 2.02752 870.584 -0.992496 2.98184 1815.6 0.694876 0.608623 0.724087 0.775635 1336.89 -1.00942 0.284828 3341.08 1.5571
1314.53 -0.481555 -1.08432 1145.82 -0.0573381 0.706488 2026.27 0.461005 0.819265 0.612314 0.876972 504.727 2.39028 0.185666 3538.82 1.5571
1072.1 1.16157 -0.391759 503.748 -1.91154 -1.92108 3460.22 0.704341 0.613937 0.791033 0.86254 877.5 2.14881 0.0527904 1881.34 -1.5571
1358.92 -0.225162 0.73724 1255.92 0.0594342 -2.79367 2825.22 0.257567 0.841724 0.742131 0.766753 84.1111 -2.95072 0.0700634 3473.34 -1.5571
1747.1 -0.761452 1.98686 930.55 -1.09324 -1.18197 2842.68 0.243091 0.607631 0.781717 0.750036 913.22 -1.30446 0.0537555 2735.18 1.5571
1051.63 0.0405191 2.66579 555.975 -2.1262 -0.733181 2595.74 0.689046 0.798605 0.825623 0.840644 249.52 0.53863 0.0658619 2215.88 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 87.6558 0.0861467 0.353254 196.68 1.5571
1332.27 -0.0399731 -0.311359 1316.41 -1.34679 2.07274 3163.87 0.737418 0.221277 0.856248 0.858426 116.149 2.85089 0.106185 3534.19 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.5964 1.85721 0.0123472 291.144 1.5571
1161.62 -1.20687 2.15181 427.529 -0.416202 -1.57835 1562.11 0.746185 0.79531 0.827982 0.895595 760.703 -0.854256 0.113057 2056.25 1.5571
965.227 -0.890774 -1.29836 937.065 -1.39615 1.75799 2018.91 0.765609 0.658186 0.790538 0.787144 89.7936 -2.6354 0.593029 1918.6 1.5571
1000.42 0.445518 0.81719 457.922 -1.67373 -1.95315 2232.47 0.761234 0.82133 0.782924 0.862089 564.061 -2.6564 0.00465655 1745.05 1.5571
1206.11 1.42599 -1.17163 721.411 -0.985532 1.86721 3443.63 0.618065 0.666518 0.852491 0.752107 48.6935 -1.56845 0.152514 2827.51 -1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 52.0312 3.10426 0.137823 317.489 1.5571
1747.66 -0.475304 3.0597 1034.36 -0.339214 -0.871371 2528.6 0.227691 0.779461 0.736805 0.770972 741.925 0.269541 0.0673926 3626.3 1.5571
541.294 -1.44482 1.07758 -1 -1 -1 -1 0.786057 -1 0.792507 -1 393.863 -2.04544 0.126136 658.187 1.5571
1233.29 -0.994216 -2.21019 921.618 0.794408 1.29328 3064.75 0.770654 0.772064 0.843146 0.916716 486.052 -2.2318 0.0193074 2974.62 1.5571
601.857 1.02308 -0.191135 558.441 -0.946389 1.70048 1683.34 0.284686 0.700761 0.835897 0.739327 695.434 -2.29343 0.282493 2099.24 1.5571
551.097 -0.697828 2.76922 521.132 -1.14501 -0.249278 1156.09 0.675277 0.712287 0.672011 0.736399 56.7103 -1.97243 0.0772995 1207.26 1.5571
1622.07 0.0101084 -2.7814 1039.5 -0.0681313 1.55945 2246.93 0.681777 0.749359 0.615841 0.779786 1092.82 -0.175378 0.105128 2973.09 1.5571
1190.78 -0.860773 -0.98366 815.051 0.173541 2.17279 2279.1 0.305962 0.724683 0.863068 0.894267 855.181 2.43004 0.0566518 2795.59 1.5571
2320.06 0.126733 -0.796024 2062.67 -0.266249 2.93742 4494.55 0.814155 0.483144 0.75715 0.604736 357.743 1.07169 0.112002 5203.93 -1.5571
1483.85 0.902995 3.09342 1074.17 0.930756 -0.178311 2644.21 0.589236 0.253114 0.542746 0.691792 198.953 1.01522 0.0430754 2847.06 1.5571
2148.68 -0.916194 1.3969 1726.18 -0.343361 -2.08748 4202.89 0.448895 0.550462 0.521416 0.744517 154.753 -1.4565 0.032639 4544.24 1.5571
789.827 0.254166 -0.571209 -1 -1 -1 -1 0.285475 -1 0.768995 -1 763.206 2.60669 0.0939279 893.306 1.5571
