pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 30.2713 -1.4791 1.20484 44.2441 1.5571
1104.14 0.0802451 -1.77607 566.962 -0.254526 0.981822 1661.32 0.298687 0.616182 0.809316 0.782073 500.646 0.930256 0.0532701 2434.22 1.5571
621.31 2.01682 -1.06201 516.244 -0.49849 0.66786 2046.76 0.23246 0.828057 0.7527 0.654157 633.172 2.69947 0.656684 1196.44 1.5571
1561.44 -0.591711 -0.235169 307.519 0.251131 0.423678 958.372 0.226176 0.427397 0.422927 0.713159 1703.29 3.04862 0.951046 1934.83 1.5571
1056.23 -0.446039 -1.40572 808.579 -0.340096 1.88099 1885.75 0.614895 0.580434 0.582016 0.606563 37.3821 0.48789 0.798692 2182.04 1.5571
476.634 0.872669 1.81742 327.862 -2.00491 -2.07204 1766.58 0.60555 0.817684 0.904807 0.832753 187.625 0.0224693 0.00729884 1455.44 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 71.0901 0.081211 0.243014 87.3269 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 89.4667 2.97628 0.391126 353.26 1.5571
1461.23 -0.101937 1.83002 980.673 -0.670543 -1.31138 2549.9 0.756304 0.701675 0.710082 0.703164 371.335 -1.58288 0.144756 2835.88 1.5571
1560.59 0.335451 -1.1678 1546.34 0.569649 1.39959 3153.48 0.736324 0.173491 0.676066 0.719079 966.752 -3.00533 0.224445 3227.54 1.5571
1618.72 0.0657351 -1.62643 1482.36 1.01612 1.48043 3477.09 0.754024 0.596128 0.894567 0.715026 215.014 1.92799 0.448729 3198.64 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 55.5829 1.82564 0.0898587 267.666 1.5571
899.964 -0.822036 1.98459 780.601 -0.327628 -0.856454 1746.74 0.700876 0.619815 0.8344 0.65955 280.909 -2.17877 0.752801 1661.01 1.5571
838.167 0.244078 2.39258 619.289 -1.65856 -0.432381 2192.41 0.546867 0.571945 0.841285 0.745883 338.341 -1.72346 0.237955 1669.27 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 112.289 -3.14001 0.90741 146.65 1.5571
1404.52 0.0966619 -1.77066 795.926 -0.251215 1.89869 2166.52 0.605019 0.546111 0.746865 0.827956 743.661 1.01728 0.447977 2201.4 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 36.1076 2.68467 -1 0 1.5571
1655.89 0.523495 -1.75489 673.469 1.26127 -0.0417954 1817.19 0.722327 0.56329 0.712345 0.795361 1618.79 1.71805 0.342867 2405.77 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 42.0954 -1.07275 0.00606453 923.122 1.5571
1512.94 0.530181 -0.0923606 492.706 -0.562481 2.04113 1864.76 0.586866 0.774037 0.799686 0.741026 1087.9 -2.75932 0.348294 2539.65 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 53.2396 -0.961083 0.400902 446.245 1.5571
633.203 0.29174 1.45457 385.223 -1.25872 -1.08472 1327.71 0.646976 0.531117 0.785681 0.487998 350.308 -2.19691 0.110213 1260.46 1.5571
