#: table_doi: 10.17182/hepdata.144506.v1/t3
#: name: $E_{\text{T}}^{\text{miss}}$ distribution
#: description: The post-fit distributions of $E_{\text{T}}^{\text{miss}}$ for the SR. Data are compared with background predictions, and six signal predictions covering a representative mediator mass and invisible fraction range are overlaid. The uncertainties include all systematic and statistical components. The last bin contains the overflow.
#: data_file: MET_hd.yaml
#: keyword cmenergies: 13000.0
 MET   [GeV], MET   [GeV] LOW, MET   [GeV] HIGH,"Signal (1 TeV, R$_{inv}$ 0.6) [Events / 50 GeV]"
625.0,600,650,6228.82,114.736,-114.736
675.0,650,700,3772.89,74.4608,-74.4608
725.0,700,750,2390.36,57.6013,-57.6013
775.0,750,800,1659.61,44.2968,-44.2968
825.0,800,850,976.442,42.0231,-42.0231
875.0,850,900,700.306,24.5291,-24.5291
925.0,900,950,476.671,20.2513,-20.2513
975.0,950,1000,323.845,16.5667,-16.5667
1025.0,1000,1050,235.442,11.8186,-11.8186
1075.0,1050,1100,177.376,13.1317,-13.1317
1125.0,1100,1150,107.314,7.7723,-7.7723
1175.0,1150,1200,95.1403,6.88186,-6.88186
1225.0,1200,1250,64.5746,6.05934,-6.05934
1275.0,1250,1300,44.8431,4.52061,-4.52061
1325.0,1300,1350,40.6227,7.57725,-7.57725
1375.0,1350,1400,22.5888,3.02008,-3.02008
1425.0,1400,1450,21.6527,2.73085,-2.73085
1475.0,1450,1500,12.217,1.87512,-1.87512
1525.0,1500,1550,9.27161,1.66184,-1.66184
1575.0,1550,1600,7.23346,1.63867,-1.63867
1625.0,1600,1650,4.50362,1.73079,-1.73079
1675.0,1650,1700,6.48858,1.41793,-1.41793
1725.0,1700,1750,4.05508,1.01198,-1.01198
1775.0,1750,1800,2.71839,0.646243,-0.646243
1825.0,1800,1850,2.26549,0.77367,-0.77367
1875.0,1850,1900,1.33325,0.758031,-0.758031
1925.0,1900,1950,1.13236,0.627781,-0.627781
1975.0,1950,2000,3.03849,1.86843,-1.86843

 MET   [GeV], MET   [GeV] LOW, MET   [GeV] HIGH,Data [Events / 50 GeV]
625.0,600,650,6171
675.0,650,700,3798
725.0,700,750,2489
775.0,750,800,1587
825.0,800,850,1026
875.0,850,900,680
925.0,900,950,470
975.0,950,1000,333
1025.0,1000,1050,236
1075.0,1050,1100,167
1125.0,1100,1150,111
1175.0,1150,1200,86
1225.0,1200,1250,53
