#: table_doi: 10.17182/hepdata.144506.v1/t5
#: name: |$\phi_{\textrm{max}} - \phi_{\textrm{min}}$| distribution
#: description: The post-fit distributions of |$\phi_{\textrm{max}} - \phi_{\textrm{min}}$| for the SR. Data are compared with background predictions, and six signal predictions covering a representative mediator mass and invisible fraction range are overlaid. The uncertainties include all systematic and statistical components. The last bin contains the overflow.
#: data_file: MMPHI_hd.yaml
#: keyword cmenergies: 13000.0
 max$\phi$ - min$\phi$, max$\phi$ - min$\phi$ LOW, max$\phi$ - min$\phi$ HIGH,"Signal (1 TeV, R$_{inv}$ 0.6) [Events / bin width]"
2.94,2.87,3.01,27.2782
3.08,3.01,3.15,6.20283

 max$\phi$ - min$\phi$, max$\phi$ - min$\phi$ LOW, max$\phi$ - min$\phi$ HIGH,Total Bkg. [Events / bin width],stat+syst +,stat+syst -
0.035,0.0,0.07,2.18609,0.820882,-0.820882
0.14,0.07,0.21,3.74823,1.01412,-1.01412
0.27999999999999997,0.21,0.35,10.7997,2.31714,-2.31714
0.42,0.35,0.49,29.3563,5.33969,-5.33969
0.56,0.49,0.63,55.8507,6.42512,-6.42512
0.7,0.63,0.77,112.686,12.2763,-12.2763
0.8400000000000001,0.77,0.91,230.597,17.876,-17.876
0.98,0.91,1.05,522.41,32.6161,-32.6161
1.12,1.05,1.19,784.804,33.7805,-33.7805
1.26,1.19,1.33,769.691,32.0972,-32.0972
1.4,1.33,1.47,699.041,35.1121,-35.1121
1.54,1.47,1.61,690.303,34.8958,-34.8958
1.6800000000000002,1.61,1.75,667.91,34.0677,-34.0677
1.8199999999999998,1.75,1.89,725.379,35.4231,-35.4231
1.96,1.89,2.03,742.078,35.1428,-35.1428
2.0999999999999996,2.03,2.17,796.686,35.8068,-35.8068
2.24,2.17,2.31,799.178,37.3283,-37.3283
2.38,2.31,2.45,966.559,36.5367,-36.5367
2.52,2.45,2.59,1218.22,40.9299,-40.9299
2.66,2.59,2.73,1599.53,50.9285,-50.9285
2.8,2.73,2.87,2184.64,54.1031,-54.1031
2.94,2.87,3.01,2869.02,74.7265,-74.7265
3.08,3.01,3.15,953.117,33.625,-33.625

 max$\phi$ - min$\phi$, max$\phi$ - min$\phi$ LOW, max$\phi$ - min$\phi$ HIGH,Data [Events / bin width]
0.035,0.0,0.07,5
0.14,0.07,0.21,7
0.27999999999999997,0.21,0.35,11
0.42,0.35,0.49,27
0.56,0.49,0.63,52
0.7,0.63,0.77,111
0.8400000000000001,0.77,0.91,239
0.98,0.91,1.05,534
1.12,1.05,1.19,739
1.26,1.19,1.33,734
1.4,1.33,1.47,698
1.54,1.47,1.61,670
1.6800000000000002,1.61,1.75,675
1.8199999999999998,1.75,1.89,698
1.96,1.89,2.03,698
2.0999999999999996,2.03,2.17,793
2.24,2.17,2.31,865
2.38,2.31,2.45,960
2.52,2.45,2.59,1218
2.66,2.59,2.73,1679
2.8,2.73,2.87,2206
2.94,2.87,3.01,2799
3.08,3.01,3.15,970

