#: table_doi: 10.17182/hepdata.144506.v1/t2
#: name: $H_{\text{T}}$ distribution
#: description: The post-fit distributions of HT for the SR. Data are compared with background predictions, and six signal predictions covering a representative mediator mass and invisible fraction range are overlaid. The uncertainties include all systematic and statistical components. The last bin contains the overflow.
#: data_file: HT_hd.yaml
#: keyword cmenergies: 13000.0
 $ H_{T}$   [GeV], $ H_{T}$   [GeV] LOW, $ H_{T}$   [GeV] HIGH,"Signal (1 TeV, R$_{inv}$ 0.6) [Events / 100 GeV]"
850.0,800,900,0.43692952394485474
950.0,900,1000,0.4810234606266022
1050.0,1000,1100,0.5510411262512207
1150.0,1100,1200,0.6729311347007751
1250.0,1200,1300,0.43342310190200806
1350.0,1300,1400,1.0225894451141357
1450.0,1400,1500,1.2924585342407227
1550.0,1500,1600,0.9406125545501709
1650.0,1600,1700,1.4156924486160278
1750.0,1700,1800,1.6563074588775635
1850.0,1800,1900,1.8868234157562256
1950.0,1900,2000,1.7438253164291382
2050.0,2000,2100,2.0683789253234863
2150.0,2100,2200,2.1766905784606934
2250.0,2200,2300,1.9334111213684082
2350.0,2300,2400,1.9453718662261963
2450.0,2400,2500,1.2058404684066772
2550.0,2500,2600,1.6084842681884766
2650.0,2600,2700,1.4695762395858765
2750.0,2700,2800,1.4723693132400513
2850.0,2800,2900,0.7589200735092163
2950.0,2900,3000,1.0272923707962036
3050.0,3000,3100,1.381942868232727
3150.0,3100,3200,1.2103357315063477
3250.0,3200,3300,1.0223177671432495
3350.0,3300,3400,1.2015788555145264
3450.0,3400,3500,0.832338809967041

 $ H_{T}$   [GeV], $ H_{T}$   [GeV] LOW, $ H_{T}$   [GeV] HIGH,"Signal (3 TeV, R$_{inv}$ 0.4) [Events / 100 GeV]"
650.0,600,700,0.02385307103395462
750.0,700,800,0.5074662566184998
850.0,800,900,0.9883540272712708
950.0,900,1000,1.459874153137207
1050.0,1000,1100,0.9436810612678528
1150.0,1100,1200,2.0299558639526367
1250.0,1200,1300,2.5525970458984375
1350.0,1300,1400,2.833312511444092
