pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
868.918 -0.480683 2.21306 604.75 -0.526901 -1.3056 1432.7 1441.36 0.486905 0.361618 0.355415 0.373643 657.402 0.199363 0.215805 1973.84 0.829967 92.9047
635.887 1.34405 -2.26444 -1 -1 -1 -1 744.251 0.701465 -1 0.722965 -1 511.716 0.972048 0.715853 1112.88 0.650466 92.9047
1009.35 0.638727 2.68398 542.781 1.3929 -0.830788 1565.8 1585.93 0.0756155 0.0799185 0.594575 0.277476 458.46 -0.453066 0.376329 1751.31 0.34864 -92.9047
-1 -1 -1 -1 -1 -1 -1 504.964 -1 -1 -1 -1 271.556 -0.592803 0.00864059 564.407 0.331091 92.9047
578.417 -0.152321 -0.398717 406.627 0.462927 3.05435 1012.31 996.639 0.71149 0.630329 0.751125 0.666789 104.541 0.839677 0.136724 1748.09 0.257257 92.9047
914.278 -1.4223 -2.86507 549.613 -1.34555 -0.652763 1279.01 1284.28 0.127851 0.76182 0.452972 0.741121 21.1632 -0.529525 0.130565 2200.44 0.505399 92.9047
495.093 -1.16455 -2.86349 337.691 1.48118 -0.333045 1626.6 1633.34 0.565973 0.714291 0.723239 0.686901 237.24 2.38834 1.03095 1131.55 0.351036 92.9047
-1 -1 -1 -1 -1 -1 -1 527.208 -1 -1 -1 -1 162.728 0.753735 0.724853 485.625 0.108404 92.9047
815.547 0.663779 1.52613 717.192 -0.169076 -1.5962 1682.24 1662.03 0.154619 0.817666 0.574481 0.720492 105.411 -1.63099 0.0380561 1549.17 0.0675135 92.9047
765.454 -0.0139477 1.89555 658.816 1.73895 -0.452813 1945.27 1706.48 0.236854 0.544693 0.557544 0.710382 544.457 -2.27879 0.111674 1468.39 0.679168 92.9047
635.195 -1.6529 -1.72753 263.236 1.24497 2.02995 1830 146.077 0.162465 0.381415 0.738033 0.645738 248.109 0.599929 0.746364 1145.71 0.173479 92.9047
715.025 -0.465491 0.452261 690.352 0.212231 -3.07825 1475.68 1458.58 0.295499 0.67956 0.626684 0.592403 90.8568 1.28738 0.828727 1736.46 0.937483 92.9047
388.684 -0.0689468 -2.08614 261.493 2.48775 1.08815 1244.28 1165.04 0.0881589 0.635688 0.640299 0.514106 16.0667 2.69061 1.51153 805.285 0.791545 92.9047
1018.38 -0.268502 1.42562 970.037 -0.934967 -2.04023 2084.18 2088.39 0.368973 0.52085 0.418819 0.450014 112.174 -1.58787 0.452587 2192.74 0.166949 92.9047
847.325 -0.612016 0.771412 367.12 -1.59255 -2.27924 1302.25 918.209 0.251296 0.50338 0.746601 0.624062 326.749 -2.52645 0.128477 1389.61 0.331432 92.9047
514.81 0.100135 2.51677 301.552 -0.50709 0.972586 623.508 610.764 0.490717 0.626249 0.368809 0.505562 577.173 -1.01205 0.195434 914.363 0.91679 92.9047
517.098 -0.568041 -1.50537 410.794 -0.132585 1.23775 939.355 908.193 0.577022 0.603642 0.619994 0.632837 59.1404 -2.16487 0.64366 1438.05 0.218655 92.9047
872.217 0.145497 -0.996081 512.511 0.14092 1.85 1361.45 1078.45 0.307398 0.403556 0.535704 0.570452 400.802 2.42384 0.573836 1436.69 0.371 92.9047
539.535 1.39008 0.350498 -1 -1 -1 -1 115.313 0.194619 -1 0.730419 -1 532.241 -2.75393 2.77746 550.62 0.98853 92.9047
649.425 1.01451 0.466418 442.156 -0.461946 2.65165 1319.38 944.035 0.104913 0.0883046 0.726454 0 141.354 -1.75957 0.197507 1462.37 0.353413 92.9047
521.979 -0.850733 1.0925 313.856 -2.17709 -2.43503 991.916 977.641 0.500719 0.368366 0.690684 0.683753 255.14 -2.37924 0.053787 1164.22 0.725224 92.9047
495.954 -1.05789 -2.19954 360.662 0.365683 -2.87596 737.534 673.78 0.430745 0.475962 0.651209 0.810176 776.083 0.678574 2.71662 848.056 0.944886 92.9047
452.521 1.3661 0.851703 446.96 -1.09359 -0.314073 1497.06 1494.14 0.324919 0.48753 0.403263 0.670331 316.058 3.03858 0.137884 1434.49 0.364636 92.9047
375.579 1.21293 1.98712 -1 -1 -1 -1 303.561 0.695138 -1 0.782438 -1 418.1 -0.490188 1.16278 674.079 0.722196 92.9047
975.254 -0.655968 0.843359 329.036 -0.467706 2.45095 836.129 835.335 0.740028 0.517844 0.64962 0.400026 1081.28 -1.90818 0.0125906 1566.21 0.945116 92.9047
660.418 -1.20581 -0.0384036 369.083 -1.65818 -2.45515 955.981 947.521 0.289127 0.736344 0.51759 0.827225 115.821 -3.08512 0.213353 1490.73 0.498057 92.9047
827.74 -0.815559 -1.74706 -1 -1 -1 -1 367.189 0.185717 -1 0.330685 -1 821.743 1.2078 1.63911 1000.37 0.862982 92.9047
608.302 1.7571 1.47207 392.798 -0.0457959 3.07096 1240.77 1215.44 0.614326 0.56592 0.656247 0.652252 509.44 -0.720329 1.11649 1297.34 0.770489 92.9047
609.359 -0.078073 -0.763016 -1 -1 -1 -1 505.584 0.649047 -1 0.677933 -1 510.095 2.28519 0.346505 747.501 0.725127 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10.1711 2.06902 -1 0 -1 92.9047
830.687 -0.0986027 -0.193781 688.927 -0.40696 -2.75345 1472.08 1487.02 0.346498 0.629182 0.397857 0.566757 178.592 2.50428 0.899485 2038.16 0.682678 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 49.1843 0.981117 2.60763 32.8669 1 92.9047
499.686 -0.980976 -0.761526 437.397 0.0411783 -2.78265 954.963 924.875 0.43154 0.761348 0.692329 0.59731 287.17 1.57248 0.381166 1148.21 0.635885 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2.67528 0.286485 -1 0 -1 92.9047
628.141 1.36117 2.87043 -1 -1 -1 -1 672.004 0.0986495 -1 0.527906 -1 422.092 -0.199303 0.659171 1065.85 0.805458 92.9047
578.746 -0.243303 1.90802 -1 -1 -1 -1 783.153 0.370101 -1 0.432354 -1 585.226 -1.33104 0.209632 1074.83 0.397541 92.9047
742.911 0.130338 2.41742 529.339 0.378328 -0.958955 1300.4 1171.47 0.476039 0.337161 0.754056 0.788281 298.492 -0.279089 0.60638 1318.92 0.173988 92.9047
818.61 0.0524519 -1.07243 742.659 0.197889 2.00353 1666.68 1274.88 0.618231 0.299179 0.371679 0.826436 101.238 -1.9814 0.875881 1759.87 0.956743 92.9047
633.477 -0.914959 -0.0944679 473.541 -0.29787 -1.81504 909.979 897.776 0.749231 0.32508 0.600408 0.579015 415.428 2.87931 0.966305 1504.48 0.5697 92.9047
623.457 -0.456105 -2.0184 322.337 1.14667 2.55535 1066.38 988.761 0.588801 0.589922 0.740914 0.563932 722.162 0.615002 1.89227 957.379 0.9582 92.9047
427.149 1.0447 -2.21016 422.321 -1.08812 0.952524 1396.65 1165.06 0.597886 0.436108 0.687008 0.573518 61.1668 -1.10268 1.09626 902.645 0.90856 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 33.2617 -1.16493 -1 0 -1 92.9047
912.065 -0.947549 0.690667 274.34 1.10345 2.57696 1475.22 1448.81 0.46963 0.563656 0.502501 0.776334 886.863 -2.15508 1.56469 1172.52 0.736319 92.9047
532.274 2.12615 -2.22436 264.833 0.46658 2.84825 885.376 921.744 0.322319 0.352465 0.698482 0.483712 428.162 0.309881 0.547471 1093.04 0.580299 92.9047
347.229 0.290676 -1.952 -1 -1 -1 -1 866.873 0.643376 -1 0.714657 -1 114.126 2.14151 0.795458 705.177 0.61172 92.9047
521.049 -0.228432 0.672669 -1 -1 -1 -1 541.043 0.521084 -1 0.415086 -1 387.37 -2.69127 0.318621 778.795 0.914529 92.9047
-1 -1 -1 -1 -1 -1 -1 328.252 -1 -1 -1 -1 90.9509 0.135097 1.08334 521.494 0.840679 92.9047
325.531 0.593928 -0.872631 -1 -1 -1 -1 423.435 0.414799 -1 0.759766 -1 212.191 1.83554 0.0445129 657.36 0.37909 92.9047
648.704 -0.57015 -2.3332 316.868 -1.3784 0.833797 996.593 966.135 0.539155 0.496855 0.822704 0.525006 100.393 1.38435 0.55114 947.109 0.344877 92.9047
1049.4 1.08569 2.12922 839.204 1.27496 -1.37916 1875.11 1862.29 0.491513 0.786849 0.211432 0.713965 391.563 0.0955651 1.17858 1969.59 0.853926 92.9047
766.37 0.863898 -2.34977 448.906 -0.668161 0.460201 1611.52 898.928 0.231805 0.267742 0.729939 0.400584 333.466 0.988275 0.0161862 1257.67 0.873183 92.9047
517.999 -1.38709 0.316065 283.222 -0.222718 0.99495 627.776 364.034 0.468978 0.316249 0.517097 0.750194 797.996 -2.40123 1.68477 972.423 0.729698 92.9047
333.897 -1.7557 -2.64516 -1 -1 -1 -1 227.314 0.814504 -1 0.723118 -1 295.637 0.268825 1.61847 379.439 0.836988 92.9047
699.45 -0.51036 -2.89981 -1 -1 -1 -1 669.191 0.077345 -1 0.390213 -1 515.764 0.699912 0.670231 1132.53 0.55016 92.9047
417.014 -0.321453 0.333663 333.713 -0.711591 2.78283 728.195 703.148 0.508574 0.707277 0.78787 0.524407 218.292 -2.88419 0.613712 938.178 0.360719 92.9047
1032.12 0.405664 -2.97002 842.063 -0.855912 -0.0833219 2249.96 2212.08 0.243787 0.504747 0.502619 0.230407 123.91 0.683809 0.0851657 2287.1 0.928296 92.9047
827.85 -1.42833 2.94779 736.674 -1.68917 -0.0811121 1583.19 1573.51 0.567866 0.623628 0.647764 0.624274 30.0008 0.925627 0.996317 1825.67 0.763548 92.9047
681.627 -0.183123 -2.52215 584.296 0.747709 0.259454 1392.42 1387.59 0.635176 0.669812 0.68032 0.538561 72.7046 -2.69161 0.171363 2134.17 0.193033 92.9047
649.93 1.25201 -2.64105 493.322 0.524961 1.06228 1179.21 1155.35 0.60045 0.477485 0.604822 0.503055 361.2 0.564291 0.495877 1430.47 0.310183 92.9047
