pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
2136.14 0.172783 -0.858558 1920.07 -0.286418 2.94574 4091.15 3638.32 0.133245 0.473753 0.543883 0.571913 321.689 0.894219 0.171739 5046.98 0.935803 -1.5571
1363.35 0.931922 3.10185 937.966 0.937037 -0.200675 2344.76 1800.5 0.473675 0.0847774 0.0751977 0.552565 231.868 0.610371 0.395286 2644.26 0.55615 1.5571
2067.28 -0.896999 1.34271 1816.45 -0.256149 -2.01966 4255.7 3763.41 0.413144 0.383471 0.264518 0.767856 66.8996 -3.00093 0.653254 4626.13 0.960103 1.5571
774.942 0.218208 -0.578481 -1 -1 -1 -1 273.64 0.2388 -1 0.63002 -1 780.425 2.60357 2.89461 791.262 0.986819 1.5571
-1 -1 -1 -1 -1 -1 -1 431.624 -1 -1 -1 -1 10.0559 -0.74475 0.0582426 427.29 0.0306502 1.5571
2202.64 -0.281475 1.77517 1371.86 0.220475 -2.70782 3037.11 2802.34 0.318129 0.193305 0.690475 0.610201 1420.89 -0.733488 0.0144092 4640.25 0.956058 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 13.4894 2.12912 2.46787 48.4158 1 1.5571
1093.42 -0.0479068 -1.87508 1000.62 -0.686603 0.887595 2187.15 2075.7 0.49643 0.862225 0.643587 0.70694 351.939 2.27054 0.390028 2292.09 0.899452 1.5571
1243.06 -0.00399124 2.86297 1039.53 1.44446 -0.986686 2796.86 2805.82 0.512968 0.535688 0.467622 0.761093 205.611 0.787391 0.16058 2973.75 0.880002 1.5571
2043.48 0.342286 1.34211 1485.74 0.354598 -1.63896 3699.74 3013.84 0.0620807 0.342111 0.469269 0.476918 596.697 -2.1999 0.355199 3630.45 0.724207 -1.5571
1401.64 -0.0280616 -2.26629 1120.24 2.72924e-05 2.56481 1711.31 1646.96 0.58617 0.418769 0.283366 0.4297 1561.04 0.319048 0.61131 2836.06 0.502823 -1.5571
949.77 -0.529687 0.680692 937.245 0.570573 0.902652 1121.94 1118.63 0.543604 0.0897209 0.383809 0.547831 123.518 -1.90613 0.216659 3713.45 0.0609567 1.5571
659.778 -0.290293 1.91375 417.912 -1.24133 1.31601 628.39 595.248 0.759132 0.495039 0.645591 0.729055 1051.38 -1.40371 0.134343 1297.61 0.749646 1.5571
1654.25 0.368908 -1.19426 1477.86 0.549381 1.37013 3121.38 2430.42 0.717185 0.251942 0.561872 0.638617 413.882 2.58983 0.390369 3950.94 0.952049 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 72.5735 -0.414696 2.70545 30.3111 1 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 40.8998 0.767523 2.88962 40.2555 1 1.5571
1189.26 0.326737 -2.95802 1033.98 0.187405 1.15663 1976.67 1983.21 0.450316 0.311477 0.523119 0 325.072 0.0905967 0.180641 3024.06 0.871298 1.5571
1067.42 -1.02992 1.94459 733.676 0.651135 -1.0925 2549.06 1583.52 0.805458 0.306302 0.739664 0.752888 268.68 -1.47722 0.0944685 1871.81 0.895018 1.5571
1478.48 0.733759 -2.14584 667.985 -1.24204 0.66054 3143.22 2457.39 0.0451169 0.676164 0.769216 0.753462 275.364 0.987199 0.119857 2922.84 0.958476 1.5571
1333.05 0.422803 -2.18002 894.268 0.845892 0.334532 2358.66 1550.66 0.255202 0.547898 0.829601 0.673818 826.246 1.63383 0.418441 2405.76 0.360903 1.5571
-1 -1 -1 -1 -1 -1 -1 220.268 -1 -1 -1 -1 10.591 -0.167091 0.347462 157.09 0.147653 1.5571
711.167 1.49542 -3.13362 444.562 -1.14138 0.705881 2237.74 1921.45 0.315949 0.552643 0.631809 0.701687 461.09 -0.124066 0.819035 1375.18 0.446002 -1.5571
