pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 12.1685 -0.444486 -1 0 -1 0.0996691
324.541 -1.10548 0.0637194 -1 -1 -1 -1 234.29 0.77937 -1 0.905558 -1 234.267 -2.95409 0.237934 396.968 0.776567 0.0996691
-1 -1 -1 -1 -1 -1 -1 555.741 -1 -1 -1 -1 30.8952 0.988908 0.329914 286.493 0.130831 0.0996691
306.016 1.01231 1.50359 273.775 -1.06536 -1.60302 929.286 869.552 0.542577 0.679716 0.720647 0.763594 36.3736 -2.18919 0.569794 561.704 0.0501181 0.0996691
-1 -1 -1 -1 -1 -1 -1 292.065 -1 -1 -1 -1 27.1727 -1.06451 0.0238533 152.546 0.541804 0.0996691
1779.2 -0.360133 -1.14708 1266.01 -0.470522 1.29511 2860.42 2807.71 0.730187 0.459003 0.851664 0.652149 598.639 2.96526 0.247271 3627.18 0.665427 -0.0996691
1088.35 0.104821 -1.99047 947.718 0.553183 -0.611678 1410.28 1832.99 0.690551 0.328857 0.360595 0.455139 718.926 1.72392 0.0588712 2937.4 0.342491 0.0996691
1591.5 -0.526327 -2.27005 1076.73 -0.483613 0.553567 2713.61 1655.14 0.354405 0.629109 0.678267 0.579319 891.182 0.0198489 0.0203054 3781.25 0.580329 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 161.927 -0.93096 3.11485 172.274 1 0.0996691
1586.73 0.257569 -0.652645 1195.58 -0.325834 3.08085 2778.12 2750.44 0.460826 0.764464 0.835127 0.919805 593.226 1.48854 0.179391 3147.27 0.797178 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 28.8675 -0.890155 2.47676 34.8889 1 0.0996691
-1 -1 -1 -1 -1 -1 -1 676.025 -1 -1 -1 -1 25.2076 -2.31401 1.55938 232.944 0.0933447 0.0996691
2163.1 -0.800975 1.74076 1805.82 -1.01601 -1.6576 4241.94 3077.41 0.0531299 0.5088 0.340009 0.618671 230.468 -2.46292 0.657683 4961.15 0.937664 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 229.284 1.33868 3.07416 202.872 1 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 49.1585 -0.660259 3.06303 35.7987 1 0.0996691
-1 -1 -1 -1 -1 -1 -1 38.4305 -1 -1 -1 -1 110.597 -1.04481 2.50547 170.008 0.918596 0.0996691
