pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
1194.91 0.184935 0.0222728 915.99 0.19183 2.59743 2021.07 1983.45 0.675782 0.769239 0.52608 0.685947 691.079 -2.23057 0.924768 2140.52 0.960045 1.5571
1881.02 -0.37074 1.367 1526.46 0.189849 -2.25565 3450.48 3481 0.63254 0.402824 0.59737 0.594288 405.722 -0.516691 0.663113 3936.94 0.630199 1.5571
769.794 -0.949882 -3.04024 552.226 1.07494 1.36008 1902.42 1602.01 0.441689 0.335599 0.785123 0.765747 570.643 -0.621525 0.0661265 1571.59 0.567287 1.5571
1352.64 -0.385254 -0.382074 1343.39 -0.464327 2.52539 2727.42 2605.27 0.151571 0.475519 0.683044 0.555657 354.943 -2.33993 1.419 2784.44 0.968579 1.5571
933.557 0.446319 1.54899 558.076 -0.423068 -0.623328 1453.15 1370.14 0.436746 0.641679 0.388324 0.667596 712.893 -2.35938 0.98924 1572.36 0.773947 1.5571
1270.67 0.120348 -0.315986 918.567 1.03381 -2.45212 2259.63 1432.68 0.463205 0.518992 0.694056 0.581801 955.97 2.18066 1.07222 2352.23 0.892209 1.5571
1308.64 -1.17027 -2.82773 1049.42 0.528533 -0.817512 2998.01 3006.08 0.0511822 0.786728 0.600167 0.549266 481.628 0.84551 0.474961 3243.7 0.51505 1.5571
-1 -1 -1 -1 -1 -1 -1 23.2093 -1 -1 -1 -1 85.8051 -0.467989 3.04274 82.1105 0.997377 1.5571
315.013 -2.44234 -2.99038 -1 -1 -1 -1 296.601 0.707523 -1 0.667155 -1 300.465 0.277496 0.1566 465.35 0.754854 1.5571
866.056 -0.229667 -2.29029 354.134 1.5863 2.08238 1465.76 1460.15 0.546216 0.444302 0.294121 0.623591 721.611 0.501468 0.147294 1375.95 0.734738 1.5571
373.943 -2.33376 2.9925 -1 -1 -1 -1 890.371 0.64668 -1 0.660214 -1 212.138 0.123323 0.158366 517.954 0.771685 1.5571
-1 -1 -1 -1 -1 -1 -1 84.9382 -1 -1 -1 -1 71.7004 0.690609 1.69009 76.0557 0.643928 1.5571
1540.04 0.438126 2.8987 931.841 0.300157 -2.04763 1518.49 1503.82 0.704618 0.0695957 0.703181 0.430721 1811.73 0.151235 0.0372064 2826.84 0.82377 1.5571
1711.16 -0.200783 0.0920056 1054.17 -0.134353 2.55062 2643.32 2026.61 0.0533075 0.220247 0.600491 0.108523 1157.33 -2.40179 1.33249 2861 0.502853 1.5571
1412.88 0.174487 -1.47059 1281.25 0.205263 2.26816 2652.5 2050.68 0.439716 0.212162 0.484947 0.643071 661.21 1.25061 0.161949 3275.4 0.437135 1.5571
820.748 -0.437199 1.0359 279.936 -1.08981 -2.09692 1039.19 783.85 0.450652 0.541523 0.692028 0.784116 244.046 -2.89775 0.32463 1306.06 0.84814 1.5571
678.542 -1.35177 0.0323194 591.714 -0.0915489 -1.3555 1193.79 1196.5 0.706807 0.604525 0.679333 0.513754 377.754 2.10375 0.522134 1955.55 0.872995 -1.5571
1120.43 -0.581902 -1.0533 397.641 -0.981359 2.86466 1277.58 1229.2 0.573416 0.543243 0.779758 0.751528 891.979 1.65789 0.252715 1594.05 0.948567 -1.5571
-1 -1 -1 -1 -1 -1 -1 64.4626 -1 -1 -1 -1 11.459 2.55926 1.53394 57.4539 0.128957 1.5571
-1 -1 -1 -1 -1 -1 -1 192.065 -1 -1 -1 -1 15.6619 0.977606 0.854915 56.2842 0.838034 1.5571
2018.63 -0.070339 -2.23135 643.354 0.634335 0.735741 2421.95 2444.24 0.386551 0.505116 0.323672 0.447609 1556.43 1.02409 0.295837 3024.39 0.525139 1.5571
380.39 0.40483 -0.919036 -1 -1 -1 -1 350.119 0.325026 -1 0.265441 -1 318.641 2.27367 0.0216613 456.282 0.681226 1.5571
336.496 0.0644768 0.840911 -1 -1 -1 -1 118.907 0.697336 -1 0.609713 -1 348.118 -2.39031 1.85646 355.705 0.952207 1.5571
1752.59 -0.649629 0.582706 1659.95 -0.576004 3.02853 3285.86 2745.08 0.289157 0.513467 0.259922 0.600028 48.4712 1.86969 0.700255 4758.63 0.967599 1.5571
-1 -1 -1 -1 -1 -1 -1 185.259 -1 -1 -1 -1 49.8456 0.148608 0.259542 143.365 0.32433 1.5571
1254.75 -0.412703 -1.22346 1085.14 -0.043004 0.79032 2086.83 1648.12 0.114143 0.472013 0.703066 0.328545 1217.14 2.83406 0.676341 2430.47 0.85796 1.5571
1798.91 -1.00509 2.26726 848.53 -1.0893 -2.17161 2094.76 1907.8 0.362739 0.269389 0.488253 0.628144 1582.68 -0.391524 0.0688039 2878.57 0.136171 1.5571
1337.55 0.424793 2.40343 611.98 0.528637 -1.32015 1742.4 1764.24 0.247721 0.269597 0.611926 0.324944 503.858 -0.0874641 0.434791 2405.37 0.97784 1.5571
1435.32 0.806864 1.2559 997.306 -1.31402 -2.30749 3848.69 3773.53 0.668527 0.520832 0.689592 0.406316 410.087 -2.18457 0.109908 2988.56 0.291683 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 12.8779 -1.67648 -1 0 -1 1.5571
-1 -1 -1 -1 -1 -1 -1 106.551 -1 -1 -1 -1 24.0245 -0.257259 0.294685 62.8541 0.263505 1.5571
1335.02 0.147678 -1.27492 422.86 1.19707 1.14414 1642.69 1545.9 0.731238 0.69795 0.692007 0.69697 947.776 1.77873 0.23194 2118.04 0.941391 1.5571
1147.43 1.21192 2.68643 1035.46 -0.985142 -0.760016 3632.03 3454.42 0.590644 0.260623 0.726871 0.650241 213.39 0.164699 0.275784 3513.83 0.12065 1.5571
767.146 0.181515 -0.276243 390.173 0.627952 -2.92098 1109.52 1046.89 0.443124 0.615913 0.413641 0.674131 422.058 2.63587 0.745061 1157.07 0.4097 1.5571
322.293 1.0344 -3.09637 -1 -1 -1 -1 -1 0.58146 -1 0.474757 -1 325.955 -0.00263329 3.10018 319.275 1 1.5571
927.239 -0.522506 -1.37097 489.299 -0.888139 1.98718 1375.72 1328.51 0.69175 0.590586 0.807739 0.66117 271.983 1.10936 0.0933992 1918.05 0.64247 1.5571
970.656 0.780486 1.59305 613.087 0.476123 -2.64415 1340.69 1357.67 0.61901 0.477421 0.743868 0.4901 798.652 -0.382935 0.26096 2128.76 0.809435 1.5571
1571.15 -0.755034 3.07446 995.477 0.961343 -0.467017 3460.43 3401.75 0.599187 0.50585 0.592551 0.675816 202.667 0.678153 0.51095 3235.41 0.528396 -1.5571
1679.55 0.536411 1.01483 -1 -1 -1 -1 654.39 0.192217 -1 0.275465 -1 1606.19 -2.1534 0.0464318 1769.56 0.968004 1.5571
-1 -1 -1 -1 -1 -1 -1 352.959 -1 -1 -1 -1 71.2398 1.87419 0.0959737 266.714 0.148865 1.5571
321.622 -1.30811 -1.99409 -1 -1 -1 -1 -1 0.618419 -1 0.84264 -1 310.977 1.0836 3.08351 314.781 1 1.5571
1705.25 0.0142615 1.37224 901.2 0.166626 -2.30403 2447.75 2252.92 0.34218 0.53026 0.689064 0.476713 99.3161 -2.8263 0.485088 3654.15 0.433231 1.5571
904.025 0.659802 1.3482 298.689 0.833041 0.0703363 655.272 619.884 0.359948 0.370725 0.860121 0.595275 1036.75 -2.07288 0.405339 1259.41 0.312977 1.5571
1013.71 0.46821 -2.02759 576.701 1.57864 0.174665 1699.71 1505.29 0.577625 0.150331 0.675623 0.818916 484.374 1.73199 0.0709244 1931.28 0.659705 1.5571
289.988 -1.44414 -2.49726 -1 -1 -1 -1 487.23 0.575792 -1 0.759128 -1 100.179 0.527268 0.0767956 469.134 0.174084 1.5571
2167.03 0.640084 -0.404378 2064.94 -0.318234 2.29328 4635.65 4696.39 0.559188 0.630022 0.32501 0.592851 364.902 -2.56835 0.00934434 4881.71 0.985307 1.5571
1039.67 0.82153 2.43979 919.453 0.0279692 -0.0471326 2068.03 1944.24 0.63776 0.588916 0.324561 0.705496 280.507 -1.95318 0.361058 2352.02 0.817536 1.5571
1416.45 -0.0782308 0.984552 1067.34 0.969149 2.29871 2269.71 2032 0.155107 0.531624 0.589998 0.657746 1559.39 -1.61713 0.181226 2992.93 0.189137 -1.5571
1027.96 1.19397 1.35336 619.491 -2.01113 -2.66073 4074.08 4023.27 0.436608 0.588275 0.749334 0.710402 923.442 -1.00557 1.65312 1850.92 0.93697 1.5571
1024.32 0.109373 -2.52857 -1 -1 -1 -1 513.002 0.408159 -1 0 -1 974.291 0.597236 0.374239 1104.11 0.887258 1.5571
2062.66 0.140119 -1.86408 1974.77 0.553874 0.856706 4066.45 3952.71 0.770742 0.659152 0.685933 0.612921 795.142 2.50768 1.40404 4085.67 0.239636 1.5571
2083.19 0.359883 1.35918 -1 -1 -1 -1 856.295 0.063064 -1 0.584756 -1 2034.79 -1.82756 0.450814 2146.64 0.891504 -1.5571
1010.82 -0.525264 1.73541 604.879 -0.296351 -1.41279 1681.68 1351.68 0.277597 0.484752 0.525939 0.577019 458.748 -1.34 0.0805986 1892.8 0.145661 1.5571
943.805 -0.539193 -2.27526 552.531 1.21369 2.54354 1770.06 1663.93 0.0939729 0.575993 0.588183 0.704085 675.861 0.260357 0.184928 1965.42 0.746246 1.5571
1386.12 1.17864 -0.523095 1262.27 -1.07985 -2.75954 4424.31 4187.74 0.299049 0.419929 0.561897 0.710384 454.74 1.20677 0.331908 3586.2 0.148267 -1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 167.499 -2.9061 3.10978 162.234 1 1.5571
