pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5.31189 0.594603 -1 0 -1 0.0996691
306.977 -1.11327 0.0787269 -1 -1 -1 -1 216.382 0.630265 -1 0.751006 -1 218.794 -2.99365 0.172974 365.108 0.789852 0.0996691
-1 -1 -1 -1 -1 -1 -1 555.657 -1 -1 -1 -1 30.891 1.35538 0.113404 277.866 0.127536 0.0996691
291.88 0.923451 1.49983 263.474 -1.04897 -1.63573 851.909 830.033 0.201825 0.489751 0.425073 0.597397 18.9401 -1.67734 0.0245088 549.805 0.0647587 0.0996691
-1 -1 -1 -1 -1 -1 -1 231.641 -1 -1 -1 -1 24.7888 -1.26241 0.298693 150.446 0.447187 0.0996691
1721.48 -0.332295 -1.08807 1284.54 -0.466693 1.38666 2841.36 2792.94 0.713489 0.633175 0.751292 0.75507 628.111 3.05599 0.33303 3545.31 0.71152 -0.0996691
1150.7 0.569964 -0.498562 1115.08 0.159046 -2.01537 1690.68 1895.72 0.0917038 0.0341788 0.469452 0 814.583 1.94996 0.213062 3218.39 0.352569 0.0996691
1596.05 -0.507546 -2.2779 1044.92 -0.512564 0.541363 2673.44 1490.64 0.223453 0.663947 0.713559 0.488575 871.341 0.0847266 0.000682265 3708.34 0.522534 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 166.622 -0.92355 3.05559 166.424 1 0.0996691
1804.83 0.298089 -0.53106 1158.79 -0.357949 3.0773 2985.37 2987.39 0.666922 0.716656 0.795827 0.718601 756.967 1.81909 0.177719 3335.28 0.834511 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 27.0309 -0.778888 2.57683 28.466 1 0.0996691
-1 -1 -1 -1 -1 -1 -1 640.622 -1 -1 -1 -1 18.4021 -1.81309 0.974227 224.099 0.0786229 0.0996691
1727.36 -1.04562 -1.73409 1221.45 -0.988812 2.24118 2676.96 2678.34 0.469822 0.612823 0.451945 0.60519 260.304 -1.50819 0.225818 4817.23 0.194873 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 225.278 1.31486 3.07308 195.611 1 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 51.9011 -0.592173 3.0894 39.917 1 0.0996691
-1 -1 -1 -1 -1 -1 -1 41.4226 -1 -1 -1 -1 121.768 -1.0162 2.85588 167.666 0.979057 0.0996691
-1 -1 -1 -1 -1 -1 -1 201.515 -1 -1 -1 -1 5.07127 -0.0360722 0.350263 193.292 0.119257 0.0996691
1949.36 0.0328104 1.36661 1783.76 0.137313 -1.1166 3687.19 2556.36 0.718732 0.109114 0.689162 0.825499 669.313 -1.02877 0.224118 5582.96 0.222392 -0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17.5014 -0.604223 -1 0 -1 0.0996691
2087.67 -0.721717 1.59321 1510.73 -0.276692 -1.9571 3686 2684.54 0.321104 0.556566 0.342136 0.671955 497.743 -1.17833 0.681805 4242.34 0.953532 0.0996691
-1 -1 -1 -1 -1 -1 -1 78.7898 -1 -1 -1 -1 17.82 -0.756791 1.43397 76.1745 0.0934641 0.0996691
387.316 1.16949 -2.46523 -1 -1 -1 -1 398.811 0.800676 -1 0.738396 -1 227.296 0.348371 0.575733 518.98 0.598149 0.0996691
2061.79 -0.0100839 -2.6676 2018.01 -0.194683 -0.0892032 4078.51 2837.5 0.113786 0.545718 0.542158 0.50788 136.32 -0.603721 0.163299 5466.56 0.579613 0.0996691
415.504 -1.6759 2.92632 -1 -1 -1 -1 504.122 0.502449 -1 0.317857 -1 260.137 -0.205022 0.0137322 579.791 0.437358 0.0996691
2104.83 -1.04326 -2.40936 1620.27 0.325 0.352743 4610.43 4427.32 0.447679 0.803371 0.3799 0.756366 758.441 1.47948 0.108721 3932.5 0.971016 0.0996691
322.34 1.03899 1.42411 -1 -1 -1 -1 510.789 0.532521 -1 0.72934 -1 13.371 0.532222 0.893434 650.662 0.371845 0.0996691
-1 -1 -1 -1 -1 -1 -1 69.8258 -1 -1 -1 -1 19.5499 -1.45673 0.224984 68.8085 0.127395 0.0996691
