pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
425.83 -0.872927 0.36723 417.132 -0.66195 -1.79515 772.689 0.615956 0.829072 0.762095 0.667249 169.917 1.05457 0.687344 1542.05 92.9047 7.43237
868.981 -1.02551 0.875507 723.004 -0.597599 3.10814 1477.17 0.529454 0.297127 0.643609 0.622075 77.737 -1.74477 1.43028 2259.93 92.9047 8.44588
578.894 -0.137616 1.27965 564.347 0.646093 -0.55959 1030.22 0.712933 0.328262 0.728745 0.473697 42.1685 -2.73445 2.17486 1799.13 92.9047 7.83533
895.572 0.741362 -0.659667 693.037 -0.104097 2.3575 1727.81 0.409152 0.169047 0.718119 0.524453 188.322 1.41102 0.946481 1953.57 92.9047 8.25819
984.402 0.858872 2.7032 688.119 0.968001 -1.29947 1525.7 0.219203 0.358375 0.806513 0.569311 88.3148 0.173154 1.47262 2330.18 92.9047 9.67757
590.937 -0.167625 -1.99779 543.77 -1.03449 1.50147 1259.73 0.668446 0.506706 0.464553 0.77257 178.549 0.94598 0.555488 1274.91 92.9047 11.2612
572.071 0.730104 1.31026 338.815 1.11391 -0.878321 818.393 0.631079 0.677974 0.729572 0.805606 379.354 -2.48494 1.60662 960.204 92.9047 10.5944
484.915 2.30053 -1.77479 269.766 -0.163043 1.17936 1353.12 0.592044 0.575667 0.489472 0.697185 185.084 1.14607 0.0332897 1125.25 92.9047 9.74525
768.038 -0.767607 1.94864 521.155 -0.654403 -0.445756 1223.49 0.0927462 0.505687 0.562426 0.781906 31.048 0.947854 1.00078 1922.13 92.9047 9.63036
797.635 -0.680771 1.39743 486.437 -0.083024 -1.09996 1288.63 0.311898 0.251501 0.695436 0.665739 243.361 -2.08404 0.984086 1636.2 92.9047 9.95407
856.517 -0.0454694 2.49118 786.581 -2.01412 -0.682595 2515.24 0.588388 0.537353 0.503477 0.795706 107.607 1.50765 0.983526 2033.87 92.9047 9.48007
495.126 -0.668142 2.5166 407.835 -0.124862 -0.995871 930.275 0.721124 0.597704 0.684496 0.341269 18.049 -1.12716 0.131291 1428.15 92.9047 9.61083
602.187 -1.12071 1.8038 475.266 -0.123687 0.398299 901.189 0.426889 0.506372 0.3879 0.763207 369.289 -1.75045 2.14874 1569.17 92.9047 9.46251
489.794 0.626378 -2.03586 420.484 0.205278 0.125001 843.324 0.60168 0.422995 0.509342 0.160139 250 2.74709 1.50023 1320.8 92.9047 8.90337
675.128 1.08868 2.4856 573.736 0.0616876 -0.561268 1425.4 0.701022 0.35632 0.709689 0.633946 43.377 0.69867 1.25994 1840.67 92.9047 8.88332
475.039 -0.376593 -2.40005 342.725 -0.741049 0.962092 828.665 0.783287 0.612829 0.640947 0.738997 21.5363 -0.429379 1.39147 1014.13 92.9047 9.14416
537.24 1.43789 -1.16073 442.647 -0.919393 0.998895 1697.56 0.814564 0.349116 0.733225 0.650691 16.8585 -1.74855 0.587826 1352.59 92.9047 8.81577
567.044 -0.0292314 1.19138 392.505 0.783235 -1.59348 1023.94 0.748147 0.619834 0.771279 0.565341 212.282 -2.56526 0.971789 986.994 92.9047 9.15962
591.914 -0.321292 2.63406 543.21 0.106123 0.561931 1019.93 0.414413 0.289643 0.580183 0.240322 78.9306 -1.09173 1.65366 1074.92 92.9047 9.45346
726.913 0.275287 -0.156699 533.259 0.254788 2.44899 1277.09 0.289666 0.724394 0.636566 0.636011 50.3953 2.44877 0.000217199 1831.12 92.9047 9.76286
536.391 -1.86008 1.67205 324.001 -1.43051 -1.05576 851.845 0.645457 0.732609 0.761808 0.762839 141.419 -1.49118 0.43542 959.862 92.9047 9.90207
395.412 1.25322 -3.01854 377.672 1.08313 -1.25839 625.427 0.684321 0.642662 0.625008 0.690457 388.285 1.88177 1.38288 1133.31 92.9047 9.91361
617.546 0.50004 0.339877 606.497 0.987858 2.11473 1003.68 0.318697 0.725259 0.721161 0.726655 473.395 -1.32526 1.66514 1649.23 92.9047 9.98379
658.398 0.703918 -2.78892 356.514 2.4868 -0.409367 1347.92 0.826929 0.27716 0.804516 0.731617 105.795 1.16808 1.57745 1523.81 92.9047 10.17
668.258 -0.950431 -1.2855 555.994 -1.17268 1.23442 1217.82 0.229839 0.26254 0.547847 0.805542 166.296 2.00556 0.771139 1563.66 92.9047 10.2353
979.717 -1.13508 -0.300568 638.055 -0.722084 2.96612 1724.07 0.31146 0.492732 0.662438 0.666602 90.4663 -0.43282 0.132252 2032.99 92.9047 10.2395
695.243 0.904771 -2.78951 488.436 0.291102 -0.508085 1128.57 0.36953 0.537242 0.563179 0.474188 63.3689 -0.718068 0.209983 1759.47 92.9047 9.79142
1009.7 -1.76994 1.14207 603.802 -0.614894 -2.53687 1802.75 0.63106 0.59452 0.739574 0.756377 409.793 -2.09592 0.440954 1883.25 92.9047 9.76801
513.8 -1.11687 -2.79796 334.796 1.45213 -0.29166 1596.92 0.64158 0.505069 0.679233 0.797694 289.353 0.179382 0.471042 1166.94 92.9047 9.35146
640.962 -0.600136 0.366224 617.865 0.286954 -3.08752 1377.66 0.612202 0.568648 0.431768 0.633558 229.2 1.54533 1.17911 1743.48 92.9047 9.25192
1078.07 0.355614 1.2338 534.929 -0.89847 -1.72627 1886.17 0.200274 0.548618 0.74669 0.709296 527.661 -1.46774 0.258533 1853.06 92.9047 9.79928
725.573 -0.728088 0.83469 634.878 -0.117213 -2.35514 1479.69 0.138163 0.473963 0.644075 0.640477 104.043 1.05854 0.22385 1661.21 92.9047 9.94737
647.29 -1.31166 2.15195 437.061 -1.41251 -1.46799 1052.09 0.503734 0.647406 0.234072 0.610096 230.851 -0.465761 1.00222 1233.11 92.9047 9.85629
566.451 0.0441533 -0.476163 524.325 -0.638213 1.77013 1069.55 0.670075 0.40848 0.613565 0.780604 50.2374 1.79533 0.0251969 1558.04 92.9047 9.40202
612.063 -0.713149 -0.330876 578.527 -1.12191 1.41027 951.89 0.426187 0.6258 0.585239 0.686125 88.688 1.29168 0.118593 1958.61 92.9047 9.51242
509.824 -0.849338 1.29771 455.361 -1.15947 -1.49602 973.894 0.670224 0.774007 0.731938 0.835818 62.8776 0.0257267 1.27198 1478.87 92.9047 9.58915
761.478 0.987625 2.23134 433.091 -0.0069233 -1.98909 1246.6 0.210601 0.659007 0.464274 0.619516 59.6132 0.188839 2.0425 1627.28 92.9047 9.6425
798.995 -0.604855 -1.28858 563.582 -0.25655 2.86493 1205.65 0.622426 0.26402 0.753281 0.509366 160.774 1.30056 1.56437 1849.1 92.9047 9.74001
698.504 1.31588 2.88974 642.387 0.5121 -0.425719 1503.75 0.409317 0.407371 0.628795 0.677019 71.8513 0.553178 0.978898 1723.16 92.9047 9.818
1013.39 0.507585 -2.96498 901.456 0.133245 0.734854 1933.51 0.470022 0.122002 0.522308 0.706994 86.5553 -1.39311 1.57187 2453.32 92.9047 9.88657
496.852 0.507912 1.36001 443.454 -0.196641 -2.5264 942.927 0.12888 0.63864 0.304332 0.609521 116.996 2.04568 0.685667 1509.75 92.9047 9.80894
841.709 0.0694722 -1.21075 496.804 -1.07301 1.72044 1543.42 0.621295 0.220721 0.465051 0.681896 108.435 1.60493 0.115509 1681.48 92.9047 9.78669
530.905 0.873168 2.55273 445.444 -0.367315 -2.37096 898.105 0.640441 0.483129 0.595105 0.681395 518.222 -0.0367836 2.33418 1226.76 92.9047 9.81482
451.238 1.12366 -2.33243 358.657 -0.925775 0.706647 1292.43 0.42328 0.526101 0.682355 0.516358 112.179 1.33816 0.63151 811.443 92.9047 9.86362
800.164 0.127456 -0.112583 540.111 -1.19226 -2.43753 1543.23 0.660794 0.684462 0.688374 0.603043 41.4341 1.15894 1.27152 1902.06 92.9047 9.95407
850.096 -0.272032 1.17672 493.609 -0.238955 -1.52594 1301.48 0.285319 0.190425 0.631176 0.210979 166.647 -2.61418 1.08823 1624.23 92.9047 10.0581
631.61 1.07741 2.41609 394.193 -0.31276 0.215861 1188.62 0.662252 0.631658 0.613996 0.770733 420.149 -1.21702 1.43288 1112.29 92.9047 10.1374
416.02 1.44987 -2.33612 401.914 0.750044 1.05984 883.032 0.413508 0.482703 0.144037 0.791943 101.574 -2.34666 0.0105338 990.752 92.9047 10.1556
491.032 -0.305033 0.571985 382.823 -2.21227 2.74285 1248.58 0.613298 0.54669 0.634093 0.725985 37.3135 2.74639 0.00354433 1280.16 92.9047 10.2671
860.096 -0.474042 0.39696 588.152 0.054571 -2.87912 1508.25 0.585614 0.579016 0.760968 0.534106 68.7062 1.3312 0.934235 1939.62 92.9047 10.2697
551.36 -1.26756 -1.05336 399.579 -1.9796 1.18127 921.116 0.233129 0.749176 0.57186 0.653397 70.149 2.73617 1.5549 1736.43 92.9047 10.3355
535.162 -1.4722 -0.0128991 507.785 0.725946 -2.88414 1744.81 0.620957 0.373438 0.735382 0.775509 188.18 -0.448297 0.435398 1408.5 92.9047 10.3861
399.86 1.2667 0.637978 357.948 1.67388 -0.97762 581.091 0.470289 0.709638 0.753742 0.755793 359.441 2.29239 1.65441 1048.5 92.9047 10.4617
575.607 1.0012 -2.17102 525.042 -0.00685602 2.41282 1026.18 0.189208 0.492207 0.298992 0.613365 42.749 1.917 0.495818 1809.66 92.9047 10.4476
582.374 0.543827 0.951699 536.844 -1.67565 -1.94215 1904.76 0.580239 0.239368 0.82794 0.453412 32.0681 -3.012 1.06984 1456.08 92.9047 10.5471
603.68 -0.0700684 -3.11174 497.792 0.0879268 -1.63694 758.223 0.163377 0.538948 0.421275 0.745075 88.5246 0.658109 2.29505 1821.59 92.9047 10.643
811.031 0.695044 -0.5523 527.158 1.06253 2.3186 1361.01 0.599102 0.679852 0.56001 0.553775 19.237 -1.20122 0.648922 1666.45 92.9047 10.6988
1139.21 -0.30567 -2.99452 970.304 -0.00997072 0.281394 2204.96 0.0475839 0.203095 0.532671 0.779279 144.714 -1.57687 1.41765 2124.46 92.9047 10.8154
760.022 -0.73977 -0.442212 585.834 -1.78132 2.81546 1563.05 0.51797 0.170663 0.56497 0.359636 15.9132 -2.12792 1.3398 1706.08 92.9047 10.3782
681.638 0.464089 2.73058 334.81 2.02419 -0.720229 1263.68 0.672748 0.799259 0.763291 0.725518 194.729 -0.390553 0.329676 1250.7 92.9047 10.3337
457.762 -1.32862 1.47702 312.74 0.0276388 -2.23788 917.001 0.0587066 0.522929 0.460618 0.66638 548.464 -2.87438 0.636497 1051.8 92.9047 10.2796
916.705 0.826698 2.84216 781.146 2.19298 -0.748421 2094.76 0.538794 0.676372 0.655192 0.510768 89.7856 0.189199 0.93762 2429.12 92.9047 10.312
596.012 0.473757 -0.637492 307.175 -0.0156924 1.42362 773.063 0.694373 0.441715 0.602912 0.752073 571.165 2.66769 1.24407 1408.14 92.9047 10.3654
470.541 1.87227 -1.12773 469.684 0.190757 1.08965 1252.14 0.710114 0.731084 0.608406 0.765064 301.202 -1.0226 0.105131 1705.88 92.9047 10.2916
839.132 -0.225902 -1.12597 566.128 0.522979 2.38595 1470.75 0.125583 0.469375 0.755176 0.753391 49.5172 2.7843 0.398359 1794.33 92.9047 10.153
596.331 0.673059 0.498921 502.618 -2.27074 -2.63774 2518.46 0.629118 0.625902 0.803815 0.50399 128.238 -0.536453 1.03537 1425.99 92.9047 10.2534
613.805 -0.0682972 1.77436 510.538 1.26582 -2.29398 1315.49 0.607778 0.498018 0.642994 0.520865 85.2496 0.991614 0.782744 1647.1 92.9047 10.2064
642.296 -0.73809 0.644248 573.866 0.389192 -1.73312 1345.31 0.635205 0.321221 0.6971 0.215843 243.779 -2.14142 0.408304 1758.31 92.9047 10.179
417.123 -0.558411 -1.59057 376.949 0.10092 -3.02469 594.463 0.590734 0.589057 0.509348 0.59942 448.468 0.960627 2.29787 959.755 92.9047 9.98354
983.41 0.853771 -1.32151 941.968 0.48189 1.24043 1917.22 0.632951 0.760973 0.780149 0.722526 279.255 -1.28458 0.0369272 2729.54 92.9047 9.75856
558.933 -0.209654 -0.979367 555.089 1.73055 2.9212 1655.99 0.658883 0.467292 0.453878 0.724354 104.278 2.31644 0.604762 1557.21 92.9047 9.79607
546.566 -0.438211 1.64294 314.64 1.78408 1.65082 1151.16 0.219377 0.604294 0.622201 0.639273 798.732 -1.52758 3.10479 949.069 92.9047 9.86668
650.763 -1.06219 3.11822 574.706 0.61108 0.304485 1674.65 0.78993 0.667239 0.650593 0.608922 17.9417 -0.065136 0.369621 2057.06 92.9047 9.96798
684.487 1.16006 1.73477 416.29 0.69812 -1.22228 1119.8 0.169232 0.431852 0.201729 0.798707 203.297 -2.01312 0.79084 1211.6 92.9047 10.0479
956.977 -0.820868 -0.270119 948.055 -0.367862 -2.85698 1884.5 0.632428 0.398955 0.617474 0.379445 363.507 1.21089 1.48101 2046.65 92.9047 10.0803
574.554 1.90282 -2.40756 433.086 2.03791 1.31877 970.74 0.81232 0.37491 0.880909 0.631706 401.491 0.688907 0.629868 1578.22 92.9047 9.79089
561.73 -1.42461 -1.12099 470.526 -0.553417 -3.0623 999.879 0.727607 0.412295 0.699443 0.50272 107.31 0.194386 1.31537 1520.49 92.9047 9.89731
574.345 0.264581 -2.48551 448.437 1.82102 -0.0695763 1344.73 0.397733 0.67561 0.700982 0.77252 288.535 2.85375 0.943927 1490.73 92.9047 9.77199
378.778 -0.607574 0.424957 366.309 0.665054 -3.02227 898.73 0.535067 0.112626 0.531428 0.626004 55.3004 2.32155 0.939369 1104.09 92.9047 9.81288
817.775 0.502404 -0.912558 505.335 -1.17882 2.17946 1809.38 0.428861 0.297268 0.774506 0.296983 18.632 -2.05503 1.14247 1741.37 92.9047 9.861
868.318 -0.207325 -1.49773 411.87 -2.5314 2.46018 2052.38 0.557341 0.60319 0.696905 0.678735 17.1666 2.32717 0.133012 1922.06 92.9047 9.58755
688.496 -0.215021 -0.693773 398.633 -0.470546 1.73545 1111.03 0.169035 0.387258 0.745675 0.82527 340.435 2.53775 0.802307 1302.92 92.9047 9.55095
912.124 -0.912087 1.99129 761.246 0.239429 -0.405185 1860.52 0.501813 0.658952 0.662578 0.674537 24.7114 -3.09575 1.19614 2311.26 92.9047 9.65676
569.775 -1.5753 0.401525 473.719 -2.18792 -2.35907 1101.53 0.737749 0.77628 0.835223 0.754056 16.2583 1.13478 0.733251 1233.89 92.9047 9.70944
838.497 0.137098 2.15495 777.007 0.377091 -0.401267 1572.15 0.67259 0.411204 0.581345 0.769159 97.5657 -0.654086 0.252819 2161.28 92.9047 9.74108
780.667 -0.213937 0.744121 505.309 1.0176 -2.84333 1568.16 0.273641 0.275006 0.704277 0.294942 29.7853 -0.656882 1.401 1741.54 92.9047 9.79337
770.522 0.301264 -0.487183 431.681 0.0841272 -2.85443 1092.15 0.519762 0.689259 0.360586 0.700939 515.291 1.57931 1.84945 1650.55 92.9047 9.81063
610.643 -0.627629 -1.81144 489.377 -0.689948 0.253643 949.018 0.547378 0.43205 0.582635 0.662059 328.282 1.42069 1.16705 1635.08 92.9047 9.71887
619.519 -2.44652 -0.729104 345.579 1.27162 -2.8529 3018.27 0.731982 0.396581 0.493466 0.548426 249.421 1.63654 1.79375 1313.51 92.9047 9.76936
741.914 -0.475221 -0.5198 740.219 1.20226 -2.83026 1952.75 0.4266 0.676713 0.827217 0.478004 55.9648 1.89624 1.55669 2026.97 92.9047 9.86317
575.761 -0.96009 -1.79687 355.657 -1.61623 1.00554 971.479 0.578489 0.656526 0.824083 0.74588 29.7759 -1.75491 0.041959 1170.53 92.9047 9.86488
806.346 -0.0891127 -0.688133 271.101 0.961785 1.99565 1064.65 0.302628 0.555606 0.450943 0.730198 345.535 2.29069 0.295042 1409.91 92.9047 9.92306
678.985 0.545371 -1.54074 666.398 0.10169 2.30411 1317.62 0.195519 0.573779 0.48953 0.732264 20.635 -2.92648 1.0526 2057.43 92.9047 9.85353
608.73 -0.301167 -2.38817 565.846 -0.812593 1.51872 1135.94 0.133331 0.528518 0.276983 0.566621 130.547 1.21158 0.307144 1698.13 92.9047 9.69752
695.987 -0.22285 2.71997 564.696 0.433007 -0.809582 1305.59 0.33153 0.690127 0.310911 0.630861 44.2357 2.79709 0.0771172 1854.39 92.9047 9.7323
567.546 -0.489076 -0.951472 539.299 -0.876154 1.88948 1123.02 0.424812 0.715791 0.326396 0.767432 291.903 2.87295 0.98347 1536.24 92.9047 9.74816
1467.47 -0.48313 1.57707 1395.95 -0.593997 -1.16016 2924.59 0.129406 0.469518 0.637247 0.802433 193.01 -1.62736 0.4672 3359.78 -92.9047 9.67633
777.263 -0.0553944 -0.12606 694.531 -0.651782 2.9988 1574.96 0.756345 0.390562 0.76669 0.77574 80.467 2.65452 0.344276 2287.82 92.9047 9.44502
877.442 -0.0215944 -0.834221 701.43 0.50326 2.04208 1730.93 0.159861 0.169511 0.788513 0.783264 66.3251 -2.42815 1.59393 1851.77 92.9047 9.49641
740.191 0.874366 -1.93798 445.358 1.53927 0.523224 1165.59 0.312837 0.526972 0.584319 0.691163 24.9864 1.62744 1.10422 1595.38 92.9047 9.50679
661.163 0.403716 -0.846566 582.426 0.4928 2.69979 1265.31 0.375758 0.593277 0.674865 0.722012 243.093 -0.404583 0.441983 1586.72 92.9047 9.54461
657.415 0.671711 0.608127 609.704 0.339561 -1.83788 1250.23 0.163196 0.566515 0.573991 0.580595 29.2426 -2.33499 0.497115 1724.93 92.9047 9.45637
799.678 -0.359312 -1.8194 546.965 -0.211556 1.2479 1349.6 0.471051 0.636076 0.701037 0.580565 51.7359 1.57724 0.329343 1977.7 92.9047 9.48908
649.286 0.913019 -1.43748 625.338 0.19241 2.439 1304.23 0.581801 0.452733 0.733267 0.413443 60.975 1.24914 1.18987 1696.72 92.9047 9.51036
621.508 0.472912 -0.868545 582.702 -0.887841 2.30841 1521.3 0.671634 0.721978 0.631513 0.552226 31.9434 2.49059 0.18218 2139.7 92.9047 9.55248
747.311 -1.61173 -2.30955 445.179 -1.13869 0.627187 1249.84 0.434731 0.294425 0.81529 0.530851 20.458 1.76404 1.13685 1488.23 92.9047 9.44611
493.19 -0.623951 -2.69749 483.877 -1.09509 -0.361348 950.783 0.632763 0.271697 0.277175 0.720547 103.823 -2.41488 0.282611 1448.51 92.9047 9.34325
1097.69 -0.229202 -0.163291 593.704 0.92718 3.03885 1895.58 0.418556 0.605622 0.503826 0.276675 238.971 2.86611 0.172738 1911.34 92.9047 9.37473
674.294 -0.719489 -1.34022 621.561 0.257559 2.84049 1308.11 0.258464 0.484293 0.456351 0.33974 55.5739 1.69857 1.14192 2080.86 92.9047 9.40607
686.341 -0.310144 0.948036 537.386 0.907511 -2.61823 1440.49 0.376648 0.728412 0.597274 0.818792 611.252 -0.625052 1.57309 1719.18 92.9047 9.45327
