pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
887.307 0.169066 -0.994558 605.876 0.225192 1.80101 1552.55 0.407026 0.717585 0.759659 0.817061 343.268 2.43687 0.00182343 1592.09 92.9047
576.394 -0.987488 1.18988 447.392 -2.20457 -2.4769 1247.03 0.79775 0.843066 0.795276 0.799632 261.712 -2.28309 0.0514019 1409.63 92.9047
554.562 -1.14091 -2.18282 416.645 0.387474 -2.89425 950.599 0.702393 0.706747 0.723631 0.798135 700.687 0.786144 0.00331455 1067.88 92.9047
562.512 -1.22889 -0.263014 556.799 1.30004 0.825963 1951.68 0.836607 0.522529 0.794443 0.774055 302.977 3.10513 0.0105467 1694.05 92.9047
1016.38 -0.631245 0.780498 386.86 -0.457776 2.44876 1007.85 0.768393 0.748417 0.884707 0.866729 1107.93 -1.8877 0.0339404 1761.16 92.9047
757.324 -1.21538 -0.102997 449.165 -1.74689 -2.43495 1180.81 0.655525 0.84091 0.767355 0.906425 171.494 -2.93002 0.185133 1605.93 92.9047
905.923 -0.873292 -1.81175 260.56 -2.84717 2.98475 1458.29 0.270768 0.701358 0.605791 0.817476 778.541 1.20299 0.0760368 1239.74 92.9047
734.854 1.85627 1.49003 536.215 -0.0942562 3.01209 1771.4 0.734894 0.851122 0.830087 0.825482 549.994 -0.654838 0.164596 1458.9 92.9047
889.553 -0.174118 -0.0833518 697.222 -0.473728 -2.75419 1603.58 0.660563 0.887754 0.826312 0.800904 165.695 2.86983 0.23373 2055.53 92.9047
521.344 -1.10826 -0.755232 480.453 0.0139076 -2.77245 1073.06 0.624348 0.782259 0.782055 0.75429 269.342 1.52219 0.160914 1263.16 92.9047
854.206 0.167937 2.4542 663.402 0.314922 -1.08919 1576.38 0.497094 0.68073 0.863303 0.808981 315.419 -0.016875 0.0320839 1522.38 92.9047
684.798 -0.994487 -0.14862 591.602 -0.334507 -1.82075 1117.17 0.772133 0.736311 0.774331 0.855065 349.669 2.85358 0.00540638 1640.98 92.9047
707.809 -0.407045 -2.09044 367.315 1.20425 2.55874 1222.66 0.844919 0.734134 0.834486 0.688865 736.039 0.65762 0.406795 1146.64 92.9047
495.898 1.1246 -2.13165 477.447 -1.15882 0.964596 1715.69 0.742696 0.594247 0.821063 0.724944 70.9979 -0.451037 0.310535 1031.17 92.9047
1010.69 -0.968793 0.67356 370.118 1.05219 2.55024 1811.77 0.639254 0.868767 0.829063 0.706476 869.17 -2.10982 0.0533381 1481.52 92.9047
613.808 2.14838 -2.17297 278.759 0.56134 2.80409 976.296 0.628309 0.468303 0.784068 0.715041 407.263 0.390252 0.242692 1119.23 92.9047
410.172 0.346824 -1.89431 301.101 -2.41915 1.2213 1530.28 0.707526 0.841183 0.791823 0.771254 87.0168 2.04114 0.102544 944.826 92.9047
600.379 -0.202014 0.689502 296.239 0.346953 -1.32813 800.806 0.705229 0.802752 0.783323 0.813595 416.36 -2.57194 0.120659 1011.36 92.9047
699.239 -0.571741 -2.36029 432.021 -1.56488 0.863738 1300.7 0.759421 0.775686 0.876135 0.753462 22.5566 -0.23603 0.0179205 1160.11 92.9047
1115.73 1.11727 2.11509 982.638 1.37577 -1.24235 2173.47 0.611172 0.494546 0.788831 0.844797 334.089 0.593763 0.191952 2126.95 92.9047
617.677 -1.46024 0.298999 354.707 -0.166408 1.0456 873.406 0.589421 0.484633 0.812999 0.825711 817.107 -2.40997 0.337328 1154.72 92.9047
858.159 -0.40097 -2.90533 318.76 0.636117 0.0803006 1241.4 0.753702 0.669607 0.803486 0.846813 511.452 0.709546 0.114205 1377.4 92.9047
479.969 -0.371393 0.315278 406.606 -0.720292 2.72591 900.769 0.780895 0.806648 0.77187 0.754893 250.572 -2.72483 0.415945 1175.95 92.9047
1038.39 0.601766 -3.02254 950.764 -0.835715 -0.124712 2557.7 0.643418 0.727786 0.791562 0.767967 165.209 0.711648 0.155485 2343.88 92.9047
955.146 -1.43104 2.90434 793.364 -1.74772 -0.131026 1820.48 0.863907 0.767878 0.750421 0.889767 50.4159 1.13229 0.360759 1914.1 92.9047
750.886 -0.317091 -2.57871 632.436 0.771086 0.240553 1627.05 0.665928 0.838879 0.841944 0.813763 55.422 -1.15646 0.102636 2320.88 92.9047
746.875 1.28964 -2.72381 577.664 0.575661 1.2136 1382.47 0.759932 0.776142 0.833421 0.739066 417.14 0.35861 0.0601998 1582.97 92.9047
752.355 0.597634 2.74017 480.692 2.07757 -0.797173 1578.3 0.817006 0.856953 0.792198 0.821041 320.262 0.092242 0.0564514 1274.8 92.9047
615.89 -0.913896 -0.646542 363.92 -0.352357 2.08451 1044.6 0.685134 0.782461 0.782218 0.766516 336.876 3.07717 0.0117486 1348.36 92.9047
914.765 1.56572 1.47883 574.762 0.413143 2.87807 1388.68 0.832597 0.762007 0.784292 0.842196 750.552 -1.19629 0.00724435 1807.62 92.9047
1116.04 -0.956728 2.72113 662.674 -0.148621 -1.36032 1770.59 0.542039 0.851452 0.906973 0.817811 622.118 0.433485 0.0267686 1995.43 92.9047
977.218 -1.07326 2.51271 625.564 0.478626 0.0381133 2050.82 0.853445 0.762182 0.863474 0.803229 338.303 -0.999728 0.168186 1915.94 92.9047
570.177 -0.216616 -1.65818 274.981 0.767388 3.0441 726.391 0.767927 0.688887 0.921473 0.728257 524.165 1.08865 0.0484011 923.877 92.9047
792.148 1.48976 2.1969 595.642 0.238043 -0.0772292 1615.13 0.801924 0.639808 0.822663 0.802203 539.546 -1.81613 0.64201 1383.26 92.9047
727.118 -0.947658 -2.93972 355.852 -0.0762715 0.63664 1187.03 0.422409 0.815814 0.767106 0.747998 396.278 -0.14071 0.222093 1053.42 92.9047
642.298 0.15245 -1.33388 443.409 -1.22484 -2.73055 1149.35 0.4157 0.779174 0.673104 0.809981 547.517 1.30509 0.0441208 1434.67 92.9047
732.892 0.400751 0.157751 638.205 -0.548783 2.97517 1544.93 0.753172 0.76226 0.784088 0.848047 125.702 -2.17266 0.281778 2086.64 92.9047
790.755 -0.558973 -2.39761 728.302 -0.714251 1.4547 1464.59 0.607198 0.805768 0.778026 0.761464 421.688 -0.291277 0.178612 1550.1 92.9047
799.784 1.14532 -2.18026 534.449 1.18396 1.3816 1322.98 0.773444 0.679076 0.781907 0.8536 224.557 2.42517 0.0970578 1664.17 92.9047
978.684 0.863459 1.98906 526.956 0.193918 -1.01231 1574.5 0.76101 0.77642 0.784317 0.689396 383.434 -1.17133 0.0784807 1713.39 92.9047
598.252 1.23163 -1.50194 445.749 0.682074 -0.255387 761.876 0.634865 0.688753 0.867539 0.833069 709.878 2.21043 0.0521858 1083.79 92.9047
600.538 0.760151 -0.355852 279.613 1.15931 2.59758 894.909 0.784198 0.774639 0.805489 0.81273 306.402 2.32438 0.0300701 1041.3 92.9047
1793.63 -0.798977 2.17121 1340.22 0.162562 -1.20208 3584.38 0.366203 0.584706 0.847767 0.828648 550.345 -0.283729 0.00517192 3162.53 92.9047
786.817 0.949495 1.6662 638.837 1.14191 -0.124 1260.19 0.237352 0.733084 0.723142 0.739999 858.446 -2.30089 0.156214 1462.24 92.9047
901.14 1.60382 -1.70854 713.612 0.559651 2.69951 1652.14 0.713597 0.632079 0.844153 0.830171 369.627 0.596538 0.0494238 1968.44 92.9047
398.022 2.22929 2.62836 367.122 -0.198971 -0.171768 1466.53 0.722569 0.768782 0.7291 0.869377 28.4688 -2.96489 0.0869577 1161.69 92.9047
874.61 -0.697127 3.03715 783.734 -0.68172 -1.01865 1536.29 0.728712 0.7947 0.804773 0.832502 467.623 0.864096 0.238792 1763.29 92.9047
1045.91 -0.273357 -2.17232 370.57 0.948878 1.58165 1475.27 0.768875 0.785481 0.804476 0.780667 801.271 0.777905 0.676114 1444.13 92.9047
698.283 0.17645 -1.36258 518.003 -0.41306 1.13602 1295.42 0.709963 0.801589 0.771937 0.862896 520.019 2.15398 0.124357 1317.03 92.9047
963.746 -0.168111 2.03744 685.833 0.452683 -0.856055 1739.47 0.790319 0.789009 0.785084 0.718313 278.455 -2.12706 0.091295 1829.6 92.9047
837.387 -0.948867 2.68201 553.256 -0.840279 -0.214578 1425.16 0.759226 0.587972 0.822859 0.800497 326.448 -0.806996 0.285541 1438.64 92.9047
425.806 -0.908447 -0.383213 294.132 -2.52747 2.83144 1034.36 0.670064 0.704293 0.823299 0.759076 58.0533 -3.13553 0.0209351 961.955 92.9047
869.004 -1.02803 -2.44752 462.072 1.96122 -0.620941 2891.68 0.627618 0.760778 0.798994 0.81113 643.987 0.961463 0.194524 1483.2 92.9047
656.22 -0.326683 2.86249 572.722 -1.97658 0.15349 1776.07 0.476544 0.797106 0.825301 0.779672 266.716 1.94199 0.0824949 1687.07 92.9047
1001.28 0.641769 1.66354 754.476 1.01254 -1.77123 1862.68 0.538225 0.575021 0.745748 0.862085 7.84431 1.4917 0.157259 2026.89 92.9047
884.387 0.428406 -1.61175 499.934 -0.790184 -0.336913 1232.29 0.74393 0.646683 0.795793 0.782464 1084.36 1.97773 0.0302535 1329.76 92.9047
658.703 -1.18963 -0.0956342 557.535 -0.430138 -2.62108 1345.29 0.49721 0.538496 0.789707 0.578851 211.717 2.42372 0.1597 1372.32 92.9047
933.055 0.261947 -0.471783 489.155 0.131364 -2.82876 1320.01 0.800245 0.640548 0.751062 0.843181 619.941 2.22918 0.235791 1451.28 92.9047
941.75 0.123078 1.02647 612.8 -1.4408 -2.75358 2088.95 0.251944 0.761274 0.83709 0.779318 467.495 -1.50183 0.403005 1584.2 92.9047
642.741 2.06827 -2.8282 516.156 -0.27946 1.11262 2043.77 0.477212 0.721445 0.668864 0.841553 394.168 -0.550956 0.398218 1213.02 92.9047
505.279 -1.15094 1.81991 504.404 -0.628287 -1.53816 1159.2 0.680253 0.44445 0.82885 0.794778 66.6384 1.05796 0.0377164 1038.23 92.9047
672.788 0.273929 -3.01107 621.236 -1.83258 -0.249787 2110.35 0.622979 0.84451 0.779845 0.817415 251.522 -2.75121 0.230321 1790.18 92.9047
634.505 -1.62222 -2.59813 482.52 0.234066 -0.540517 1597.93 0.450944 0.744878 0.911708 0.87034 288.2 0.452025 0.344039 1439.43 92.9047
701.662 -1.10172 -1.87904 256.999 -1.89232 0.947886 988.295 0.754374 0.773892 0.786138 0.797804 438.464 1.28535 0.0170991 1017.97 92.9047
920.959 0.460135 -0.43325 666.068 1.21746 2.84826 1785.31 0.471634 0.860666 0.887796 0.802653 57.0202 -0.168485 0.0701478 1936.26 92.9047
961.132 0.630772 -1.34976 442.862 -0.752695 2.03584 1673.85 0.620146 0.757114 0.80634 0.799186 359.77 1.18133 0.0157253 1696.84 92.9047
950.034 -1.00631 -1.41805 666.502 0.376387 1.82111 2039.8 0.590012 0.393076 0.869094 0.838019 75.0766 -0.0323444 0.162083 2324.08 92.9047
695.533 0.083928 -0.398261 566.368 0.204416 -2.66536 1205.65 0.777788 0.778552 0.762259 0.809154 629.946 1.25446 0.415529 1654.39 92.9047
596.552 1.30264 1.47831 571.321 1.58966 -1.74817 1292.95 0.26015 0.597591 0.722382 0.835855 211.052 -1.56764 0.0402318 1158.11 92.9047
1146.02 -0.206905 2.37212 796.801 0.742549 -1.54306 2049.06 0.81692 0.554014 0.781944 0.780259 180.897 -0.696712 0.151071 2473.53 92.9047
665.477 -0.272176 -2.35755 635.962 -0.804348 1.4745 1330.33 0.618234 0.699227 0.834502 0.86313 401.102 -0.309414 0.267187 1403.66 92.9047
929.342 1.35909 0.0164157 742.347 -0.530275 -2.70324 2459.75 0.591154 0.576148 0.776832 0.774677 406.616 2.82067 0.22096 2015.01 92.9047
698.015 -0.749519 1.81343 659.605 -0.752077 -1.93551 1365.74 0.842764 0.766969 0.772556 0.80728 79.7537 0.0201787 0.41699 1902.39 92.9047
1470.35 -0.432337 1.60831 1313.22 -0.612967 -1.35816 2887.35 0.345819 0.782088 0.784334 0.860714 198.601 -2.14167 0.180039 2992.86 -92.9047
759.211 -0.784663 0.996884 650.272 0.523498 -3.04783 1669.24 0.842047 0.836027 0.776619 0.717789 161.757 -2.74709 0.0281656 1926.89 92.9047
757.776 -0.611311 -0.755872 330.81 -2.0896 2.74485 1320.82 0.793243 0.517214 0.807235 0.870948 488.005 2.15674 0.00962615 1079.43 92.9047
1122.08 0.876863 1.28209 871.057 -1.02122 -1.89418 2974.03 0.514744 0.848064 0.805507 0.834631 122.555 -1.51266 0.0481372 2166.74 92.9047
531.986 0.670266 -2.50652 312.669 0.48316 -0.89962 696.743 0.796694 0.801558 0.807928 0.751053 526.751 1.26089 0.382889 846.109 92.9047
1005.27 -0.654626 -1.8029 378.048 0.188878 1.23321 1433.58 0.583142 0.824202 0.783374 0.795195 452.086 1.31149 0.0624812 1657.77 92.9047
954.324 -0.659778 -2.13072 536.733 0.957262 0.506668 1949.56 0.83326 0.483297 0.875243 0.889864 463.028 1.47351 0.0451002 1609.46 92.9047
628.512 0.48785 2.67948 613.5 0.472094 -0.87543 1320.33 0.569859 0.32124 0.836608 0.707884 313.979 -0.851002 0.178487 1564.61 92.9047
617.71 1.32431 -2.90021 381.624 -0.474341 1.39535 1352.99 0.799656 0.732095 0.746543 0.802601 412.502 -0.0958264 0.123014 1226.79 92.9047
426.046 -1.03481 -0.780123 390.753 -0.743726 2.47885 870.45 0.782402 0.696809 0.797265 0.758521 169.268 0.109917 0.151659 1062.11 92.9047
898.821 -0.394004 -1.82865 709.859 -0.403625 1.11217 1716.68 0.820024 0.402455 0.81844 0.7362 122.41 1.68275 0.125728 1585.2 92.9047
863.769 1.46909 -1.5389 485.263 0.839557 2.1937 1414.68 0.762645 0.809673 0.83515 0.784676 451.69 1.33457 0.145926 1411.82 92.9047
469.794 -0.00410428 0.0486617 378.156 1.54986 -2.30313 1113.96 0.733736 0.729348 0.868454 0.8122 201.198 2.7611 0.14994 1082.29 92.9047
536.78 0.137797 -0.817635 340.177 1.11836 -2.90524 906.483 0.775665 0.77241 0.814773 0.815279 628.505 1.62311 0.490313 1116.14 92.9047
385.431 1.74918 1.34505 351.295 -0.837863 0.261861 1330.2 0.755462 0.760154 0.849866 0.801006 559.732 -2.25285 0.0231426 749.851 92.9047
445.741 -0.318989 0.265817 296.093 -0.502104 -1.88271 696.583 0.759954 0.717032 0.863238 0.834685 316.837 2.80007 0.0412862 745.185 92.9047
759.657 -0.0398333 2.43374 645.417 0.705367 -0.829418 1584.12 0.392005 0.735226 0.829966 0.838262 354.207 0.604428 0.169743 1556.03 92.9047
760.453 -0.695432 -0.128957 380.435 1.72071 0.110226 1685.86 0.762135 0.736769 0.846219 0.898426 707.845 3.07886 0.0063982 1298.33 92.9047
690.616 -0.387221 -0.903095 555.848 -2.3594 1.38467 1888.95 0.709692 0.597676 0.844991 0.907931 515.799 2.98489 0.0916739 1252.74 92.9047
651.671 -0.119138 2.92053 454.869 1.37765 0.607309 1375.09 0.72559 0.678033 0.8206 0.820892 651.614 -0.49306 0.18342 1200.15 92.9047
718.059 -0.608102 -1.27041 286.43 -0.491365 2.54315 1032.8 0.341569 0.849689 0.724714 0.873809 561.045 1.43949 0.0271736 997.729 92.9047
631.646 -0.625108 2.79978 531.627 0.0138293 0.439355 1205.06 0.625929 0.818957 0.855608 0.848528 352.246 -1.22047 0.10395 1163.4 92.9047
