pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
1204.15 0.588736 2.28102 798.613 -0.67072 -2.32683 2010.89 0.766093 0.630875 0.875109 0.843701 244.895 0.58696 0.0293198 3260.41 1.5571
1305.79 -0.938856 -2.34069 1198.29 0.729243 1.31386 3472.41 0.608145 0.365592 0.678178 0.802148 349.317 -2.26764 0.0552425 3500.88 1.5571
1276 -0.590148 1.43581 907.258 -0.0310737 -2.49056 2238.52 0.216325 0.78433 0.625951 0.773477 200.887 -2.24143 0.254243 2432.5 1.5571
1004.84 -0.866836 -0.0747363 729.293 0.540812 3.03121 2245.23 0.330615 0.789205 0.827014 0.854901 273.293 2.91495 0.124238 1813.31 1.5571
1298.46 -0.928794 0.59075 1029.6 -0.725806 -2.74162 2371.7 0.477109 0.65432 0.785067 0.803485 53.6898 -2.79157 0.0504744 2908.22 1.5571
1334.21 0.179536 -2.84506 1029.08 0.995199 -0.842575 2273.95 0.83683 0.694878 0.758857 0.800759 495.983 1.69073 0.0767355 3370.51 1.5571
645.669 -0.0743983 2.30785 643.231 0.33378 -0.897212 1347.62 0.70779 0.58048 0.761337 0.769874 11.7704 0.31256 0.173166 1247.93 1.5571
822.636 -0.689587 -1.02694 753.257 -0.140472 2.26089 1690.31 0.733667 0.778714 0.782639 0.767794 235.042 2.23254 0.0563262 2099.3 1.5571
2412.34 0.0831986 -0.877677 1127.84 -1.03806 2.86582 3748.87 0.754215 0.761939 0.83094 0.847002 1113.88 1.94631 0.305373 3920.25 -1.5571
1162.44 0.828558 0.283537 774.728 -1.5109 -1.76159 3234.99 0.600925 0.816857 0.876009 0.758862 95.1168 -2.361 0.248006 3046.94 1.5571
1180.44 -1.49884 -0.0688781 957.579 0.852992 0.580107 3229.15 0.630088 0.774313 0.900848 0.795096 823.866 -2.98614 0.00979733 3155.58 1.5571
1296.54 0.88413 -1.41452 844.701 -0.499635 1.88559 2691.37 0.472895 0.672153 0.694661 0.843674 92.5078 1.1157 0.176913 3566.75 1.5571
1517.82 -0.157074 1.12722 1372.62 0.613129 -0.750184 2661.64 0.637816 0.553794 0.720696 0.785012 591.222 -2.90595 0.0110874 3921.12 1.5571
1210.2 0.095581 2.39038 728.758 -1.43146 -0.386718 2632.53 0.403024 0.691688 0.880998 0.749684 24.9458 0.58382 0.101664 2679.89 1.5571
