pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
1520.75 -0.00211819 -0.530761 1173.08 -0.540651 -2.99552 2693.98 0.422579 0.516592 0.799443 0.640526 1536.51 1.88734 0.0429111 4575.63 0.0996691
516.049 -0.83788 -0.376134 474.926 -0.200084 2.74014 1091.66 0.858418 0.613628 0.638782 0.802169 56.8459 0.000871618 0.024052 992.894 0.0996691
1008.08 -1.24679 -2.26958 266.729 -0.5418 1.08206 1190.8 0.747682 0.64823 0.653876 0.834243 1394.68 0.946305 0.0135741 1274.8 0.0996691
2196.28 -0.663185 1.58411 281.073 -0.244369 -1.96597 1788.38 0.126468 0.673618 0.790205 0.776565 1857.4 -1.46614 0.145601 2614.58 0.0996691
2564.44 -0.447658 -2.08247 1333.45 0.250732 1.88043 3809.02 0.330999 0.441662 0.815838 0.839905 744.229 0.860603 0.106844 5261.58 -0.0996691
2627.19 -0.277294 0.494039 422.561 0.66467 -2.14897 2550.65 0.0680394 0.719585 0.568855 0.844734 2648 -2.71949 0.254608 3204.72 0.0996691
352.712 0.700632 1.83778 347.672 0.181756 -1.31336 763.164 0.753061 0.710198 0.840269 0.697735 44.3839 2.7996 0.155349 754.091 0.0996691
2192.08 0.525387 -1.42895 2161.8 0.19078 0.785951 4331.84 0.220786 0.371485 0.677563 0.669925 1809.41 2.68186 0.000280619 4509.5 0.0996691
1256.21 0.264518 2.30932 934.525 1.4594 2.36883 1524.08 0.504683 0.741565 0.710914 0.816309 1596.14 -0.600269 0.209284 2892.75 0.0996691
2098.63 -0.211438 -1.95277 1675.74 -0.0601022 0.529566 3611.79 0.33901 0.576319 0.7937 0.763313 777.685 1.66574 0.0630492 4458.68 -0.0996691
753.391 1.02761 0.673721 459.282 -0.316637 -3.02811 1466.63 0.78436 0.627349 0.797846 0.733265 127.278 -2.99653 0.0440371 1654.37 0.0996691
315.494 0.143628 0.456372 298.565 -0.198105 -2.70728 651.8 0.651697 0.592494 0.806152 0.820967 36.0483 -1.62806 0.328084 639.332 0.0996691
1140.31 0.486664 -2.03348 951.264 1.29785 1.50694 2269.96 0.739983 0.788484 0.831685 0.824999 227.042 0.403541 0.108827 3460.51 -0.0996691
528.492 0.860403 -0.0274893 527.439 -0.0089653 -3.11299 1189.68 0.459525 0.713357 0.824 0.788337 59.9477 0.781054 0.260145 1167.47 0.0996691
2235.23 -0.586301 -2.88388 1760.38 0.396586 -0.266811 4414.01 0.425018 0.502798 0.645311 0.844398 1078.17 1.7489 0.15748 4832.39 0.0996691
1045.04 0.909986 0.514494 675.313 -1.46551 3.06475 3002.07 0.645715 0.645297 0.658946 0.826714 543.538 -2.27589 0.0725284 1927.74 0.0996691
784.745 1.60389 2.4952 615.558 -2.57197 1.85977 5557.6 0.680276 0.850071 0.854115 0.735769 1079.86 -0.739603 0.0614343 2247.72 0.0996691
1264.64 1.25716 2.21498 383.183 1.37217 -2.96065 892.443 0.545594 0.691979 0.62007 0.740272 1279.3 -0.840338 0.0715551 2081.84 0.0996691
1314.33 0.208639 1.89185 721.541 -1.1178 2.79596 1735.04 0.389483 0.719521 0.874804 0.778526 1547.03 -1.04476 0.0338445 2154.61 0.0996691
419.564 -0.62578 -2.17591 408.77 -0.830422 1.05845 870.294 0.60365 0.739011 0.757028 0.765932 92.1953 0.791965 0.235642 854.364 0.0996691
2308.5 0.596297 -0.543392 2133.99 0.728874 2.17122 4514.26 0.29998 0.552151 0.568468 0.795599 637.133 -1.08637 0.0210881 5515.73 0.0996691
2102.77 -0.562062 -1.43136 1069.02 -0.381517 0.583163 2809.68 0.444294 0.322426 0.704745 0.843487 1765.25 2.19793 0.0703738 3420.49 -0.0996691
1360.23 1.48244 -3.08689 1234.42 0.386316 0.952767 2912.96 0.534691 0.34264 0.789778 0.786192 952.918 -0.960988 0.068503 2703.94 0.0996691
1632.6 0.697527 2.57905 453.558 1.05605 -1.75247 1571.9 0.521235 0.779669 0.755048 0.752348 1300.31 -0.263484 0.12163 2269.62 0.0996691
2573.08 0.0952474 -3.03289 2204.21 0.351332 0.0162775 4875.49 0.820072 0.838765 0.773553 0.753446 134.541 2.7231 0.0354581 4875.01 0.0996691
1229.25 1.11265 -0.24576 268.063 0.126685 -2.68997 1315.05 0.666319 0.839304 0.889592 0.663158 968.693 2.97348 0.118233 1711.86 0.0996691
426.405 1.80366 0.639217 396.082 2.68334 -2.55914 954.456 0.742795 0.39189 0.856769 0.784329 101.117 -2.36217 0.14722 838.728 0.0996691
698.222 2.09873 -1.1321 380.721 -1.79389 -2.96822 3669.53 0.81932 0.824478 0.814159 0.824351 495.059 1.77366 0.0500821 1144.83 0.0996691
2407.06 0.556534 1.53084 1672.95 1.28735 -1.89168 4459.38 0.342615 0.417592 0.700581 0.848112 776.377 -1.22053 0.233503 4363.2 0.0996691
1555.86 -0.216644 2.65271 741.709 -1.45733 -0.265307 2638.11 0.779165 0.824493 0.867806 0.790344 792.251 -1.34315 0.0734239 2947.99 -0.0996691
1114.44 1.12091 -1.10612 529.495 -0.676756 -3.07039 2108.6 0.556315 0.691891 0.426285 0.851632 924.052 1.52385 0.490892 1611.1 -0.0996691
