pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
728.139 1.31908 -2.24963 323.908 -0.327039 0.0503321 1347.54 0.72595 0.747897 0.825512 0.696199 451.276 1.06371 1.01338 1565.64 92.9047 8.66469
1069.59 0.564491 2.64299 676.785 1.37861 -0.795081 1871.64 0.652263 0.702654 0.813853 0.837212 381.607 -0.599098 0.195982 2367.6 -92.9047 8.29506
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 360.958 -0.588072 1e+06 581.616 92.9047 8.31982
621.734 -0.188671 -0.491408 477.019 0.328306 3.09911 1137.32 0.581039 0.709819 0.879117 0.798682 133.465 0.815423 1.30683 2026.5 92.9047 8.32318
924.218 -1.48847 -2.79189 588.719 -1.41812 -0.651938 1339.95 0.752239 0.882607 0.769918 0.795982 53.5535 -2.30424 0.487646 2305.24 92.9047 7.88031
596.9 -1.14368 -2.89704 447.994 1.44004 -0.325034 2024.24 0.794199 0.792846 0.823223 0.818292 217.551 2.52508 0.861067 1580.17 92.9047 7.92841
284.984 -1.99107 -1.30056 -1 -1 -1 -1 0.818744 -1 0.81152 -1 145.549 0.671672 1.97223 528.764 92.9047 7.94057
839.217 0.695097 1.61298 716.769 -0.169082 -1.65799 1708.06 0.247583 0.797578 0.778803 0.716241 137.248 -1.46558 0.192411 1523.15 92.9047 8.08724
791.934 -0.0405351 1.89769 689.216 1.73056 -0.420815 2041.23 0.693007 0.672514 0.632122 0.857086 519.338 -2.26603 1.84522 1517.29 92.9047 8.24946
693.513 -1.6671 -1.7822 312.112 1.2199 1.96059 2086.95 0.383728 0.779927 0.717896 0.773619 237.519 0.634085 1.32651 1231.12 92.9047 8.37505
702.952 -0.567649 0.40337 690.684 0.246029 -3.01375 1529.57 0.73118 0.653619 0.724686 0.762112 144.597 1.5803 1.17693 1746.07 92.9047 8.48092
404.051 -0.161479 -2.09382 352.166 2.42032 1.09499 1494.95 0.486804 0.744429 0.727674 0.698709 48.3002 -2.26806 0.174248 921.919 92.9047 8.60228
1064.41 -0.228363 1.50323 1025.3 -0.951965 -1.9271 2237.67 0.657413 0.812158 0.821139 0.735453 110.975 -1.5861 0.341009 2258.32 92.9047 8.77539
941.594 -0.587909 0.715382 421.176 -1.63656 -2.14584 1529.4 0.330943 0.636483 0.851792 0.834116 357.102 -2.7365 0.590663 1646.95 92.9047 8.82125
552.213 0.121084 2.51372 332.808 -0.502843 0.992568 709.402 0.621287 0.816159 0.593376 0.805753 588.404 -1.0071 1.99967 1112.38 92.9047 8.97268
554.378 -0.53295 -1.50746 452.374 -0.0370603 1.34948 1046.06 0.781215 0.863827 0.682852 0.854844 47.5163 -1.38927 0.118184 1695.54 92.9047 8.89127
887.242 0.153637 -1.04522 541.187 0.134001 1.86498 1434 0.340366 0.634924 0.531536 0.687408 398.086 2.28487 0.419898 1466.6 92.9047 8.68268
560.444 1.40755 0.367594 -1 -1 -1 -1 0.393144 -1 0.892341 -1 506.727 -2.77833 3.13726 649.512 92.9047 8.75811
676.98 1.08034 0.493822 464.774 -0.522481 2.68173 1455.43 0.191282 0.780059 0.845096 0.637299 141.728 -1.7505 1.85096 1456.28 92.9047 8.89695
514.503 -0.875498 1.13147 377.448 -2.18417 -2.47453 1101.57 0.802755 0.682747 0.721865 0.8017 240.837 -2.30826 0.166267 1187.16 92.9047 8.93638
512.561 -1.14391 -2.11647 415.985 0.346852 -2.94423 897.597 0.843642 0.735364 0.723536 0.819061 733.634 0.70175 2.63721 1118.43 92.9047 9.03937
539.344 -1.1783 -0.318663 531.551 1.38657 0.866251 1919.35 0.794417 0.573458 0.780345 0.852995 235.704 3.09413 2.22788 2181.56 92.9047 9.12457
387.257 1.28102 2.08627 -1 -1 -1 -1 0.836952 -1 0.840692 -1 405.644 -0.531942 2.61821 691.331 92.9047 9.25741
935.467 -0.691176 0.765188 331.091 -0.509948 2.48749 879.716 0.808571 0.543766 0.803486 0.686912 999.757 -1.92678 1.86891 1464.15 92.9047 9.3893
749.527 -1.22832 -0.0548479 397.257 -1.71586 -2.39517 1088.54 0.635574 0.830292 0.795944 0.819485 134.324 3.08739 0.800628 1631.44 92.9047 9.45346
898.645 -0.822914 -1.82498 -1 -1 -1 -1 0.24877 -1 0.676035 -1 801.805 1.11004 2.93502 1886 92.9047 9.59961
661.768 1.84782 1.42567 469.54 -0.0246228 3.08005 1531.46 0.805805 0.668656 0.810525 0.761047 507.497 -0.786292 2.21196 1453.26 92.9047 9.5778
