pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9.20047 -0.672331 1e+06 298.461 0.0996691 0.00766685
407.361 -1.45044 -3.07969 -1 -1 -1 -1 0.578614 -1 0.750518 -1 211.972 -0.00237174 3.07731 583.565 0.0996691 0.0142384
708.606 0.252365 -0.39658 -1 -1 -1 -1 0.601035 -1 0.764018 -1 613.003 2.67943 3.07601 761.389 0.0996691 0.0166115
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 80.8966 -2.67988 1e+06 197.818 0.0996691 0.0173338
1520.75 -0.00211819 -0.530761 1173.08 -0.540651 -2.99552 2693.98 0.422579 0.516592 0.799443 0.640526 1536.51 1.88734 1.40032 4575.63 0.0996691 0.0191671
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 74.7433 0.314112 1e+06 317.887 0.0996691 0.0181217
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 18.0535 -0.599406 1e+06 68.6635 0.0996691 0.0174421
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8.41448 2.72684 1e+06 339.001 0.0996691 0.0142384
516.049 -0.83788 -0.376134 474.926 -0.200084 2.74014 1091.66 0.858418 0.613628 0.638782 0.802169 56.8459 0.000871618 0.377006 992.894 0.0996691 0.0142384
1008.08 -1.24679 -2.26958 266.729 -0.5418 1.08206 1190.8 0.747682 0.64823 0.653876 0.834243 1394.68 0.946305 0.135758 1274.8 0.0996691 0.012944
290.717 -2.04753 -0.430863 -1 -1 -1 -1 0.723445 -1 0.810049 -1 205.525 2.81851 3.03382 386.95 0.0996691 0.0140559
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 31.945 2.77553 1e+06 236.269 0.0996691 0.0139073
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 252.164 -1.18131 1e+06 443.7 0.0996691 0.012957
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 27.5213 -0.814198 1e+06 212 0.0996691 0.0130408
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 27.9136 -2.79931 1e+06 168.267 0.0996691 0.0135912
2196.28 -0.663185 1.58411 281.073 -0.244369 -1.96597 1788.38 0.126468 0.673618 0.790205 0.776565 1857.4 -1.46614 0.499827 2614.58 0.0996691 0.0131794
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 27.5178 -0.854483 1e+06 261.185 0.0996691 0.0130336
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 91.7686 -0.0914741 1e+06 456.395 0.0996691 0.013695
