pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
566.015 1.57504 -2.09223 383.499 0.11165 0.56793 1228.31 0.76817 0.654338 0.784697 0.770703 60.2401 1.2232 0.655271 975.629 92.9047 5.16137
825.554 0.481953 0.0645178 647.951 -2.04269 2.82855 2820.08 0.793662 0.809712 0.786823 0.730816 358.628 -2.11954 1.33509 1408.5 92.9047 8.44588
271.939 -0.148447 1.15208 -1 -1 -1 -1 0.72522 -1 0.856982 -1 183.996 -1.7485 2.90058 196.507 92.9047 7.53281
893.163 -1.50575 -1.17843 641.739 -1.08131 -2.87785 1300.29 0.789499 0.589812 0.867563 0.84886 537.483 1.37657 2.02877 1632.92 92.9047 7.74206
993.974 0.541672 2.00316 729.788 -1.19608 -1.13939 2403.11 0.821297 0.627133 0.742705 0.774117 102.992 0.345246 1.48463 1971.84 92.9047 9.48007
893.69 0.213246 2.26115 357.325 2.71641 3.08295 2113.71 0.390776 0.798328 0.708474 0.797619 956.389 -0.680051 2.52018 1110.69 92.9047 8.99078
883.643 -0.611875 2.44707 526.566 0.566266 -0.116324 1658.85 0.644065 0.584674 0.683657 0.69394 255.722 -0.447765 0.331442 1778.88 92.9047 8.3376
745.197 -1.18228 -1.13581 292.52 0.401953 -1.83988 940.576 0.389448 0.723712 0.856993 0.655384 880.69 1.89137 2.55193 952.409 92.9047 9.17577
585.591 -0.0925431 1.26954 564.132 -1.3662 3.05845 1233.29 0.535188 0.785043 0.786043 0.781694 544.142 -0.580726 1.85027 1446.22 92.9047 10.074
546.304 -1.50773 0.277588 383.73 1.45239 0.279371 1943.7 0.818116 0.778664 0.804018 0.784599 487.013 3.00585 2.72647 992.508 92.9047 9.1083
560.3 -0.38475 3.06659 502.331 -1.63689 1.92574 958.717 0.642224 0.56435 0.764248 0.886781 856.574 -0.584873 2.51061 945.442 92.9047 8.17561
1338.28 -0.370195 -1.12535 724.65 -0.00682012 2.52449 2032.45 0.66802 0.469613 0.840784 0.867442 217.534 1.31432 1.21017 2440.93 92.9047 8.51035
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.7957 -3.10214 1e+06 141.933 92.9047 7.89386
614.808 -1.87482 2.24463 -1 -1 -1 -1 0.786199 -1 0.819058 -1 505.84 -0.838352 3.08299 623.487 92.9047 8.3376
564.876 1.84596 -2.76246 549.313 -0.751249 0.581779 2235.52 0.708176 0.820457 0.770378 0.837277 32.8945 0.566123 0.0156554 1291.43 92.9047 8.65571
288.946 1.44184 2.03258 -1 -1 -1 -1 0.806944 -1 0.821235 -1 107.158 -1.54902 2.70159 275.598 92.9047 8.90105
798.055 1.22727 -1.30656 341.25 1.50012 -0.0153035 825.889 0.480817 0.744974 0.838156 0.759411 798.752 2.15753 2.17284 910.387 92.9047 9.07689
865.493 0.724339 -0.221207 401.111 -1.07398 2.21 1687.19 0.754481 0.915105 0.75558 0.762473 591.236 2.75303 0.543024 1402.57 92.9047 9.03937
1088.88 -1.97518 -0.516451 -1 -1 -1 -1 0.378283 -1 0.865756 -1 869.516 2.51555 3.032 1213.97 92.9047 9.00607
821.697 -0.165446 1.53132 616.751 -1.39149 -2.70551 1614.2 0.599328 0.801217 0.762906 0.773441 450.817 -0.864607 1.84091 1325.84 92.9047 8.80613
966.367 -0.907227 -2.55499 695.599 -0.125141 -0.248947 1713.97 0.688224 0.781016 0.765292 0.748631 180.25 1.22266 1.47161 2065.8 92.9047 8.16317
499.36 -0.253053 -0.730169 412.379 -0.349758 1.36968 832.736 0.871796 0.778532 0.766207 0.872232 334.895 -3.05198 1.86153 830.226 92.9047 8.34246
420.834 1.74349 -2.20179 335.106 -1.65137 -2.07769 2009.38 0.815309 0.808735 0.763695 0.854577 177.52 1.48253 2.59886 920.226 92.9047 8.54723
891.179 -0.588967 -2.96409 266.779 1.34283 0.208395 1572.71 0.307856 0.800386 0.779024 0.763792 455.068 0.148097 0.0602979 1240.66 92.9047 8.31982
801.584 0.453979 0.0345455 606.848 -1.13708 2.70362 1891.65 0.718517 0.725165 0.785789 0.845342 319.403 -2.24008 1.33948 1374.01 92.9047 8.41528
995.975 -0.569814 0.174129 620.616 -1.60139 1.30629 1283.22 0.698203 0.748075 0.777145 0.829592 918.171 -2.53134 2.44555 1634.45 92.9047 8.65778
697.322 0.188525 0.496724 651.035 -0.310318 2.60306 1309.03 0.681023 0.651233 0.783971 0.790328 87.565 -2.87888 0.801252 1650.42 92.9047 8.8015
842.766 -0.784441 -2.90107 654.662 0.442688 -0.656435 1733.7 0.284279 0.760504 0.84988 0.750122 566.776 1.34661 2.00304 1506.59 92.9047 8.50108
629.406 -0.180691 -1.94185 332.846 -2.15794 -0.761932 1262.58 0.76738 0.785267 0.871966 0.774704 746.601 1.60699 2.36892 795.498 92.9047 8.66314
1042.8 -0.279298 1.65954 406.026 -0.804355 -3.01472 1080.23 0.76797 0.825179 0.793076 0.763812 678.366 -1.20109 1.81363 1555.16 92.9047 8.68268
601.361 -1.7553 1.15113 447.2 0.373308 -2.68175 1685.66 0.805808 0.812634 0.85392 0.797992 282.501 -1.21369 1.46806 960.875 -92.9047 8.26453
