pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
1002.6 0.625663 2.66161 580.513 1.34909 -0.763645 1616.55 0.0635532 0.122456 0.440438 0.672643 426.015 -0.578135 0.18551 1779.9 -92.9047 8.29506
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 348.825 -0.666031 1e+06 547.409 92.9047 8.31982
564.281 -0.125748 -0.50543 405.64 0.456669 3.06417 983.278 0.475881 0.671361 0.604623 0.640393 116.925 0.833695 1.33913 1716.98 92.9047 8.32318
859.728 -1.48255 -2.80451 539.45 -1.30886 -0.620173 1220.11 0.193631 0.757236 0.363743 0.626777 16.4683 -2.43592 0.368589 2106.26 92.9047 7.88031
490.921 -1.18422 -2.81421 339.004 1.49087 -0.284321 1644 0.567702 0.754404 0.66929 0.697916 266.029 2.40096 1.06801 1133.25 92.9047 7.92841
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 177.785 0.817875 1e+06 476.871 92.9047 7.94057
887.898 0.653444 1.55346 729.334 -0.180924 -1.71547 1763.23 0.148884 0.391208 0.834344 0.726312 198.959 -1.3976 0.317867 1620.59 92.9047 8.08724
734.633 -0.0922607 1.87892 653.11 1.74333 -0.432209 1951.15 0.430807 0.569192 0.359873 0.789123 548.414 -2.32882 1.89661 1418.87 92.9047 8.24946
653.906 -1.62959 -1.75812 274.989 1.19148 2.0236 1830.82 0.21255 0.314425 0.724687 0.802505 247.375 0.613621 1.40998 1134.77 92.9047 8.37505
683.655 -0.506248 0.449109 679.448 0.292691 -2.97793 1477.93 0.441181 0.649539 0.643272 0.692456 139.974 1.51794 1.06883 1679.38 92.9047 8.48092
346.335 -0.0832145 -2.0647 263.364 2.48463 1.05273 1178.41 0.384611 0.662558 0.0565221 0.669217 34.3861 -2.59242 0.527723 734.658 92.9047 8.60228
1068.9 -0.28185 1.52373 944.895 -0.966842 -1.95694 2110.14 0.284472 0.663746 0.504074 0.583699 174.342 -1.3608 0.596138 2200 92.9047 8.77539
885.543 -0.627982 0.765337 368.155 -1.62611 -2.1938 1343.6 0.198229 0.526615 0.744314 0.67413 374.023 -2.51121 0.31741 1423.41 92.9047 8.82125
486.615 0.09159 2.54269 315.796 -0.479902 1.03714 600.694 0.408548 0.61595 0.594971 0.552032 575.998 -1.0375 2.07464 884.279 92.9047 8.97268
520.792 -0.505252 -1.50814 423.958 -0.0988881 1.33517 959.594 0.559673 0.590061 0.550228 0.774412 80.5616 -2.03262 0.52448 1477.47 92.9047 8.89127
886.869 0.136408 -1.01309 506.245 0.110351 1.83233 1383.04 0.302973 0.248786 0.613832 0.505792 425.033 2.38443 0.552095 1430.42 92.9047 8.68268
510.929 1.41125 0.370412 -1 -1 -1 -1 0.21359 -1 0.71476 -1 538.302 -2.7457 3.11611 509.765 92.9047 8.75811
650.638 1.03181 0.399042 443.02 -0.465417 2.76011 1356.81 0.104708 0.071071 0.802131 0 116.708 -1.78106 1.74202 1454.46 92.9047 8.89695
