pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
464.592 1.51766 -2.24847 -1 -1 -1 -1 0.657162 -1 0.554803 -1 388.571 0.500948 2.74941 651.769 92.9047 5.16137
1265.51 -0.401573 -0.121749 -1 -1 -1 -1 0.561614 -1 0.624923 -1 1273.44 2.90147 3.02322 1405.43 92.9047 4.76434
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 383.486 0.989116 1e+06 450.35 92.9047 6.7979
564.666 0.426932 -0.0165706 534.966 -0.839277 -2.83995 1326.26 0.562228 0.793089 0.504013 0.664554 586.017 1.47576 1.49233 1523.34 92.9047 6.51963
516.225 0.862715 -0.857813 498.679 -1.13902 0.700854 1422.98 0.240315 0.253723 0.630324 0.765578 650.579 3.05996 2.3591 1126.95 92.9047 7.87328
381.307 -1.00224 -0.305633 -1 -1 -1 -1 0.768148 -1 0.714045 -1 369.797 3.0169 2.96066 760.786 92.9047 9.29047
427.079 1.13059 -1.31426 255.56 -0.808168 0.607766 927.62 0.548916 0.573056 0.642552 0.769717 388.009 2.51793 1.91017 666.891 92.9047 7.93089
477.801 0.025524 1.37825 -1 -1 -1 -1 0.597684 -1 0.807682 -1 429.972 -1.6346 3.01285 774.139 92.9047 8.95467
719.736 1.11723 1.44513 506.755 2.38839 -2.195 1438.66 0.138222 0.75798 0.517011 0.724505 234.817 0.108535 1.3366 1502.54 92.9047 9.50161
735.412 0.620059 -0.318224 450.807 -0.199918 -2.64595 1170.03 0.169483 0.687474 0.235889 0.78289 275.495 2.52018 1.11706 1399.99 92.9047 10.4387
387.848 -1.17463 -2.52953 -1 -1 -1 -1 0.0717831 -1 0.484628 -1 417.666 0.939412 2.81425 577.695 92.9047 7.984
705.655 -0.385402 0.718776 466.374 0.654485 2.37831 1055.1 0.425675 0.464717 0.710405 0.721262 851.476 -1.7722 2.13268 1173.1 92.9047 8.02055
728.768 -0.0754377 1.35886 706.621 0.660907 -1.69471 1537.48 0.436926 0.2746 0.603959 0.450656 113.186 -2.90548 1.21076 1438.37 92.9047 8.56568
690.229 0.0994281 -2.32211 -1 -1 -1 -1 0.324168 -1 0.422813 -1 731.23 0.860933 3.10014 777.765 92.9047 7.97954
636.2 -0.638754 1.83714 415.595 -0.222271 -1.12058 1058.09 0.493917 0.690526 0.738299 0.844363 485.901 -2.39606 1.27548 1377.21 92.9047 8.29506
609.251 -0.83114 -0.510822 274.813 2.42826 0.843018 2092.66 0.257814 0.726143 0.729025 0.631861 685.122 2.84888 2.00586 891.698 92.9047 8.6423
1326.01 -0.740779 0.714912 1285.59 0.446637 -2.72138 3069.47 0.0474458 0.193514 0.376724 0.231548 367.613 0.191247 0.523665 3037.03 92.9047 8.44588
625.915 1.25107 -2.81995 506.702 -0.214355 1.90864 1206.2 0.722175 0.696882 0.711627 0.399479 709.569 -0.35754 2.26618 1219.98 92.9047 8.8015
635.035 0.411664 1.7548 559.84 1.40654 -1.49016 1353.37 0.625763 0.54545 0.813852 0.718918 136.662 -1.09583 0.39433 1195.97 92.9047 8.32636
777.678 1.39724 -0.893435 449.606 -0.368858 2.90711 1639.35 0.56603 0.403475 0.420243 0.663243 422.068 1.8484 1.05872 1349.91 92.9047 8.44588
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 166.538 2.06483 1e+06 189.866 92.9047 8.06198
348.012 1.79879 0.895846 -1 -1 -1 -1 0.42347 -1 0 -1 76.9237 -0.373303 1.26915 728.673 92.9047 8.27491
371.992 1.64182 -2.24867 -1 -1 -1 -1 0.633082 -1 0.762493 -1 491.831 0.807793 3.05647 712.393 92.9047 8.54723
336.417 0.970668 2.83798 -1 -1 -1 -1 0.376476 -1 0.65027 -1 289.626 -1.14083 2.30438 585.075 92.9047 8.13764
580.162 0.395886 -0.364076 359.705 -0.360786 2.32381 968.683 0.253007 0.615517 0.737733 0.651092 508.624 -2.26608 1.6933 1269.06 92.9047 8.12104
502.864 -0.706823 -1.44361 315.07 0.0959785 3.14025 698.152 0.380689 0.426854 0.093228 0.478863 518.621 1.02478 2.11546 853.21 92.9047 8.32938
1074.12 -0.326205 0.8882 649.503 1.33412 -2.24182 2284.51 0.454405 0.402618 0.682114 0.630589 389.188 -2.09676 0.145067 1833.31 92.9047 8.33364
842.463 -0.131399 1.71545 -1 -1 -1 -1 0.0693139 -1 0.675485 -1 730.771 -1.36452 3.07997 1030.91 92.9047 8.3376
485.338 -0.223977 3.02133 294.414 -1.50662 -1.80058 724.313 0.354922 0.250913 0 0.739315 524.517 0.281131 2.08171 895.666 92.9047 8.41949
924.547 0.509119 3.10414 776.284 -0.452186 0.507482 1852.57 0.051514 0.343631 0.261423 0.534448 142.383 -3.01123 0.167816 2265.42 92.9047 8.27045
695.767 0.730203 2.54225 -1 -1 -1 -1 0.0989304 -1 0.605269 -1 527.158 -0.511189 3.05344 971.677 92.9047 8.2287
767.668 -0.871947 1.21096 -1 -1 -1 -1 0.611732 -1 0.668104 -1 652.998 -1.8426 3.05356 1069.19 92.9047 8.14507
320.234 -0.289417 -2.43798 -1 -1 -1 -1 0.605404 -1 0.320284 -1 367.117 0.543213 2.9812 525.645 92.9047 8.28609
473.663 -0.757432 2.77147 301.237 0.275169 -2.48399 560.939 0.376656 0.568177 0.630539 0.708414 518.438 0.248312 2.52316 1082.58 92.9047 8.51418
870.458 1.16506 0.306881 395.669 0.491114 2.51202 1214.87 0.0430173 0.668731 0.0723733 0.657323 620.248 -2.29977 1.47139 1349.06 92.9047 8.35903
658.453 -1.08547 -2.61139 284.112 1.66598 2.29664 1697.2 0.694286 0.744422 0.681901 0.818666 783.804 0.194572 2.10206 931.887 92.9047 8.17743
536.148 -0.239511 -0.435399 434.658 -0.634445 1.05517 689.25 0.419994 0.0893278 0.561453 0.578938 365.76 3.06777 2.01259 1344.38 92.9047 8.32318
520.487 0.489392 2.98905 -1 -1 -1 -1 0.339796 -1 0.816759 -1 202.192 -0.524159 2.76997 865.815 92.9047 8.46613
752.53 0.076375 -0.893692 476.581 0.991367 2.4997 1350.86 0.324694 0.600641 0.742398 0.807253 456.339 1.30475 1.19495 1431.1 92.9047 8.58598
867.899 -1.36341 -0.711419 755.608 0.739493 2.98332 2579.99 0.143574 0.239633 0.508379 0.304951 525.934 1.1359 1.84732 1869.56 92.9047 8.78531
417.999 -0.0762294 1.53399 373.926 2.05269 -2.6655 1263.58 0.436564 0.619237 0.527914 0.535457 408.587 -0.63772 2.02778 812.326 92.9047 8.31679
467.979 1.11958 -0.851075 -1 -1 -1 -1 0.720107 -1 0.685775 -1 531.991 2.75274 2.67937 682.299 92.9047 8.26694
737.093 1.78843 -0.231704 731.176 -0.0228111 1.86921 2035.31 0.19805 0.424821 0.546509 0.581164 745.66 -2.32843 2.08554 1507.48 92.9047 8.44588
664.948 -0.477339 -1.61512 -1 -1 -1 -1 0.508154 -1 0.526825 -1 679.775 1.61025 3.05782 699.459 92.9047 8.24154
813.881 -0.258432 -2.17626 419.818 0.589416 1.08791 1283.18 0.197278 0.377829 0.383339 0.551507 402.716 0.873583 0.214331 1231.13 92.9047 8.24598
1109.45 0.46426 -1.65315 468.699 0.788315 0.630747 1333.97 0.44376 0 0.374282 -1 1012.76 1.63262 1.00187 1583.75 92.9047 8.23433
1142.49 0.125152 1.71849 959.929 -1.57695 -0.966118 2871.05 0.460908 0.523637 0.749434 0.588052 428.626 -2.41515 1.44903 2148.33 92.9047 8.38104
697.29 1.02499 0.480361 432.797 -0.496394 2.76665 1394.92 0.232745 0.520893 0.667176 0.532202 355.166 -2.00294 1.5136 1277.53 92.9047 8.21257
645.037 0.254706 -2.97008 644.344 -1.13277 1.03054 1553.22 0.619357 0.398351 0.6693 0.574232 541.162 -0.943051 1.97359 1280.59 92.9047 8.36825
485.202 -1.03371 -2.18439 350.65 0.331938 -2.91018 706.82 0.430199 0.464045 0.47979 0.621682 777.092 0.666978 2.70603 845.098 92.9047 8.36979
836.215 -0.892297 -1.38711 -1 -1 -1 -1 0.184945 -1 0 -1 575.862 1.79197 3.1041 1341.89 92.9047 8.4761
873.118 0.317086 2.01594 -1 -1 -1 -1 0.275687 -1 0.425916 -1 869.27 -1.15899 3.10826 917.934 92.9047 8.58089
836.074 -0.782198 -1.84071 658.857 -0.745587 1.13689 1551.17 0.170946 0.546282 0.505193 0.625448 153.75 2.13744 1.00055 1501.94 92.9047 8.62338
600.8 -0.672389 -0.200177 469.454 0.456767 -2.4857 1162.99 0.726223 0.422113 0.656038 0.642515 595.968 1.43073 1.63091 1382.31 92.9047 8.56118
394.302 -0.630653 1.0198 -1 -1 -1 -1 0.586415 -1 0.7065 -1 401.282 -2.01976 3.03956 391.005 92.9047 8.69006
991.434 0.288604 1.35146 334.237 1.04293 -0.146785 905.181 0.684888 0.265541 0.73752 0.379772 931.759 -1.94881 1.80203 1543.13 92.9047 8.83304
