pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
546.768 1.61415 -2.20685 258.434 0.830059 1.92625 781.563 0.821202 0.630545 0.772838 0.872139 430.866 0.425096 1.50116 650.856 92.9047 5.16137
1349.57 -0.457916 -0.0475842 -1 -1 -1 -1 0.711087 -1 0.764643 -1 1302.49 2.92141 2.969 1410.62 92.9047 4.76434
283.972 -0.0872786 -2.767 -1 -1 -1 -1 0.705625 -1 0.779546 -1 363.985 0.855394 2.66079 448.244 92.9047 6.7979
663.106 0.493372 0.0875481 595.315 -0.910356 -2.82631 1625.96 0.679319 0.818955 0.853683 0.862536 603.72 1.47064 1.38309 1514.19 92.9047 6.51963
587.065 -1.16172 0.718518 554.893 0.864949 -0.794323 1638.93 0.709161 0.316979 0.777765 0.77611 684.268 -3.11653 2.32221 1070.49 92.9047 7.87328
498.337 -1.02079 -0.210176 -1 -1 -1 -1 0.844049 -1 0.678027 -1 390.422 2.90395 3.11412 659.098 92.9047 9.29047
521.176 1.08657 -1.38936 280.365 -0.98525 0.747266 1183.28 0.770536 0.878125 0.822705 0.801076 420.973 2.44922 1.70195 676.589 92.9047 7.93089
575.298 0.0801061 1.4004 329.057 -2.51856 -2.63968 1731.8 0.770548 0.737054 0.831134 0.910757 430.273 -1.62983 1.00985 835.165 92.9047 8.95467
773.107 1.18145 1.45221 603.83 2.39184 -2.1437 1635.88 0.645252 0.808394 0.719896 0.843798 176.068 -0.079942 1.53215 1526.2 92.9047 9.50161
811.041 0.746398 -0.178951 547.908 -0.279694 -2.68125 1517.01 0.718492 0.808913 0.802008 0.783575 326.451 2.75345 0.848486 1350.85 92.9047 10.4387
455.294 -1.28702 -2.57387 269.435 -0.127814 -1.24113 687.235 0.880206 0.728218 0.788483 0.863682 416.737 0.85484 2.09597 608.938 92.9047 7.984
820.373 -0.372264 0.775357 512.871 0.698876 2.35811 1223.45 0.784172 0.677652 0.773587 0.856432 895.848 -1.81301 2.11206 1200.93 92.9047 8.02055
743.988 0.0123084 1.32372 714.806 0.672552 -1.60247 1558.09 0.513951 0.680682 0.693918 0.699599 193.872 -2.96298 1.36051 1404.32 92.9047 8.56568
810.795 0.178539 -2.3819 -1 -1 -1 -1 0.380359 -1 0.824034 -1 739.671 0.822442 3.07884 834.257 92.9047 7.97954
736.05 -0.628121 1.74853 532.932 -0.266767 -1.17036 1326.59 0.822176 0.805476 0.794783 0.807195 522.383 -2.31105 1.14068 1382.21 92.9047 8.29506
693.339 -0.840257 -0.580105 363.944 2.55252 0.770076 2765.08 0.372234 0.788412 0.917229 0.759988 702.878 2.86734 2.09726 878.958 92.9047 8.6423
1503.45 -0.666865 0.780281 1405 0.443995 -2.65086 3391.36 0.771057 0.599435 0.832471 0.782344 284.362 0.0528103 0.72747 3207.44 92.9047 8.44588
726.1 1.25773 -2.84136 606.202 -0.269984 1.93 1492.84 0.804358 0.873396 0.886499 0.802816 739.977 -0.363905 2.29391 1257.16 92.9047 8.8015
