pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
430.002 1.58575 -2.11394 298.706 0.172507 0.562623 893.265 0.729954 0.483035 0.808816 0.68851 21.5549 1.05353 0.490908 976.885 92.9047 5.16137
774.053 0.445215 0.126499 606.408 -1.96728 2.89642 2491.53 0.657351 0.459137 0.775387 0.650478 388.457 -2.0949 1.29187 1636.83 92.9047 8.44588
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 162.761 -1.85063 1e+06 205.665 92.9047 7.53281
682.326 -1.49489 -1.18881 544.869 -1.08735 -2.82223 951.953 0.702144 0.502914 0.543313 0.482125 533.742 1.36016 2.10079 1688.59 92.9047 7.74206
909.388 0.524187 1.98396 685.039 -1.18056 -1.07997 2189.27 0.605866 0.102165 0.765196 0.864343 29.2775 1.69204 0.291919 2076.2 92.9047 9.48007
732.287 0.281863 2.24381 267.831 2.637 2.95338 1489.99 0.263342 0.492622 0.44461 0.562489 879.035 -0.735297 2.59451 1153.15 92.9047 8.99078
755.677 -0.616459 2.45796 486.638 0.427559 -0.150423 1393.65 0.641412 0.375072 0.70132 0.516544 171.332 -0.307115 0.156692 1899.76 92.9047 8.3376
747.972 -1.1102 -1.14315 -1 -1 -1 -1 0.26876 -1 0.670188 -1 862.876 1.86938 3.01253 1086.58 92.9047 9.17577
552.003 -0.179218 1.29373 468.429 -1.47481 3.13567 1087.93 0.31427 0.81789 0.892564 0.828791 529.892 -0.511916 1.80565 1612.89 92.9047 10.074
464.436 -1.46409 0.243984 286.376 0.223669 -2.36525 1007.86 0.6435 0.407288 0.75397 0.636316 516.684 3.07927 0.83867 1042.21 92.9047 9.1083
520.665 -0.406967 3.07178 456.465 -1.61714 1.96433 832.152 0.695343 0.377506 0.609819 0.761657 803.002 -0.602187 2.56651 1035.86 92.9047 8.17561
1279.26 -0.360225 -1.14787 612.445 0.00533393 2.61886 1765.3 0.486909 0.343504 0.61247 0.69437 279.446 1.58843 1.03043 2641.19 92.9047 8.51035
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 66.7821 -2.54682 1e+06 78.6431 92.9047 7.89386
585.188 -1.74354 2.22187 -1 -1 -1 -1 0.399111 -1 0.731338 -1 480.041 -0.916132 3.138 702.812 92.9047 8.3376
506.522 -0.732925 0.396771 473.504 1.81489 -2.79482 1935.71 0.272192 0.634495 0.78506 0.507161 69.9566 0.606333 0.209562 1418.8 92.9047 8.65571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 125.85 -1.32818 1e+06 308.099 92.9047 8.90105
670.198 1.10438 -1.21033 -1 -1 -1 -1 0.229703 -1 0.764319 -1 766.433 2.18948 2.88338 946.081 92.9047 9.07689
752.216 0.627484 -0.212883 333.446 -1.08541 2.17145 1351.36 0.635487 0.550624 0.684841 0.628202 569.178 2.72507 0.553627 1532.29 92.9047 9.03937
886.156 -2.05678 -0.550623 -1 -1 -1 -1 0.384974 -1 0.850352 -1 902.134 2.54768 3.0983 1198.79 92.9047 9.00607
689.322 -0.11216 1.56173 554.52 -1.19557 -2.72755 1274.21 0.321738 0.724808 0.73451 0.910978 532.034 -0.748388 1.97916 1429.36 92.9047 8.80613
870.618 -0.877252 -2.53336 570.878 -0.209667 -0.261828 1389.01 0.509191 0.598179 0.727902 0.549199 162.535 1.36683 1.62866 2103.19 92.9047 8.16317
413.455 -0.22369 -0.783002 323.26 -0.292968 1.43778 661.437 0.360855 0.751508 0.693286 0.671594 310.794 3.14085 1.70307 831.279 92.9047 8.34246
404.879 1.62592 -2.22038 -1 -1 -1 -1 0.600925 -1 0.895949 -1 234.905 1.13396 2.92884 998.677 92.9047 8.54723
818.258 -0.50376 -2.93582 -1 -1 -1 -1 0.160447 -1 0.646888 -1 479.311 0.217661 3.12971 1269.31 92.9047 8.31982
739.257 0.344803 0.0244705 490.677 -1.09408 2.71964 1529.85 0.540219 0.753349 0.727263 0.782653 269.358 -2.1399 1.42365 1526.3 92.9047 8.41528
906.056 -0.62979 0.251268 453.551 -1.57996 1.32296 924.283 0.419813 0.410276 0.859957 0.765365 995.619 -2.50183 2.45839 1624.13 92.9047 8.65778
574.874 -0.273223 2.60505 547.821 0.179369 0.657809 975.96 0.200133 0.670365 0.677113 0.618178 21.6278 -1.11541 1.77322 1803.02 92.9047 8.8015
