pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
467.078 1.54651 -2.12598 -1 -1 -1 -1 0.669682 -1 0.716573 -1 235.903 0.548846 2.67483 788.491 92.9047 5.16137
314.781 -1.8068 -0.116112 -1 -1 -1 -1 0.383305 -1 0.659256 -1 64.9916 3.04709 3.11999 734.308 92.9047 7.43237
828.445 -1.00649 -0.00894123 557.703 -0.586198 1.86689 1192.61 0.240857 0.194538 0.700683 0.560845 591.902 -2.49196 1.92434 1637.77 92.9047 6.19365
426.466 -0.660555 -1.77061 398.341 -0.903814 0.403242 757.194 0.693328 0.721646 0.635907 0.745849 144.194 1.00801 0.604767 1500.72 92.9047 7.43237
812.68 -1.07183 0.985124 698.175 -0.628898 2.99657 1328.41 0.278496 0.269428 0.638194 0.542546 121.425 -1.19324 2.09338 2154.68 92.9047 8.44588
1072.15 -0.229375 2.53668 881.451 0.104806 -0.901515 2032.22 0.211856 0.6409 0.753405 0.740617 17.923 -2.35379 1.39272 2584.13 92.9047 8.44588
558.911 -0.179184 1.27307 537.979 0.657749 -0.554102 999.314 0.713894 0.199986 0.663604 0.487386 73.1524 0.968168 0.304899 1780.12 92.9047 7.83533
894.208 0.748091 -0.656689 682.528 -0.0866358 2.32867 1708.83 0.36909 0.275432 0.688128 0.346469 195.824 1.34879 0.979879 1959.5 92.9047 8.25819
520.396 1.1301 -0.464497 384.768 -1.41033 1.63445 1663.86 0.732329 0.434979 0.66351 0.648532 38.1848 2.18666 0.552217 1744.82 92.9047 8.89513
964.166 0.864297 2.65002 714.459 0.974821 -1.26262 1564.01 0.198124 0.446763 0.754764 0.590917 166.477 -0.184652 1.07796 2334.82 92.9047 9.67757
419.64 0.535414 2.37641 402.644 -2.42912 0.149533 1878.33 0.304809 0.428026 0.661099 0.527332 173.623 -2.68349 1.22328 1401.96 92.9047 10.4281
630.864 -0.146255 -2.03027 514.826 -1.07203 1.50399 1288.66 0.525319 0.484692 0.518582 0.757747 232.244 0.873306 0.630682 1283.68 92.9047 11.2612
