pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
716.836 0.708764 -2.66834 421.651 2.46068 -0.429482 1526 0.719845 0.481227 0.826558 0.662844 166.281 1.21981 1.64929 1679.68 92.9047 10.17
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 59.7348 -2.72513 1e+06 379.294 92.9047 10.1448
698.092 -0.988255 -1.26709 606.978 -1.1794 1.18592 1319.01 0.470554 0.443023 0.794013 0.826766 213.583 1.99495 0.809031 1745.57 92.9047 10.2353
693.418 0.334298 0.495757 652.959 -1.5123 -2.14173 1990.34 0.682385 0.576127 0.818773 0.876862 47.5121 -1.50345 0.638281 2549.47 92.9047 10.2657
985.437 -1.17009 -0.319518 646.633 -0.767211 2.84197 1752.79 0.364581 0.670339 0.73759 0.836865 56.294 -0.272132 0.0473863 1970.85 92.9047 10.2395
267.045 -1.11149 1.94821 -1 -1 -1 -1 0.740306 -1 0.838334 -1 216.67 -1.41898 2.91599 709.175 92.9047 10.2147
800.146 0.821228 -2.6478 596.345 0.248066 -0.499859 1333.36 0.671036 0.774146 0.79525 0.773077 77.7347 -0.0877212 0.412137 2191.14 92.9047 9.79142
596.009 -0.248477 -0.4615 442.964 0.420397 3.08175 1124.14 0.615166 0.655753 0.764468 0.806029 294.569 0.832496 1.294 1860.37 92.9047 9.89783
998.882 -1.85161 1.10336 640.896 -0.67627 -2.44764 1909.58 0.667119 0.844455 0.824021 0.755881 374.519 -2.22401 0.223623 1869.2 92.9047 9.76801
517.276 -1.1505 -2.83552 391.511 1.43481 -0.274919 1754.81 0.740748 0.747102 0.728384 0.860329 271.056 0.263018 0.537937 1259.69 92.9047 9.35146
610.184 -0.410357 3.09586 430.968 1.16941 -0.839614 1364.39 0.817221 0.71884 0.810806 0.636587 97.4335 0.850558 1.69017 1758.83 92.9047 9.39036
733.512 -0.581917 0.489948 672.637 0.243833 -3.11247 1528.44 0.585965 0.649927 0.708207 0.753436 215.844 1.572 1.08205 2017.29 92.9047 9.25192
1106.06 -1.04389 -2.0188 1035.72 -0.396654 1.50452 2419.91 0.57113 0.2304 0.879631 0.655267 109.798 -0.316891 1.70191 2644.45 92.9047 9.3477
1081.51 0.0701746 -0.314833 753.503 0.905201 3.13968 2017.28 0.573657 0.548815 0.776089 0.631509 103.569 0.130961 0.445794 2650.3 92.9047 9.51892
885.366 1.35151 0.506386 483.786 1.70581 -3.13516 1356.31 0.512019 0.769507 0.800955 0.8359 541.537 -2.15356 0.9816 2044.73 92.9047 9.64998
1198.2 0.324218 1.34364 534.347 -0.950556 -1.69539 2015.82 0.385104 0.847238 0.814979 0.886862 564.464 -1.45973 0.235665 1904.57 92.9047 9.79928
748.822 -0.728026 0.886566 677.07 -0.0658703 -2.30035 1584.03 0.201302 0.760295 0.544691 0.687174 162.613 0.912869 0.0263029 1804.23 92.9047 9.94737
748.751 -1.30358 2.17224 504.258 -1.45314 -1.43926 1250.22 0.706221 0.611929 0.639179 0.796869 219.096 -0.511706 0.927553 1423.53 92.9047 9.85629
666.882 -1.38839 -1.09252 569.763 -1.37823 2.14914 1280.55 0.812173 0.768838 0.780003 0.820469 33.3458 -1.41938 0.326861 1873 92.9047 9.90263
275.712 2.69474 0.585288 -1 -1 -1 -1 0.755581 -1 0.73345 -1 25.7322 -1.38462 1.96991 519.183 92.9047 9.49391
616.849 0.507989 1.27373 572.44 1.47868 -1.13821 1313.6 0.673372 0.745795 0.772039 0.689562 260.724 2.876 1.60227 1612.82 92.9047 9.59342
573.009 -0.685386 0.923358 466.481 -0.893537 -1.89167 1116.3 0.48761 0.598143 0.91289 0.728274 249.416 -2.04176 0.150085 1438.54 92.9047 9.55403
657.275 0.139268 -0.453078 601.74 -0.5792 1.82851 1291.94 0.716604 0.587069 0.80921 0.850512 60.6322 2.44278 0.614267 1860.17 92.9047 9.40202
681.197 -0.750937 -0.308685 585.389 -1.22183 1.51156 1088.08 0.74689 0.729885 0.784355 0.823543 135.374 1.34727 0.164287 2132.73 92.9047 9.51242
554.897 -0.930216 1.2363 516.158 -1.22351 -1.42991 1105.31 0.850636 0.833553 0.847594 0.822394 48.2131 1.11247 0.123827 2115.72 92.9047 9.58915
682.355 0.851582 -0.459371 359.773 -2.17802 2.12055 2361.38 0.667378 0.840847 0.84156 0.808621 71.4134 -1.92294 1.46357 1549.38 92.9047 9.56826
524.518 0.0696143 -1.93408 471.89 0.489001 -0.242384 818.539 0.771067 0.723194 0.867817 0.690422 105.68 0.15944 0.401824 1757.03 92.9047 9.6425
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 157.117 0.081748 1e+06 559.736 92.9047 9.73142
824.545 -0.644584 -1.24084 603.889 -0.239017 2.76636 1344.47 0.831193 0.736242 0.831909 0.810867 133.378 1.50139 1.26497 2224.67 92.9047 9.74001
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8.30957 -1.5433 1e+06 42.908 92.9047 9.85805
717.725 1.385 2.85807 708.389 0.546743 -0.35835 1645.21 0.825899 0.408708 0.770732 0.693854 46.4189 -1.89656 1.52855 1961.17 92.9047 9.818
1082.73 0.466849 -2.99604 958.079 0.145971 0.630446 2117.9 0.325172 0.262077 0.784315 0.65097 108.986 -0.766914 1.39736 2491.56 92.9047 9.88657
793.168 -1.20069 1.94847 757.647 -1.06386 -0.819755 1658.4 0.421664 0.666942 0.787638 0.701866 128.256 2.08414 0.135666 2263.13 92.9047 9.86219
533.544 0.557297 1.38871 458.286 -0.246824 -2.58518 1018.87 0.604042 0.746032 0.725831 0.834265 85.7587 2.53251 1.1438 1533.62 92.9047 9.80894
925.154 0.018126 -1.06871 505.9 -1.07375 1.69955 1603.5 0.735414 0.297605 0.654562 0.657631 159.332 2.11843 0.418882 1769.69 92.9047 9.78669
727.674 -1.67592 0.960429 569.167 -0.982634 2.75421 1162.01 0.762697 0.601586 0.75614 0.839353 647.052 -1.11446 2.07489 1806.72 92.9047 9.70847
624.591 0.799221 2.52679 476.835 -0.484652 -2.33368 1067.19 0.728469 0.576051 0.880894 0.874459 571.266 -0.114556 2.21912 1311.5 92.9047 9.81482
506.151 1.03821 -2.25578 387.753 -0.92348 0.673406 1375.99 0.71304 0.562594 0.758514 0.525169 88.7302 1.17161 0.498203 900.843 92.9047 9.86362
929.204 0.129814 -0.111877 582.285 -1.19649 -2.46921 1772.27 0.851079 0.813262 0.745469 0.679529 23.1639 2.73805 1.07593 2336.18 92.9047 9.95407
900.515 -0.296545 1.16965 519.25 -0.243573 -1.50001 1381.95 0.380981 0.386818 0.71581 0.818821 174.761 -2.71817 1.21816 1789.06 92.9047 10.0581
757.639 -0.33288 -1.31471 522.313 -0.885752 2.04196 1412.58 0.796762 0.472017 0.777477 0.679204 344.77 2.27577 0.233809 1828.13 92.9047 10.1759
257.85 -1.63376 2.93696 -1 -1 -1 -1 0.818759 -1 0.755913 -1 41.7176 -0.139727 3.07669 390.672 92.9047 10.2788
682.961 1.10823 2.3882 442.508 -0.364173 0.242583 1350.05 0.635046 0.799076 0.688579 0.662679 402.163 -1.21799 1.46057 1257.05 92.9047 10.1374
376.89 0.319132 -1.83676 -1 -1 -1 -1 0.699073 -1 0.781365 -1 27.6717 -0.72601 1.11075 885.835 92.9047 10.071
436.946 1.46897 -2.31359 432.337 0.714096 1.07401 958.294 0.667413 0.605498 0.530075 0.665993 66.4904 -1.94779 0.365801 1013.05 92.9047 10.1556
504.544 -0.314426 0.68835 440.834 -2.22561 2.77251 1357.08 0.642219 0.552485 0.659208 0.762219 5.12132 1.23532 0.546973 1352.76 92.9047 10.2671
