pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
500.064 1.54905 -2.09511 -1 -1 -1 -1 0.63226 -1 0.718325 -1 402.238 0.69227 2.78738 684.94 92.9047 5.16137
1296.08 -0.392461 -0.111952 -1 -1 -1 -1 0.752297 -1 0.568947 -1 1287.8 2.92286 3.03481 1445.99 92.9047 4.76434
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 394.552 1.02495 1e+06 438.202 92.9047 6.7979
581.606 0.412804 0.0368808 493.609 -0.873549 -2.84222 1300.72 0.575426 0.662717 0.435753 0.694113 550.102 1.51802 1.48114 1548.7 92.9047 6.51963
503.963 0.849002 -0.827463 493.999 -1.14421 0.800521 1406.45 0.182994 0.304215 0.51074 0.449611 611.788 3.11328 2.31276 1104.09 92.9047 7.87328
377.316 -0.951483 -0.211899 -1 -1 -1 -1 0.284216 -1 0.658003 -1 388.291 3.08229 2.989 699.472 92.9047 9.29047
428.827 1.1306 -1.29034 -1 -1 -1 -1 0.538839 -1 0.462415 -1 408.171 2.44175 2.55109 656.598 92.9047 7.93089
455.001 0.0629319 1.39842 -1 -1 -1 -1 0.586312 -1 0.771137 -1 380.279 -1.60801 3.00643 764.117 92.9047 8.95467
706.763 1.16146 1.47336 511.645 2.36514 -2.1646 1401.33 0.384749 0.69729 0.521276 0.821085 146.367 0.0479631 1.4254 1508.97 92.9047 9.50161
746.157 0.637282 -0.225801 415.542 -0.138775 -2.75305 1155.61 0.228223 0.724907 0.557104 0.705544 317.487 2.67066 0.859475 1364.43 92.9047 10.4387
382.676 -1.20826 -2.50625 -1 -1 -1 -1 0.434792 -1 0.604137 -1 407.521 0.893518 2.88341 546.909 92.9047 7.984
732.759 -0.315947 0.82291 457.568 0.618211 2.338 976.377 0.538101 0.455355 0.518574 0.679558 881.303 -1.77275 2.17244 1197.79 92.9047 8.02055
730.224 0.631923 -1.62736 699.346 -0.0568549 1.26731 1508.82 0.608645 0.498412 0.559269 0.666993 172.323 2.91817 1.65085 1430.74 92.9047 8.56568
754.079 0.0775961 -2.35154 -1 -1 -1 -1 0.332209 -1 0.537498 -1 725.367 0.838039 3.09361 843.915 92.9047 7.97954
670.302 -0.642566 1.76281 399.931 -0.239399 -1.1414 1056.69 0.722539 0.546228 0.767038 0.835881 514.359 -2.28956 1.14816 1401.36 92.9047 8.29506
632.014 -0.792592 -0.57517 306.736 2.41358 0.77201 2187.67 0.246427 0.639598 0.735412 0.85635 738.821 2.9253 2.15329 960.697 92.9047 8.6423
1329.86 -0.69774 0.784601 1256.77 0.466782 -2.66769 3014.59 0.249761 0.46529 0.482761 0.376808 256.396 0.0968827 0.687718 3007.25 92.9047 8.44588
622.393 1.24664 -2.88678 515.734 -0.207546 1.87019 1198.82 0.221235 0.516715 0.646333 0.520894 714.43 -0.409675 2.27987 1238.26 92.9047 8.8015
612.138 0.373454 1.68386 555.517 1.4133 -1.53814 1339.3 0.398151 0.652608 0.492161 0.708572 83.8987 -1.05701 0.481124 1155.43 92.9047 8.32636
790.513 1.39723 -0.925711 445.482 -0.371396 2.92855 1639.63 0.294247 0.49618 0.684649 0.378703 440.863 1.76738 1.16117 1351.22 92.9047 8.44588
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 163.728 2.0514 1e+06 177.331 92.9047 8.06198
343.761 1.81927 0.939189 -1 -1 -1 -1 0.582947 -1 0.34472 -1 62.8234 -1.11002 2.04921 670.403 92.9047 8.27491
355.176 1.67119 -2.20508 -1 -1 -1 -1 0.626106 -1 0.862305 -1 457.64 0.794433 2.99952 656.149 92.9047 8.54723
338.757 0.998161 2.90837 -1 -1 -1 -1 0.523998 -1 0.57849 -1 290.654 -1.06389 2.31092 595.439 92.9047 8.13764
564.988 0.402853 -0.376361 372.722 -0.351143 2.30076 971.266 0.416458 0.713812 0.618722 0.695273 521.448 -2.21257 1.76986 1282.09 92.9047 8.12104
498.866 -0.7373 -1.4614 310.669 0.093917 3.07193 708.851 0.585674 0.409714 0.646348 0.453336 534.936 1.04773 2.0242 808.02 92.9047 8.32938
1083.17 -0.353772 0.92501 644.614 1.34596 -2.25601 2317.73 0.107965 0.505295 0.70384 0.552966 427.694 -2.13111 0.124902 1837.34 92.9047 8.33364
896.027 -0.15677 1.66945 -1 -1 -1 -1 0.108672 -1 0.390608 -1 789.255 -1.44382 3.11327 1079.54 92.9047 8.3376
480.389 -0.246511 3.07579 320.415 -1.46245 -1.89426 699.316 0.315722 0.493306 0.664606 0.395677 572.734 0.331376 2.22564 915.053 92.9047 8.41949
914.608 0.52243 3.06967 756.583 -0.44408 0.480259 1817.82 0.35096 0.428672 0.409024 0.630181 110.794 -2.58608 0.627427 2240.18 92.9047 8.27045
686.726 0.726828 2.51228 -1 -1 -1 -1 0.138313 -1 0.72584 -1 491.509 -0.583947 3.09623 947.312 92.9047 8.2287
777.46 -0.84813 1.22479 -1 -1 -1 -1 0.658209 -1 0.49002 -1 663.922 -1.90568 3.13047 1071.56 92.9047 8.14507
321.384 -0.267632 -2.43662 -1 -1 -1 -1 0.752105 -1 0.537854 -1 369.815 0.488344 2.92496 542.063 92.9047 8.28609
479.511 -0.739942 2.74246 304.842 0.263759 -2.46553 568.256 0.398589 0.678093 0.578686 0.754795 526.779 0.186976 2.55548 1066.48 92.9047 8.51418
835.437 1.21168 0.29515 435.964 0.421874 2.48026 1267.73 0.0818553 0.528777 0.453493 0.738168 694.835 -2.28781 1.51512 1352.43 92.9047 8.35903
645.87 -1.04841 -2.55703 284.756 1.62849 2.39073 1616.11 0.374898 0.844134 0.547005 0.659294 736.312 0.234157 2.15658 924.346 92.9047 8.17743
546.907 -0.201153 -0.452462 472.117 -0.624633 1.03443 725.82 0.477731 0.336092 0.820792 0.402547 396.339 -3.11352 2.13523 1397.16 92.9047 8.32318
504.441 0.433593 2.98354 -1 -1 -1 -1 0.298146 -1 0.79332 -1 172.843 -0.554468 2.74518 929.566 92.9047 8.46613
735.328 0.103279 -0.91544 488.847 0.969228 2.52534 1323.86 0.298378 0.625309 0.662532 0.775134 429.028 1.32268 1.20266 1421.02 92.9047 8.58598
916.59 -1.33223 -0.758669 766.723 0.703229 2.91305 2598.28 0.335443 0.302303 0.31409 0.694962 575.56 1.06409 1.82276 1883.9 92.9047 8.78531
409.407 -0.0538129 1.58604 362.067 2.06803 -2.63107 1214.47 0.455751 0.599643 0.60917 0.858299 382.18 -0.625872 2.0052 791.998 92.9047 8.31679
447.611 1.18904 -0.781742 -1 -1 -1 -1 0.659642 -1 0.734515 -1 525.804 2.80631 2.69514 666.557 92.9047 8.26694
756.064 -0.0286441 1.87211 748.397 1.76047 -0.241263 2068.36 0.405465 0.202323 0.633543 0.626562 737.568 -2.32037 2.07911 1538.31 92.9047 8.44588
637.04 -0.446035 -1.58349 -1 -1 -1 -1 0.506041 -1 0.560473 -1 654.48 1.62557 3.07413 671.613 92.9047 8.24154
791.237 -0.260128 -2.10243 422.999 0.557902 1.17832 1260.83 0.184778 0.56683 0.432902 0.445053 389.654 0.937577 0.240745 1218.71 92.9047 8.24598
1088.71 0.450707 -1.66419 459.52 0.777972 0.608619 1307.96 0.210932 0.405807 0.716654 0 862.559 1.89371 1.28509 1555.99 92.9047 8.23433
1158.12 0.0973945 1.67444 962.13 -1.55496 -0.970821 2837.84 0.411483 0.437776 0.679525 0.640946 509.246 -2.44479 1.47397 2164.44 92.9047 8.38104
