pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
918.18 -1.35512 -0.777721 791.557 0.682015 2.91111 2639.45 0.174742 0.437006 0.516603 0.236768 616.914 1.02384 1.80156 1941.07 92.9047 8.78531
426.959 -0.0410888 1.5682 366.193 2.052 -2.71517 1229.08 0.560855 0.641902 0.538164 0.626343 424.7 -0.701031 2.01414 824.801 92.9047 8.31679
456.604 1.11143 -0.841988 -1 -1 -1 -1 0.700489 -1 0.698938 -1 517.232 2.775 2.6662 673.712 92.9047 8.26694
751.188 -0.0686505 1.88398 734.589 1.74461 -0.269237 2072.61 0.44891 0.208784 0.488985 0.592017 719.554 -2.29111 2.02187 1512.12 92.9047 8.44588
657.649 -0.449632 -1.61085 -1 -1 -1 -1 0.536786 -1 0.455902 -1 667.633 1.59414 3.07819 698.059 92.9047 8.24154
819.923 -0.25255 -2.14508 449.308 0.519011 1.20695 1308.94 0.389514 0.685486 0.629171 0.730171 402.485 0.868185 0.338766 1263.03 92.9047 8.24598
1146.87 0.477404 -1.70777 482.174 0.736711 0.561774 1363.1 0.37904 0.344033 0.16709 0 944.67 1.7211 1.15933 1637.31 92.9047 8.23433
1124.91 0.0840888 1.66406 1024.37 -1.50504 -0.889084 2810.08 0.339316 0.604635 0.825588 0.56456 522.612 -2.52755 1.63847 2184.83 92.9047 8.38104
687.856 1.00853 0.42334 416.702 -0.485115 2.766 1360.88 0.262644 0.518919 0.799336 0.451369 347.063 -2.11527 1.40192 1249.74 92.9047 8.21257
696.992 -1.11214 1.09392 655.922 0.251367 -3.00071 1596.28 0.177785 0.60778 0.61564 0.703574 596.208 -1.0023 1.99841 1354.43 92.9047 8.36825
463.14 -1.08957 -2.08583 319.105 0.349705 -2.87607 704.463 0.581136 0.463223 0.680058 0.600193 736.707 0.680136 2.72698 806.505 92.9047 8.36979
889.569 -0.827781 -1.25221 -1 -1 -1 -1 0.313809 -1 0.36911 -1 610.166 1.83391 3.08612 1382.25 92.9047 8.4761
850.943 0.360964 2.00343 -1 -1 -1 -1 0.248272 -1 0.503164 -1 845.314 -1.14513 3.13463 928.252 92.9047 8.58089
845.261 -0.81316 -1.78477 683.832 -0.777095 1.06812 1582.09 0.121605 0.488975 0.655879 0.557881 233.222 2.09759 1.02947 1541.97 92.9047 8.62338
620.031 -0.664838 -0.229029 459.917 0.405622 -2.49221 1154.82 0.711422 0.468519 0.771936 0.69401 583.125 1.47808 1.70711 1382.41 92.9047 8.56118
378.395 -0.630615 0.938813 -1 -1 -1 -1 0.589671 -1 0.263921 -1 378.496 -2.05856 2.99737 401.717 92.9047 8.69006
1015.62 0.274268 1.347 305.098 1.09477 -0.171287 904.921 0.579959 0.67471 0.730202 0.407316 952.811 -1.95218 1.7809 1525.46 92.9047 8.83304
1010.54 0.691535 0.108477 737.751 0.730475 2.69086 1663.76 0.117216 0.500888 0.36048 0.475802 385.155 -2.18597 1.40636 1943.95 -92.9047 8.55906
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 34.4056 -2.99684 1e+06 47.7105 92.9047 8.51499
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7.73289 -0.577053 1e+06 0 92.9047 8.51377
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 148.071 -0.282636 1e+06 347.204 92.9047 8.64923
700.307 -0.021654 2.19376 -1 -1 -1 -1 0.184533 -1 0 -1 748.786 -0.889664 3.08342 874.192 92.9047 8.68681
588.272 -0.33725 1.82796 -1 -1 -1 -1 0.437062 -1 0.551049 -1 693.606 -1.42333 3.0319 955.431 92.9047 8.62892
1014.67 0.0672148 1.67117 486.493 0.616892 -2.80556 1186.25 0.49625 0.422087 0.679729 0.389428 949.115 -1.01617 1.78939 1531.82 92.9047 8.59967
744.056 -0.0316947 1.50995 589.495 -0.728357 -1.60047 1416.3 0.0635049 0.605188 0.283802 0.316028 216.689 -1.1664 0.434068 1348.01 92.9047 8.57156
561.12 0.410437 -1.07114 476.28 -0.369618 2.76146 1077.45 0.464647 0.58614 0.847994 0.727355 266.594 0.520032 1.59117 2173.96 92.9047 8.69687
864.343 0.0446217 -1.11878 568.574 -1.04201 1.66475 1639.03 0.398134 0.136184 0.563873 0.722042 71.3876 2.61117 0.946419 1596.82 92.9047 8.82181
596.768 -0.937616 -0.00722726 424.92 0.358548 1.89022 1081.31 0.611771 0.200627 0.454627 0.598134 587.439 -2.42794 1.96502 1056.39 92.9047 8.91995
307.376 -0.651552 2.16701 302.634 0.755933 2.70008 502.978 0.587478 0.487145 0.539252 0.746367 583.82 -0.688171 2.85518 590.819 92.9047 8.75958
887.794 -0.949098 0.710924 816.392 0.03191 -1.66684 1812.46 0.212101 0.562617 0.266357 0.455331 358.79 2.82081 1.79554 1974.41 92.9047 8.76706
585.733 -0.483842 1.0526 425.191 -1.65256 -3.04016 1085.59 0.650407 0.693269 0.73752 0.745218 544.848 -1.22473 1.81543 996.476 92.9047 8.76216
1148.67 -0.676637 -1.64277 259.107 -0.738005 -3.02791 728.809 0.401622 0.639734 0.587618 0.391591 1186.01 1.29537 1.9599 1419.67 92.9047 8.86642
589.343 -1.24907 -0.6882 -1 -1 -1 -1 0.276707 -1 0.496636 -1 608.338 2.43436 3.12256 592.689 92.9047 8.86012
542.775 -0.387921 0.750451 -1 -1 -1 -1 0.123911 -1 0.52259 -1 712.745 -2.80108 2.73165 933.773 92.9047 8.8659
457.151 -0.172317 1.12327 391.159 -0.938868 -0.0567005 581.607 0.344598 0.62759 0.565412 0.680072 742.853 -2.54815 2.49145 851.193 92.9047 8.97871
923.38 -1.36523 2.19431 389.275 -2.11197 -0.559172 1269.82 0.72401 0.62607 0.772194 0.743194 607.006 -1.13405 0.574878 1295.21 92.9047 8.9355
535.775 0.975671 0.748612 349.502 2.7455 -1.69332 1197.29 0.631641 0.514824 0.703989 0.725123 120.993 -1.81831 0.124989 1406.96 92.9047 8.9285
829.707 0.5184 -2.97953 511.718 1.71427 1.48183 1372.22 0.356271 0.200093 0.634925 0.828649 668.922 -0.413978 1.8958 1561.81 92.9047 9.01404
727.39 -1.55662 1.25355 711.256 -0.979204 -1.86985 1502.03 0.771201 0.501104 0.632212 0.653099 385.503 -0.730957 1.1389 1818.03 92.9047 8.98315
