pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
416.465 0.683168 1.15195 382.729 0.754512 -0.0806089 518.214 0.553518 0.460435 0.81541 0.743725 531.581 -2.7631 2.36814 1029.98
661.857 0.718036 2.90022 526.717 0.989869 1.37145 851.984 0.389937 0.712658 0.602337 0.785961 579.812 -0.769547 2.141 1732.68
716.676 -0.24429 -0.616958 492.062 -0.143989 3.01782 1247.01 0.730395 0.520604 0.644135 0.670648 67.5171 -2.79506 0.470304 1828.5
383.273 -0.0338253 1.85062 340.395 -0.523153 -0.894549 814.546 0.357313 0.644629 0.8111 0.359908 67.4225 -0.238819 0.65573 1280.95
506.992 1.21982 -2.99624 307.438 0.942724 -1.34039 630.429 0.845495 0.667412 0.831343 0.655223 202.505 0.945107 2.2855 1283.78
543.405 1.21591 3.10816 301.229 -0.494918 -2.05028 916.049 0.811503 0.417977 0.707162 0.872765 503.659 0.34001 2.39029 1474.09
674.349 -0.444413 1.72093 602.279 -0.252333 -2.72698 1046.57 0.601892 0.701239 0.664319 0.548041 105.679 -0.658361 2.06862 2062.9
683.378 1.37737 0.311481 320.361 0.745966 -2.85971 1090.86 0.354598 0.361932 0.616079 0.840175 366.618 -2.58598 0.273731 1112.47
628.789 0.133103 -3.07359 535.883 -1.32757 1.70545 1224.8 0.345642 0.586546 0.644617 0.580182 220.263 -1.04934 2.02425 1942.33
684.294 0.364184 0.409473 363.113 0.637478 2.0445 762.155 0.751846 0.439266 0.761673 0.769738 466.377 -1.83568 2.24516 1473.52
544.163 -2.06128 -1.8104 477.19 -0.36188 -0.0433517 1263.32 0.855035 0.260825 0.853267 0.893994 209.958 2.0567 2.10005 1487.48
459.969 0.264476 -0.572956 314.448 -0.805723 0.939068 680.337 0.616846 0.513686 0.851613 0.765938 352.244 2.94118 2.00211 1073.55
499.098 -1.90706 0.497259 377.479 0.264144 1.94136 1293.12 0.808742 0.690652 0.739969 0.715534 390.449 -2.32686 2.01497 1202.38
405.098 1.92761 -1.85881 296.77 1.11272 -0.488038 640.172 0.398461 0.409467 0.866108 0.428689 422.455 1.97158 2.4528 1094.27
876.043 0.0361631 -0.65036 339.925 -0.352872 0.524796 677.485 0.768618 0.669063 0.864133 0.618455 680.714 2.79427 2.26948 1619.98
716.57 -0.483242 -0.452194 451.896 -1.04651 -2.11467 918.335 0.78448 0.606382 0.717844 0.734737 573.08 1.65523 2.10742 1697.3
291.071 1.34324 0.84315 252.762 -1.11713 -0.32002 904.931 0.63961 0.769549 0.860183 0.808579 311.503 -2.75673 2.4367 733.586
493.369 1.20427 0.883901 391.89 1.73809 -2.50485 935.564 0.725995 0.527579 0.673298 0.742163 395.409 -2.84144 0.336591 1235.66
545.169 -0.321777 2.73886 402.238 0.508617 1.11388 812.229 0.645726 0.698362 0.75439 0.628537 538.749 -1.42676 2.11757 1588.98
829.808 0.340829 2.6206 302.333 0.813621 0.0527964 1101.22 0.173184 0.76723 0.752039 0.779157 581.772 -0.815573 0.86837 1266.53
476.819 0.787609 -2.76188 305.589 -0.908946 -2.03371 786.181 0.673413 0.749873 0.81028 0.761357 429.387 0.855392 2.66592 1332.95
587.94 1.89132 1.41662 515.711 0.646369 -1.00306 1393.64 0.576874 0.369405 0.833604 0.87308 172.742 -0.718889 0.284169 1667.31
475.931 0.149374 1.92599 407.414 -1.07398 2.20345 602.559 0.675761 0.783106 0.756268 0.683406 848.2 -1.09112 2.98862 892.539
517.992 -0.616495 -2.65792 275.82 2.14749 -1.19875 1517.84 0.42619 0.745599 0.57425 0.669558 205.66 1.13872 2.33747 1191.84
517.482 -0.895747 -0.420912 413.233 0.977771 -1.33328 1132.23 0.783534 0.495508 0.707745 0.641861 619.462 2.5558 2.3941 1368.57
358.855 0.554137 2.24167 341.387 -0.55057 -0.691132 842.391 0.565668 0.223595 0.690068 0.480959 118.646 -0.849191 0.158059 1191.58
420.485 0.922708 -0.0595043 264.155 -1.9279 -2.04021 1432.29 0.318802 0.431103 0.60217 0.919203 153.885 2.10147 2.1415 973.109
492.514 1.14161 -1.62366 325.206 0.61417 -2.60367 453.448 0.378249 0.727834 0.695828 0.629329 451.311 0.939649 2.5633 1089.58
571.051 -0.699699 -3.12969 361.194 0.508989 1.70872 855.611 0.742773 0.680191 0.807104 0.742675 389.717 -0.516629 2.22535 1229
436.051 -1.85296 0.746742 427.329 -0.331967 1.18561 769.625 0.221808 0.717364 0.846472 0.825581 360.612 -2.16615 2.91289 1412.99
714.409 0.417753 2.17078 447.645 0.874113 -0.889434 1278.4 0.598837 0.534882 0.434853 0.429761 48.6366 -0.385922 0.503512 1576.13
621.633 0.248976 -0.652217 394.203 0.667305 1.13298 818.248 0.738585 0.458045 0.870633 0.885109 448.761 -2.82667 2.17445 1393.82
469.802 -0.603421 -1.75201 293.79 -0.260959 -0.29807 538.565 0.504501 0.697893 0.743616 0.718861 356.905 1.88632 2.18439 1246.35
374.491 -0.363756 -1.50136 263.557 -0.849826 1.74016 673.939 0.765667 0.331598 0.817275 0.88771 120.116 1.98491 0.244751 1081.66
520.866 -0.341552 -1.91899 412.59 1.65511 2.90502 1259.43 0.651294 0.689376 0.661654 0.938263 89.9598 0.146536 2.06552 1593.5
648.741 -0.343551 -2.25042 553.744 1.07105 2.4067 1304.17 0.589441 0.66724 0.793349 0.655218 396.656 0.115103 2.2916 1682.95
671.048 0.623146 -2.13032 519.815 0.157039 2.66359 893.646 0.500683 0.551433 0.619247 0.61501 457.137 0.0907473 2.22107 1808.02
388.793 0.0466134 -2.81535 297.173 -1.54348 2.04051 763.24 0.599601 0.598128 0.750215 0.766453 197.879 -0.250808 2.29131 1192.9
370.538 1.70496 -0.907263 360.579 1.16168 0.673755 578.147 0.505287 0.661169 0.595717 0.739881 70.5378 -3.00855 2.10128 1319.12
543.382 0.207219 2.24653 330.631 0.343888 -2.77534 542.601 0.700494 0.488097 0.561573 0.80589 338.114 -0.452967 2.32237 1251.72
773.102 0.166694 -0.437463 454.127 1.21432 -1.27992 832.716 0.652498 0.602375 0.844899 0.682794 879.902 2.35782 2.64545 1457.12
633.121 0.908625 0.133301 398.333 -0.346577 -1.45045 1013.86 0.623189 0.832761 0.765797 0.758246 634.461 2.59465 2.23809 1561.53
772.28 -1.20063 -1.8122 579.709 1.04054 -1.99739 1859.14 0.490375 0.382082 0.842319 0.553976 605.246 1.51574 2.77005 2227.58
643.743 -0.915094 -2.28364 598.476 -1.23251 0.288782 1275.46 0.245078 0.736462 0.810427 0.692577 159.808 -2.90372 0.620084 1971.39
637.625 0.06072 0.676933 254.842 1.63549 1.63533 892.682 0.145803 0.777883 0.83614 0.77586 668.211 -1.93221 2.60914 1503.3
